curve,point_index,x,y
young,0,125.440725,88.405640
young,1,126.005402,104.991272
young,2,128.351349,152.638611
young,3,130.697296,188.481781
young,4,133.043243,216.801636
young,5,135.389191,239.903992
young,6,137.735138,259.174072
young,7,140.081085,275.509644
young,8,142.427032,289.525726
young,9,144.772980,301.662231
young,10,147.118912,312.244751
young,11,149.464859,321.520905
young,12,151.810806,329.683472
young,13,154.156754,336.885529
young,14,156.502701,343.250549
young,15,158.848648,348.879669
young,16,161.194595,353.856720
young,17,163.540543,358.251984
young,18,165.886490,362.124939
young,19,168.232437,365.526428
young,20,170.578384,368.500153
young,21,172.924316,371.084045
young,22,175.270264,373.311218
young,23,177.616211,375.210693
young,24,179.962158,376.808136
young,25,182.308105,378.126251
young,26,184.654053,379.185364
young,27,187.000000,380.003540
young,28,189.345947,380.597137
young,29,191.691895,380.980804
young,30,194.037842,381.167908
young,31,196.383789,381.170471
young,32,198.729736,380.999481
young,33,201.075684,380.665009
young,34,203.421616,380.176239
young,35,205.767563,379.541626
young,36,208.113510,378.768921
young,37,210.459457,377.865265
young,38,215.151352,375.691193
young,39,219.843246,373.066711
young,40,224.535141,370.032745
young,41,229.227020,366.624878
young,42,233.918915,362.874237
young,43,238.610809,358.808167
young,44,243.302704,354.450958
young,45,247.994598,349.824158
young,46,252.686493,344.946960
young,47,257.378387,339.836670
young,48,264.416229,331.767639
young,49,271.454041,323.254974
young,50,278.491882,314.338654
young,51,285.529724,305.053497
young,52,292.567566,295.430054
young,53,299.605408,285.495117
young,54,308.989197,271.804840
young,55,318.372986,257.652161
young,56,327.756744,243.079590
young,57,337.140533,228.124084
young,58,348.870270,208.939850
young,59,360.600006,189.261871
young,60,372.329742,169.136932
young,61,384.059448,148.605530
young,62,398.135132,123.480408
young,63,412.210815,97.873047
young,64,417.327453,88.405640
old,0,117.579442,88.405640
old,1,119.537300,121.314636
old,2,121.883240,153.223572
old,3,124.229187,179.915009
old,4,126.575134,202.774170
old,5,128.921082,222.698822
old,6,131.267029,240.303986
old,7,133.612976,256.029602
old,8,135.958923,270.201202
old,9,138.304871,283.066406
old,10,140.650818,294.818085
old,11,142.996750,305.609222
old,12,145.342697,315.563324
old,13,147.688644,324.781525
old,14,150.034592,333.347656
old,15,152.380539,341.332031
old,16,154.726486,348.794067
old,17,157.072433,355.784637
old,18,159.418381,362.347443
old,19,161.764328,368.520416
old,20,164.110275,374.336670
old,21,166.456223,379.825226
old,22,168.802155,385.011749
old,23,171.148102,389.918976
old,24,175.839996,398.974426
old,25,180.531891,407.129852
old,26,185.223785,414.497681
old,27,189.915680,421.170410
old,28,194.607574,427.225189
old,29,199.299454,432.726990
old,30,203.991348,437.731079
old,31,208.683243,442.284790
old,32,213.375137,446.428986
old,33,218.067032,450.199280
old,34,222.758926,453.626770
old,35,227.450806,456.738892
old,36,232.142700,459.559875
old,37,236.834595,462.111206
old,38,241.526489,464.412201
old,39,246.218384,466.480072
old,40,250.910263,468.330322
old,41,255.602158,469.977051
old,42,260.294067,471.432922
old,43,264.985931,472.709473
old,44,269.677826,473.817261
old,45,274.369720,474.765930
old,46,281.407562,475.909729
old,47,288.445404,476.742065
old,48,295.483246,477.286743
old,49,302.521088,477.564941
old,50,309.558929,477.595520
old,51,316.596771,477.395569
old,52,323.634583,476.980225
old,53,330.672424,476.363403
old,54,337.710266,475.557556
old,55,344.748108,474.574127
old,56,354.131897,473.004456
old,57,363.515686,471.159607
old,58,372.899445,469.059479
old,59,382.283234,466.721771
old,60,391.667023,464.162476
old,61,401.050812,461.395996
old,62,410.434601,458.435364
old,63,422.164337,454.479553
old,64,433.894043,450.259705
old,65,445.623779,445.794464
old,66,457.353516,441.100586
old,67,469.083252,436.193176
old,68,483.158905,430.041534
old,69,497.234589,423.623169
old,70,511.310272,416.957001
old,71,525.385925,410.060028
old,72,541.807556,401.742188
old,73,558.229187,393.152771
old,74,574.650818,384.311188
old,75,591.072449,375.234894
old,76,609.840027,364.594666
old,77,628.607544,353.689270
old,78,647.375122,342.537537
old,79,657.020325,336.715912
