Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium
High-income countries,,1950,692711431,
High-income countries,,1951,700623675,
High-income countries,,1952,708716902,
High-income countries,,1953,717304261,
High-income countries,,1954,726124752,
High-income countries,,1955,735073313,
High-income countries,,1956,744048990,
High-income countries,,1957,753254089,
High-income countries,,1958,762789206,
High-income countries,,1959,772471862,
High-income countries,,1960,782236784,
High-income countries,,1961,791968956,
High-income countries,,1962,801664774,
High-income countries,,1963,811255645,
High-income countries,,1964,821495475,
High-income countries,,1965,831811245,
High-income countries,,1966,841155571,
High-income countries,,1967,849524522,
High-income countries,,1968,857986037,
High-income countries,,1969,867236896,
High-income countries,,1970,876449242,
High-income countries,,1971,885949676,
High-income countries,,1972,895431161,
High-income countries,,1973,904291169,
High-income countries,,1974,912705443,
High-income countries,,1975,920485040,
High-income countries,,1976,927867085,
High-income countries,,1977,935281713,
High-income countries,,1978,942637134,
High-income countries,,1979,950084821,
High-income countries,,1980,957870126,
High-income countries,,1981,965477507,
High-income countries,,1982,972586020,
High-income countries,,1983,979396833,
High-income countries,,1984,985985143,
High-income countries,,1985,992559423,
High-income countries,,1986,999312486,
High-income countries,,1987,1006224559,
High-income countries,,1988,1013379300,
High-income countries,,1989,1020861879,
High-income countries,,1990,1028284456,
High-income countries,,1991,1036169646,
High-income countries,,1992,1044505522,
High-income countries,,1993,1052086400,
High-income countries,,1994,1059188926,
High-income countries,,1995,1065736169,
High-income countries,,1996,1071920126,
High-income countries,,1997,1078237697,
High-income countries,,1998,1084071428,
High-income countries,,1999,1090028852,
High-income countries,,2000,1096764301,
High-income countries,,2001,1103946187,
High-income countries,,2002,1111450255,
High-income countries,,2003,1119083316,
High-income countries,,2004,1126798828,
High-income countries,,2005,1134613531,
High-income countries,,2006,1142539576,
High-income countries,,2007,1151382222,
High-income countries,,2008,1160658980,
High-income countries,,2009,1169055739,
High-income countries,,2010,1176862153,
High-income countries,,2011,1184863412,
High-income countries,,2012,1192847648,
High-income countries,,2013,1200506756,
High-income countries,,2014,1208317570,
High-income countries,,2015,1216633405,
High-income countries,,2016,1224780418,
High-income countries,,2017,1231575713,
High-income countries,,2018,1237400292,
High-income countries,,2019,1243293722,
High-income countries,,2020,1246978172,
High-income countries,,2021,1248780609,
High-income countries,,2022,1254316691,
High-income countries,,2023,1261155607,
High-income countries,,2024,,1265183129
High-income countries,,2025,,1267864239
High-income countries,,2026,,1270293036
High-income countries,,2027,,1272840230
High-income countries,,2028,,1275150288
High-income countries,,2029,,1277214852
High-income countries,,2030,,1279045228
High-income countries,,2031,,1280692586
High-income countries,,2032,,1282216308
High-income countries,,2033,,1283640514
High-income countries,,2034,,1284971786
High-income countries,,2035,,1286179963
High-income countries,,2036,,1287253140
High-income countries,,2037,,1288244762
High-income countries,,2038,,1289150493
High-income countries,,2039,,1289936128
High-income countries,,2040,,1290598755
High-income countries,,2041,,1291162984
High-income countries,,2042,,1291656198
High-income countries,,2043,,1292041326
High-income countries,,2044,,1292271722
High-income countries,,2045,,1292361141
High-income countries,,2046,,1292316871
High-income countries,,2047,,1292123616
High-income countries,,2048,,1291798637
High-income countries,,2049,,1291331354
High-income countries,,2050,,1290739273
High-income countries,,2051,,1290052093
High-income countries,,2052,,1289237484
High-income countries,,2053,,1288283832
High-income countries,,2054,,1287185322
High-income countries,,2055,,1285949740
High-income countries,,2056,,1284613449
High-income countries,,2057,,1283238679
High-income countries,,2058,,1281869093
High-income countries,,2059,,1280462099
High-income countries,,2060,,1278995465
High-income countries,,2061,,1277544734
High-income countries,,2062,,1276137613
High-income countries,,2063,,1274772828
High-income countries,,2064,,1273419752
High-income countries,,2065,,1272082777
High-income countries,,2066,,1270824401
High-income countries,,2067,,1269659308
High-income countries,,2068,,1268546962
High-income countries,,2069,,1267489469
High-income countries,,2070,,1266481777
High-income countries,,2071,,1265527375
High-income countries,,2072,,1264610686
High-income countries,,2073,,1263700602
High-income countries,,2074,,1262827293
High-income countries,,2075,,1262053700
High-income countries,,2076,,1261365432
High-income countries,,2077,,1260670456
High-income countries,,2078,,1260010731
High-income countries,,2079,,1259379384
High-income countries,,2080,,1258751512
High-income countries,,2081,,1258227987
High-income countries,,2082,,1257757144
High-income countries,,2083,,1257277279
High-income countries,,2084,,1256820751
High-income countries,,2085,,1256336606
High-income countries,,2086,,1255875536
High-income countries,,2087,,1255484756
High-income countries,,2088,,1255183258
High-income countries,,2089,,1254911898
High-income countries,,2090,,1254608446
High-income countries,,2091,,1254360474
High-income countries,,2092,,1254173131
High-income countries,,2093,,1253999581
High-income countries,,2094,,1253831162
High-income countries,,2095,,1253649690
High-income countries,,2096,,1253431666
High-income countries,,2097,,1253207143
High-income countries,,2098,,1252972525
High-income countries,,2099,,1252697677
High-income countries,,2100,,1252363673
