year,world_population_est,world_cbr_per_1000_est,births_estimated
1830,1128666666.6666667,39.5,44582333.333333336
1831,1135533333.3333333,39.425,44768401.66666666
1832,1142400000.0,39.35,44953440.0
1833,1149266666.6666667,39.275,45137448.333333336
1834,1156133333.3333333,39.2,45320426.66666667
1835,1163000000.0,39.125,45502375.0
1836,1169866666.6666667,39.05,45683293.33333333
1837,1176733333.3333333,38.975,45863181.666666664
1838,1183600000.0,38.9,46042040.0
1839,1190466666.6666667,38.825,46219868.33333334
1840,1197333333.3333333,38.75,46396666.666666664
1841,1204200000.0,38.675,46572434.99999999
1842,1211066666.6666667,38.6,46747173.333333336
1843,1217933333.3333333,38.525,46920881.66666666
1844,1224800000.0,38.45,47093560.00000001
1845,1231666666.6666667,38.375,47265208.333333336
1846,1238533333.3333333,38.3,47435826.66666666
1847,1245400000.0,38.225,47605415.0
1848,1252266666.6666667,38.15,47773973.33333333
1849,1259133333.3333333,38.075,47941501.66666667
1850,1266000000.0,38.0,48108000.0
1851,1273680000.0,37.95,48336156.00000001
1852,1281360000.0,37.9,48563543.99999999
1853,1289040000.0,37.85,48790164.0
1854,1296720000.0,37.8,49016016.0
1855,1304400000.0,37.75,49241100.0
1856,1312080000.0,37.7,49465416.00000001
1857,1319760000.0,37.65,49688963.99999999
1858,1327440000.0,37.6,49911744.0
1859,1335120000.0,37.55,50133756.0
1860,1342800000.0,37.5,50355000.0
1861,1350480000.0,37.45,50575476.00000001
1862,1358160000.0,37.4,50795183.99999999
1863,1365840000.0,37.35,51014124.0
1864,1373520000.0,37.3,51232296.0
1865,1381200000.0,37.25,51449700.0
1866,1388880000.0,37.2,51666336.00000001
1867,1396560000.0,37.15,51882203.99999999
1868,1404240000.0,37.1,52097304.0
1869,1411920000.0,37.05,52311636.0
1870,1419600000.0,37.0,52525200.0
1871,1427280000.0,36.86666666666667,52619056.0
1872,1434960000.0,36.733333333333334,52710864.0
1873,1442640000.0,36.6,52800624.0
1874,1450320000.0,36.46666666666667,52888336.0
1875,1458000000.0,36.333333333333336,52974000.0
1876,1465680000.0,36.2,53057616.00000001
1877,1473360000.0,36.06666666666667,53139184.00000001
1878,1481040000.0,35.93333333333333,53218704.0
1879,1488720000.0,35.8,53296176.0
1880,1496400000.0,35.666666666666664,53371600.0
1881,1504080000.0,35.53333333333333,53444976.0
1882,1511760000.0,35.4,53516304.0
1883,1519440000.0,35.266666666666666,53585584.0
1884,1527120000.0,35.13333333333333,53652816.00000001
1885,1534800000.0,35.0,53718000.00000001
1886,1542480000.0,34.86666666666667,53781135.99999999
1887,1550160000.0,34.733333333333334,53842224.0
1888,1557840000.0,34.6,53901264.0
1889,1565520000.0,34.46666666666667,53958256.0
1890,1573200000.0,34.333333333333336,54013200.0
1891,1580880000.0,34.2,54066096.0
1892,1588560000.0,34.06666666666667,54116944.0
1893,1596240000.0,33.93333333333333,54165743.99999999
1894,1603920000.0,33.8,54212495.99999999
1895,1611600000.0,33.666666666666664,54257199.99999999
1896,1619280000.0,33.53333333333333,54299856.0
1897,1626960000.0,33.4,54340464.0
1898,1634640000.0,33.266666666666666,54379024.0
