fit_name,fit_params,contains_senogenic,age,survival
eta,eta,True,0.0,1.0
eta,eta,True,0.25,1.0
eta,eta,True,0.5,1.0
eta,eta,True,0.75,1.0
eta,eta,True,1.0,1.0
eta,eta,True,1.25,1.0
eta,eta,True,1.5,1.0
eta,eta,True,1.75,1.0
eta,eta,True,2.0,1.0
eta,eta,True,2.25,1.0
eta,eta,True,2.5,1.0
eta,eta,True,2.75,1.0
eta,eta,True,3.0,1.0
eta,eta,True,3.25,1.0
eta,eta,True,3.5,1.0
eta,eta,True,3.75,1.0
eta,eta,True,4.0,1.0
eta,eta,True,4.25,1.0
eta,eta,True,4.5,1.0
eta,eta,True,4.75,1.0
eta,eta,True,5.0,1.0
eta,eta,True,5.25,1.0
eta,eta,True,5.5,1.0
eta,eta,True,5.75,1.0
eta,eta,True,6.0,1.0
eta,eta,True,6.25,0.9998
eta,eta,True,6.5,0.9994
eta,eta,True,6.75,0.9994
eta,eta,True,7.0,0.9994
eta,eta,True,7.25,0.9994
eta,eta,True,7.5,0.9992
eta,eta,True,7.75,0.9986
eta,eta,True,8.0,0.9982
eta,eta,True,8.25,0.9974
eta,eta,True,8.5,0.9964
eta,eta,True,8.75,0.9956
eta,eta,True,9.0,0.9944
eta,eta,True,9.25,0.9926
eta,eta,True,9.5,0.99
eta,eta,True,9.75,0.989
eta,eta,True,10.0,0.9866
eta,eta,True,10.25,0.9832
eta,eta,True,10.5,0.9792
eta,eta,True,10.75,0.9746
eta,eta,True,11.0,0.9676
eta,eta,True,11.25,0.96
eta,eta,True,11.5,0.9494
eta,eta,True,11.75,0.9372
eta,eta,True,12.0,0.9188
eta,eta,True,12.25,0.899
eta,eta,True,12.5,0.8798
eta,eta,True,12.75,0.8478
eta,eta,True,13.0,0.817
eta,eta,True,13.25,0.7818
eta,eta,True,13.5,0.745
eta,eta,True,13.75,0.6986
eta,eta,True,14.0,0.6538
eta,eta,True,14.25,0.6016
eta,eta,True,14.5,0.5454
eta,eta,True,14.75,0.4772
eta,eta,True,15.0,0.4174
eta,eta,True,15.25,0.3606
eta,eta,True,15.5,0.299
eta,eta,True,15.75,0.2442
eta,eta,True,16.0,0.1948
eta,eta,True,16.25,0.1472
eta,eta,True,16.5,0.1106
eta,eta,True,16.75,0.078
eta,eta,True,17.0,0.0542
eta,eta,True,17.25,0.0388
eta,eta,True,17.5,0.0254
eta,eta,True,17.75,0.0162
eta,eta,True,18.0,0.0094
eta,eta,True,18.25,0.005
eta,eta,True,18.5,0.0022
eta,eta,True,18.75,0.0008
eta,eta,True,19.0,0.0004
