topic,group,label,x,y,x_err,y_err,n,deaths,curve_set,coordinate,coordinate_class,distance,distance_sq,factor,projected_log_median,projected_log_steepness
diet,Poor,Poor,1.0111675126903554,0.997631848385146,0.005968299880893023,0.027724661256650383,27271,2586.0,mean_model_curve,eta,senogenic,0.0005731666786836346,3.2852004155322885e-07,0.9876750700280111,0.011089069208002306,-0.002943887892436383
diet,Poor,Poor,1.0111675126903554,0.997631848385146,0.005968299880893023,0.027724661256650383,27271,2586.0,mean_model_curve,beta,senogenic,0.00937922671382277,8.796989374928665e-05,1.0049619847939175,0.005212202587572702,0.004925447710328004
diet,Poor,Poor,1.0111675126903554,0.997631848385146,0.005968299880893023,0.027724661256650383,27271,2586.0,mean_model_curve,Xc,robustness,0.011573741033262001,0.00013395148150501256,1.000800320128051,0.00023868862653009606,0.0016116724256154055
diet,Poor,Poor,1.0111675126903554,0.997631848385146,0.005968299880893023,0.027724661256650383,27271,2586.0,mean_model_curve,epsilon,robustness,0.011540501271873902,0.00013318316960612313,0.9991996798719487,-9.515977402818707e-07,0.0007638950018764227
diet,Poor,Poor,1.0111675126903554,0.997631848385146,0.005968299880893023,0.027724661256650383,27271,2586.0,mean_model_curve,h_ext,extrinsic,0.013757223164874393,0.0001892611892081566,0.0001,-0.0011665781836224676,-0.00858822873347331
diet,Good,Good,1.0233502538071066,1.1442717104369384,0.0023873199523572093,0.055610680843957074,12236,1656.0,mean_model_curve,eta,senogenic,0.13823253883915898,0.019108234793919595,0.9871148459383753,0.01160355677711361,-0.002986787748174219
diet,Good,Good,1.0233502538071066,1.1442717104369384,0.0023873199523572093,0.055610680843957074,12236,1656.0,mean_model_curve,beta,senogenic,0.08806024211233682,0.007754606240883378,1.074749899959984,0.07986715325230465,0.06746287080598094
diet,Good,Good,1.0233502538071066,1.1442717104369384,0.0023873199523572093,0.055610680843957074,12236,1656.0,mean_model_curve,Xc,robustness,0.020365702552966995,0.0004147618404759264,1.104201680672269,0.042482072998722586,0.12857228338088758
diet,Good,Good,1.0233502538071066,1.1442717104369384,0.0023873199523572093,0.055610680843957074,12236,1656.0,mean_model_curve,epsilon,robustness,0.010399926769498075,0.00010815847681092266,0.8868347338935574,0.03318278965479941,0.13229276577375124
diet,Good,Good,1.0233502538071066,1.1442717104369384,0.0023873199523572093,0.055610680843957074,12236,1656.0,mean_model_curve,h_ext,extrinsic,0.14539291495514872,0.021139099719155112,0.0001,-0.0011665781836224676,-0.00858822873347331
