curve_set,topic,group,label,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,central_best_distance,central_second_distance,central_distance_margin
mean_model_curve,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.016666666666666666,0.08333333333333333,0.8966666666666666,0.0,0.02,0.98,0.0,0.16102862835200937,0.10344460231316427,0.024427069559908282,0.012710158173894858,0.1681957567214057,0.012710158173894858,0.024427069559908282,0.011716911386013424
Xc_high,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.023333333333333334,0.14,0.8333333333333334,0.0,0.02666666666666667,0.9733333333333334,0.0,0.15670655571914766,0.09759650903450263,0.015854696344243933,0.0025106806670677126,0.1720013955127645,0.0025106806670677126,0.015854696344243933,0.01334401567717622
Xc_low,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.01,0.03,0.9566666666666667,0.0,0.013333333333333334,0.9866666666666667,0.0,0.16434798111059112,0.1114057059324783,0.034714053811716224,0.02553059416594938,0.1684630432465776,0.02553059416594938,0.034714053811716224,0.009183459645766844
beta_high,diet,Good,Good,300,epsilon,robustness,0.006666666666666667,0.023333333333333334,0.13,0.84,0.0,0.03,0.97,0.0,0.1586214233816656,0.09780239168704867,0.01581276184376564,0.005944711722485028,0.16801745156207173,0.005944711722485028,0.01581276184376564,0.00986805012128061
beta_low,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.013333333333333334,0.03666666666666667,0.9466666666666667,0.0,0.016666666666666666,0.9833333333333333,0.0,0.1635019158173913,0.10495882390631776,0.03205553153356007,0.01867712475713968,0.16022201901061664,0.01867712475713968,0.03205553153356007,0.013378406776420389
central,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.016666666666666666,0.07666666666666666,0.9033333333333333,0.0,0.02,0.98,0.0,0.16204075772486032,0.10240185917117543,0.024019752365203186,0.011499933804488495,0.1725865908209494,0.011499933804488495,0.024019752365203186,0.01251981856071469
epsilon_high,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.01,0.03666666666666667,0.95,0.0,0.013333333333333334,0.9866666666666667,0.0,0.17349591804216283,0.10743920109546401,0.032599610715680766,0.02102203776540854,0.16945182325726535,0.02102203776540854,0.032599610715680766,0.011577572950272227
epsilon_low,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.016666666666666666,0.14,0.84,0.0,0.02,0.98,0.0,0.15876497369072032,0.10327337650936191,0.016582555540710236,0.0035231303104794037,0.17015831207154802,0.0035231303104794037,0.016582555540710236,0.013059425230230832
eta_high,diet,Good,Good,300,epsilon,robustness,0.006666666666666667,0.02,0.11666666666666667,0.8566666666666667,0.0,0.02666666666666667,0.9733333333333334,0.0,0.15253816515331203,0.10051824045269228,0.02036171929985758,0.008789525563634309,0.15499161545342538,0.008789525563634309,0.02036171929985758,0.011572193736223271
eta_low,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.016666666666666666,0.08666666666666667,0.8933333333333333,0.0,0.02,0.98,0.0,0.16178803266745548,0.10338886442865658,0.022594072259624374,0.01220520468660514,0.17773494619813612,0.01220520468660514,0.022594072259624374,0.010388867573019234
