topic,group,label,n_curve_sets,p_eta_min,p_eta_max,central_distance_eta_min,central_distance_eta_max,p_beta_min,p_beta_max,central_distance_beta_min,central_distance_beta_max,p_Xc_min,p_Xc_max,central_distance_Xc_min,central_distance_Xc_max,p_epsilon_min,p_epsilon_max,central_distance_epsilon_min,central_distance_epsilon_max,p_h_ext_min,p_h_ext_max,central_distance_h_ext_min,central_distance_h_ext_max,p_senogenic_min,p_senogenic_max,p_robustness_min,p_robustness_max,p_extrinsic_min,p_extrinsic_max,central_curve_best
diet,Good,Good,11,0.0033333333333333335,0.006666666666666667,0.15139005382449322,0.17349591804216283,0.01,0.023333333333333334,0.09759650903450263,0.1114057059324783,0.03,0.14,0.01581276184376564,0.034714053811716224,0.8333333333333334,0.9566666666666667,0.0025106806670677126,0.02553059416594938,0.0,0.0,0.15499161545342538,0.17773494619813612,0.013333333333333334,0.03,0.97,0.9866666666666667,0.0,0.0,epsilon
diet,Poor,Poor,11,0.09,0.14666666666666667,0.01372890125822594,0.03590095330130754,0.09666666666666666,0.19333333333333333,0.00033189598369662884,0.009737362372359462,0.15666666666666668,0.26666666666666666,0.004241893363518881,0.010812582156643885,0.29333333333333333,0.44,0.004981496387668823,0.010394232095991166,0.13333333333333333,0.24333333333333335,0.021567092307111724,0.041474403783493714,0.2,0.34,0.4766666666666667,0.65,0.13333333333333333,0.24333333333333335,beta
number_of_friends,0 friends,0 friends,11,0.07,0.08666666666666667,0.14477403363716826,0.16136722773088177,0.08666666666666667,0.10333333333333333,0.07789024637840562,0.0901504693350088,0.10666666666666667,0.24333333333333335,0.0010661148019716006,0.01929715674103703,0.15666666666666668,0.3466666666666667,0.0004353530727226591,0.01481592042331149,0.26,0.5733333333333334,0.021143245252246406,0.0351472775000302,0.16,0.19,0.2633333333333333,0.55,0.26,0.5733333333333334,epsilon
number_of_friends,1+ friends,1+ friends,11,0.17666666666666667,0.2733333333333333,0.01372890125822594,0.03590095330130754,0.14,0.26666666666666666,0.00033189598369662884,0.009737362372359462,0.11,0.34,0.004241893363518881,0.010812582156643885,0.06,0.3433333333333333,0.004981496387668823,0.010394232095991166,0.11,0.2833333333333333,0.021567092307111724,0.041474403783493714,0.3433333333333333,0.54,0.2833333333333333,0.46,0.11,0.2833333333333333,beta
income,Q1 (Lowest),Q1 income,11,0.0,0.0,0.28940881710499217,0.3078839068482953,0.0,0.0,0.19010060621978764,0.2043195446503744,0.0033333333333333335,0.06,0.04369357130519415,0.08766914149699578,0.02666666666666667,0.5533333333333333,0.02141817762122497,0.07388577278751597,0.38666666666666666,0.97,0.0004841119053127934,0.023096194431767917,0.0,0.0,0.03,0.6133333333333333,0.38666666666666666,0.97,h_ext
income,Q2,Q2 income,11,0.05,0.07,0.13001247612705397,0.1481884080787334,0.07333333333333333,0.10333333333333333,0.07718593809564779,0.08854041506868358,0.16,0.44333333333333336,0.003921827207746114,0.025245929958806045,0.26,0.36333333333333334,0.0011122838581042293,0.01842646945300903,0.07333333333333333,0.43666666666666665,0.010902732860119616,0.023487538572422046,0.13333333333333333,0.17,0.42,0.7566666666666667,0.07333333333333333,0.43666666666666665,epsilon
income,Q3,Q3 income,11,0.02,0.04,0.15139005382449322,0.17349591804216283,0.016666666666666666,0.03,0.09759650903450263,0.1114057059324783,0.03333333333333333,0.07,0.01581276184376564,0.034714053811716224,0.86,0.91,0.0025106806670677126,0.02553059416594938,0.006666666666666667,0.016666666666666666,0.15499161545342538,0.17773494619813612,0.04666666666666667,0.06333333333333334,0.9266666666666666,0.9433333333333334,0.006666666666666667,0.016666666666666666,epsilon
income,Q4 (Highest),Q4 income,11,0.0,0.0,0.4858799762293191,0.5058227488980498,0.0,0.0,0.32655622108147925,0.3498114002929969,0.0,0.006688963210702341,0.10050946382551125,0.15114980098179226,0.9933110367892977,1.0,0.03303457926982062,0.08889560651447148,0.0,0.0,0.48892618986376885,0.5118293170168303,0.0,0.0,1.0,1.0,0.0,0.0,epsilon
alcohol,0-1 drink/day,0-1 drink/day,11,0.0,0.0,0.2458950792428184,0.26806741914359533,0.0,0.0,0.15013879558343451,0.16556418377921775,0.0033333333333333335,0.32666666666666666,0.015414744056171345,0.0474130762860286,0.6733333333333333,0.9966666666666667,0.0002808872465587629,0.030175864034261854,0.0,0.0,0.25029842247834694,0.27293161656106985,0.0,0.0,1.0,1.0,0.0,0.0,epsilon
alcohol,>4 drinks/day,>4 drinks/day,11,0.0,0.0,0.19527270216198642,0.212630439538225,0.0,0.0,0.11638578346505425,0.12927629011261718,0.03666666666666667,0.26,0.012320764930683068,0.04234771852389968,0.15333333333333332,0.5233333333333333,0.002372758737772629,0.03287930521384049,0.22333333333333333,0.81,0.011732461994042667,0.031017939555321453,0.0,0.0,0.19,0.7766666666666666,0.22333333333333333,0.81,epsilon
physical_activity,No Activity,No Activity,11,0.03666666666666667,0.056666666666666664,0.06220624884287565,0.08109950768794184,0.06333333333333334,0.09666666666666666,0.03691828419895708,0.04563900734527025,0.17333333333333334,0.5333333333333333,0.0003195353635345051,0.008897202762005972,0.2833333333333333,0.35333333333333333,0.00022856391157272755,0.007415609239322973,0.04,0.38666666666666666,0.010948607219555064,0.01656942354909905,0.10333333333333333,0.14333333333333334,0.49,0.82,0.04,0.38666666666666666,epsilon
physical_activity,Some Activity,Some Activity,11,0.02,0.023333333333333334,0.11377124381589401,0.13516424682922595,0.11666666666666667,0.20666666666666667,0.05132937884243311,0.06464128787845218,0.4266666666666667,0.7833333333333333,0.002309923156734866,0.017924009147132637,0.02666666666666667,0.43666666666666665,0.009238463798098867,0.027338349536089046,0.0,0.0,0.12251633683762893,0.1439399102292473,0.13666666666666666,0.23,0.77,0.8633333333333333,0.0,0.0,Xc
sleep_duration,1-<5 hours,1-5 h sleep,11,0.0,0.0033333333333333335,0.2750504299701055,0.294685158087864,0.0,0.0033333333333333335,0.18813951188473163,0.20132362514929408,0.006666666666666667,0.06333333333333334,0.05154075166830494,0.09253484431437162,0.03,0.32666666666666666,0.030212147817556895,0.07970263892314773,0.6066666666666667,0.96,0.00104312063215244,0.016206542926879026,0.0,0.0033333333333333335,0.03666666666666667,0.39,0.6066666666666667,0.96,h_ext
