topic,group,label,x,y,log_median,log_steepness,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,central_best_distance,central_second_distance,central_distance_margin,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,n_curve_sets,p_eta_min,p_beta_min,p_Xc_min,p_epsilon_min,p_h_ext_min,p_eta_max,p_beta_max,p_Xc_max,p_epsilon_max,p_h_ext_max,p_senogenic_min,p_senogenic_max,p_robustness_min,p_robustness_max,p_extrinsic_min,p_extrinsic_max,central_distance_eta_min,central_distance_beta_min,central_distance_Xc_min,central_distance_epsilon_min,central_distance_h_ext_min,central_distance_eta_max,central_distance_beta_max,central_distance_Xc_max,central_distance_epsilon_max,central_distance_h_ext_max,central_best_coordinate_display,p_m_ex,p_m_ex_min,p_m_ex_max,central_distance_m_ex,central_distance_m_ex_min,central_distance_m_ex_max
diet,Good,Good,1.0263241692133402,1.1704657702236956,0.0259836512444649,0.15740176379947582,300,epsilon,robustness,0.012710158173894858,0.024427069559908282,0.011716911386013424,0.16102862835200937,0.10344460231316427,0.024427069559908282,0.012710158173894858,0.1681957567214057,0.0033333333333333335,0.016666666666666666,0.08333333333333333,0.8966666666666666,0.0,0.02,0.98,0.0,11,0.0033333333333333335,0.01,0.03,0.8333333333333334,0.0,0.006666666666666667,0.023333333333333334,0.14,0.9566666666666667,0.0,0.013333333333333334,0.03,0.97,0.9866666666666667,0.0,0.0,0.15139005382449322,0.09759650903450263,0.01581276184376564,0.0025106806670677126,0.15499161545342538,0.17349591804216283,0.1114057059324783,0.034714053811716224,0.02553059416594938,0.17773494619813612,ε,0.0,0.0,0.0,0.1681957567214057,0.15499161545342538,0.17773494619813612
diet,Poor,Poor,1.0141060243417528,1.020469106392508,0.014007460197749136,0.020262429798754387,300,beta,senogenic,0.006042639911142868,0.006961663159526858,0.0009190232483839902,0.02336857268127013,0.006042639911142868,0.006961663159526858,0.008576434476500683,0.032597729039651545,0.12333333333333334,0.14666666666666667,0.19,0.35333333333333333,0.18666666666666668,0.27,0.5433333333333333,0.18666666666666668,11,0.09,0.09666666666666666,0.15666666666666668,0.29333333333333333,0.13333333333333333,0.14666666666666667,0.19333333333333333,0.26666666666666666,0.44,0.24333333333333335,0.2,0.34,0.4766666666666667,0.65,0.13333333333333333,0.24333333333333335,0.01372890125822594,0.00033189598369662884,0.004241893363518881,0.004981496387668823,0.021567092307111724,0.03590095330130754,0.009737362372359462,0.010812582156643885,0.010394232095991166,0.041474403783493714,β,0.18666666666666668,0.13333333333333333,0.24333333333333335,0.032597729039651545,0.021567092307111724,0.041474403783493714
number_of_friends,0 friends,0 friends,0.953015299983816,0.8580482150136116,-0.04812432090925697,-0.15309498641847624,300,epsilon,robustness,0.004105776798024051,0.007129857023048318,0.0030240802250242676,0.15477239736419862,0.08461879272050706,0.007129857023048318,0.004105776798024051,0.03089312276366209,0.08333333333333333,0.09,0.14666666666666667,0.2966666666666667,0.38333333333333336,0.17333333333333334,0.44333333333333336,0.38333333333333336,11,0.07,0.08666666666666667,0.10666666666666667,0.15666666666666668,0.26,0.08666666666666667,0.10333333333333333,0.24333333333333335,0.3466666666666667,0.5733333333333334,0.16,0.19,0.2633333333333333,0.55,0.26,0.5733333333333334,0.14477403363716826,0.07789024637840562,0.0010661148019716006,0.0004353530727226591,0.021143245252246406,0.16136722773088177,0.0901504693350088,0.01929715674103703,0.01481592042331149,0.0351472775000302,ε,0.38333333333333336,0.26,0.5733333333333334,0.03089312276366209,0.021143245252246406,0.0351472775000302
number_of_friends,1+ friends,1+ friends,1.0141060243417528,1.020469106392508,0.014007460197749136,0.020262429798754387,300,beta,senogenic,0.006042639911142868,0.006961663159526858,0.0009190232483839902,0.02336857268127013,0.006042639911142868,0.006961663159526858,0.008576434476500683,0.032597729039651545,0.23,0.19666666666666666,0.28,0.11333333333333333,0.18,0.4266666666666667,0.3933333333333333,0.18,11,0.17666666666666667,0.14,0.11,0.06,0.11,0.2733333333333333,0.26666666666666666,0.34,0.3433333333333333,0.2833333333333333,0.3433333333333333,0.54,0.2833333333333333,0.46,0.11,0.2833333333333333,0.01372890125822594,0.00033189598369662884,0.004241893363518881,0.004981496387668823,0.021567092307111724,0.03590095330130754,0.009737362372359462,0.010812582156643885,0.010394232095991166,0.041474403783493714,β,0.18,0.11,0.2833333333333333,0.032597729039651545,0.021567092307111724,0.041474403783493714
income,Q1 (Lowest),Q1 income,0.953015299983816,0.7410416402390281,-0.04812432090925697,-0.2996984606103518,300,h_ext,extrinsic,0.014221035164691162,0.04319542676556986,0.028974391600878696,0.30077463955455624,0.19676816990327756,0.0628751613292251,0.04319542676556986,0.014221035164691162,0.0,0.0,0.016666666666666666,0.20666666666666667,0.7766666666666666,0.0,0.22333333333333333,0.7766666666666666,11,0.0,0.0,0.0033333333333333335,0.02666666666666667,0.38666666666666666,0.0,0.0,0.06,0.5533333333333333,0.97,0.0,0.0,0.03,0.6133333333333333,0.38666666666666666,0.97,0.28940881710499217,0.19010060621978764,0.04369357130519415,0.02141817762122497,0.0004841119053127934,0.3078839068482953,0.2043195446503744,0.08766914149699578,0.07388577278751597,0.023096194431767917,m_ex,0.7766666666666666,0.38666666666666666,0.97,0.014221035164691162,0.0004841119053127934,0.023096194431767917
income,Q2,Q2 income,0.9652334448554033,0.8690488331548117,-0.03538529513182725,-0.1403559606410465,300,epsilon,robustness,0.004178576664140464,0.014455297509644388,0.010276720845503923,0.14093207289099793,0.08326005788339873,0.014455297509644388,0.004178576664140464,0.019639511709716066,0.06333333333333334,0.08666666666666667,0.2833333333333333,0.33,0.23666666666666666,0.15,0.6133333333333333,0.23666666666666666,11,0.05,0.07333333333333333,0.16,0.26,0.07333333333333333,0.07,0.10333333333333333,0.44333333333333336,0.36333333333333334,0.43666666666666665,0.13333333333333333,0.17,0.42,0.7566666666666667,0.07333333333333333,0.43666666666666665,0.13001247612705397,0.07718593809564779,0.003921827207746114,0.0011122838581042293,0.010902732860119616,0.1481884080787334,0.08854041506868358,0.025245929958806045,0.01842646945300903,0.023487538572422046,ε,0.23666666666666666,0.07333333333333333,0.43666666666666665,0.019639511709716066,0.010902732860119616,0.023487538572422046
income,Q3,Q3 income,1.0263241692133402,1.1704657702236956,0.0259836512444649,0.15740176379947582,300,epsilon,robustness,0.012710158173894858,0.024427069559908282,0.011716911386013424,0.16102862835200937,0.10344460231316427,0.024427069559908282,0.012710158173894858,0.1681957567214057,0.03333333333333333,0.02,0.05,0.8866666666666667,0.01,0.05333333333333334,0.9366666666666666,0.01,11,0.02,0.016666666666666666,0.03333333333333333,0.86,0.006666666666666667,0.04,0.03,0.07,0.91,0.016666666666666666,0.04666666666666667,0.06333333333333334,0.9266666666666666,0.9433333333333334,0.006666666666666667,0.016666666666666666,0.15139005382449322,0.09759650903450263,0.01581276184376564,0.0025106806670677126,0.15499161545342538,0.17349591804216283,0.1114057059324783,0.034714053811716224,0.02553059416594938,0.17773494619813612,ε,0.01,0.006666666666666667,0.016666666666666666,0.1681957567214057,0.15499161545342538,0.17773494619813612
income,Q4 (Highest),Q4 income,1.050760458956515,1.6340918220655491,0.04951414865465894,0.49108718951350955,299,epsilon,robustness,0.05304624139942712,0.11279577266081539,0.059749531261388274,0.49551441918698397,0.3384054160247243,0.11279577266081539,0.05304624139942712,0.5022390463446204,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11,0.0,0.0,0.0,0.9933110367892977,0.0,0.0,0.0,0.006688963210702341,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4858799762293191,0.32655622108147925,0.10050946382551125,0.03303457926982062,0.48892618986376885,0.5058227488980498,0.3498114002929969,0.15114980098179226,0.08889560651447148,0.5118293170168303,ε,0.0,0.0,0.0,0.5022390463446204,0.48892618986376885,0.5118293170168303
alcohol,0-1 drink/day,0-1 drink/day,1.050760458956515,1.2839292887657887,0.04951414865465894,0.24992513269662153,300,epsilon,robustness,0.009561605660647128,0.028596405876281695,0.019034800215634567,0.25516353261361324,0.15723933853008035,0.028596405876281695,0.009561605660647128,0.2634344208920758,0.0,0.0,0.03,0.97,0.0,0.0,1.0,0.0,11,0.0,0.0,0.0033333333333333335,0.6733333333333333,0.0,0.0,0.0,0.32666666666666666,0.9966666666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2458950792428184,0.15013879558343451,0.015414744056171345,0.0002808872465587629,0.25029842247834694,0.26806741914359533,0.16556418377921775,0.0474130762860286,0.030175864034261854,0.27293161656106985,ε,0.0,0.0,0.0,0.2634344208920758,0.25029842247834694,0.27293161656106985
alcohol,>4 drinks/day,>4 drinks/day,0.953015299983816,0.8151458042629309,-0.04812432090925697,-0.2043882808060269,300,epsilon,robustness,0.011957994074043816,0.025116158291757798,0.013158164217713982,0.20585356306484165,0.12372690304830616,0.025988796887896227,0.011957994074043816,0.025116158291757798,0.0,0.0,0.13333333333333333,0.36333333333333334,0.5033333333333333,0.0,0.49666666666666665,0.5033333333333333,11,0.0,0.0,0.03666666666666667,0.15333333333333332,0.22333333333333333,0.0,0.0,0.26,0.5233333333333333,0.81,0.0,0.0,0.19,0.7766666666666666,0.22333333333333333,0.81,0.19527270216198642,0.11638578346505425,0.012320764930683068,0.002372758737772629,0.011732461994042667,0.212630439538225,0.12927629011261718,0.04234771852389968,0.03287930521384049,0.031017939555321453,ε,0.5033333333333333,0.22333333333333333,0.81,0.025116158291757798,0.011732461994042667,0.031017939555321453
