topic,group,label,x,y,x_err,y_err,n,deaths,xc_factor,xc_factor_low,xc_factor_median_mc,xc_factor_high,xc_factor_std,x_projected,y_projected,projection_distance
diet,Poor,Poor,1.0111675126903554,0.997631848385146,0.005968299880893023,0.027724661256650383,27271,2586.0,1.000800320128051,0.9652661064425769,1.000800320128051,1.0360144057623049,0.018046054600983314,1.0002386471394134,1.0016113408816392,0.01163084101689187
diet,Good,Good,1.0233502538071066,1.1442717104369384,0.0023873199523572093,0.055610680843957074,12236,1656.0,1.1051620648259304,1.0280112044817926,1.10500200080032,1.1874349739895957,0.04026895331240285,1.0437587069797565,1.138436761704712,0.021226200498627917
number_of_friends,0 friends,0 friends,0.950253807106599,0.8388458027639211,0.018579778614446648,0.14010486261938443,637,288.0,0.8865146058423369,0.736046418567427,0.8865146058423369,1.066122448979592,0.08471813589316429,0.9395478169872004,0.8437372697125259,0.011770500131513338
number_of_friends,1+ friends,1+ friends,1.0111675126903554,0.997631848385146,0.0,0.023983687729216743,13031,5571.0,1.000800320128051,0.9703881552621048,1.001440576230492,1.0337735094037614,0.016160494760575992,1.0002386471394134,1.0016113408816392,0.01163084101689187
income,Q1 (Lowest),Q1 income,0.950253807106599,0.724457738750659,0.010656243028066456,0.04321224241344358,7897,763.0,0.8199279711884754,0.7731892757102841,0.8202480992396959,0.8689075630252101,0.024579690322629445,0.8958897205638093,0.7526430354175694,0.061236140095810056
income,Q2,Q2 income,0.9624365482233503,0.8496002361326892,0.008135116032388168,0.055573880666262426,7770,993.0,0.8961184473789515,0.8333733493397358,0.8954781912765106,0.9604721888755503,0.03246191636763781,0.9452791015701506,0.8569337265730432,0.018658994016188514
income,Q3,Q3 income,1.0233502538071066,1.1442717104369384,0.006086495511129404,0.09984266402370386,7783,788.0,1.1051620648259304,0.9742296918767506,1.10500200080032,1.2546618647458982,0.07287959563383486,1.0437587069797565,1.138436761704712,0.021226200498627917
income,Q4 (Highest),Q4 income,1.0477157360406093,1.597522193142479,0.005448287457867509,0.1083471090357268,7784,486.0,1.4,1.2911564625850338,1.4,1.4,0.028850372458215222,1.1287753400132439,1.4977230664870662,0.12857108958620317
alcohol,>4 drinks/day,>4 drinks/day,0.950253807106599,0.7969035126257249,0.012925193625867868,0.04718436499038651,4963,430.0,0.8612244897959183,0.8096838735494197,0.8618647458983593,0.9169267707082833,0.027676873893363277,0.9237977874959843,0.8090316582313818,0.029103485864570337
alcohol,0-1 drink/day,0-1 drink/day,1.0477157360406093,1.2551960088976621,0.005881879896644863,0.0609195095101623,11241,1738.0,1.1915966386554622,1.1022729091636654,1.1912765106042418,1.282529011604642,0.04616854055332481,1.0737960604353178,1.2484412550097521,0.026940861541893284
physical_activity,No Activity,No Activity,0.9746192893401016,0.9081521511404274,0.007002692156686252,0.03645429005289974,12510,2147.0,0.9351740696278511,0.8906762705082032,0.9354941976790716,0.9815926370548218,0.02323115053445639,0.9673233698369336,0.9110703502796561,0.007857883150881189
physical_activity,Some Activity,Some Activity,1.0477157360406093,1.0982965077854543,0.0052752816474179,0.05354797967760916,23951,1356.0,1.0776310524209682,1.0071948779511803,1.0766706682673068,1.1506202480992398,0.036963677938291147,1.0331458313046276,1.1028218668453706,0.015256506763894225
sleep_duration,1-<5 hours,1-5 h sleep,0.9624365482233503,0.7337456584782316,0.02113626587561113,0.06305259864170545,2092,307.0,0.8285714285714285,0.7623049219687875,0.828891556622649,0.9041296518607443,0.035793922083097444,0.9019666494189041,0.7644052062998458,0.06779835200095803
sleep_duration,5-<7 hours,5-7 h sleep,1.0111675126903554,0.9422078568081933,0.00394953869907346,0.03357033060330004,12255,1251.0,0.9649459783913565,0.9242897158863546,0.9655862344937975,1.009451780712285,0.021597682591249362,0.9828694215677632,0.9525340615699245,0.03012328776816585
sleep_duration,7-<9 hours,7-9 h sleep,1.0233502538071066,1.1442717104369384,0.002106592868928802,0.04191548314543049,22189,2178.0,1.1051620648259304,1.0462424969987996,1.1061224489795918,1.168235294117647,0.030938399361275792,1.0437587069797565,1.138436761704712,0.021226200498627917
sleep_duration,>=9 hours,>=9 h sleep,0.950253807106599,0.724457738750659,0.010849481671698096,0.05344716048311557,5389,781.0,0.8199279711884754,0.7632573029211684,0.8205682272909163,0.8794797919167667,0.02918959896343289,0.8958897205638093,0.7526430354175694,0.061236140095810056
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.9868020304568529,0.7881463311682995,0.00951424503382876,0.04719588998782171,2945,532.0,0.8660264105642257,0.8151260504201681,0.8663465386154461,0.9204561824729892,0.027132799160626886,0.926863601741592,0.8156142990710233,0.06593257539001098
sleep_frailty,Q1 (lowest),Q1 sleep frailty,1.0111675126903554,1.0599838389092175,0.0056410169678571655,0.06958924467135963,2951,614.0,1.042737094837935,0.951172468987595,1.0436974789915965,1.1426250500200081,0.048659378226537056,1.018856710360121,1.0573127149403188,0.008139942509744947
church_frequency,never,never,0.9746192893401016,0.9615728659133936,0.009749238102940535,0.05159237632934707,2415,817.0,0.9687875150060024,0.9057222889155662,0.9694277711084434,1.0373029211684675,0.033322109867372114,0.9847995903466082,0.9578554285930851,0.010837798153384452
church_frequency,sometimes,sometimes,1.0111675126903554,0.997631848385146,0.008855771863741525,0.07862675316003966,1882,438.0,1.000800320128051,0.9012244897959183,1.002561024409764,1.1099719887955182,0.05411693007581076,1.0002386471394134,1.0016113408816392,0.01163084101689187
church_frequency,weekly,weekly,1.0355329949238579,1.1578939927040448,0.008436933048453582,0.09326775574441565,1890,582.0,1.1173269307723088,0.992468987595038,1.1186074429771908,1.2556222488995599,0.06625705694400073,1.0482873563705666,1.1540874605025584,0.013310275102876074
education_level,no highschool,no high school,0.9746192893401016,0.8173369360263846,0.0044993751015519326,0.02304410827292601,15116,3710.0,0.8801120448179272,0.854501800720288,0.8804321728691475,0.9070028011204481,0.013530937941002753,0.9356518851333584,0.8349435510055334,0.04276039618193092
education_level,some college,some college,1.0233502538071066,1.0727547285346297,0.006060837180344894,0.03815531488304666,27001,3163.0,1.0545818327330931,1.0036814725890355,1.0536214485794317,1.1090036014405762,0.026869931896610254,1.023820656006481,1.0728255353112008,0.0004757014071712475
