factor,age,remaining_median,n,random_seed,baseline_remaining,gain_years
0.6,60,9.174999999999997,100000,20260520,23.724999999999994,-14.549999999999997
0.6,65,7.224999999999994,100000,20260520,19.275000000000006,-12.050000000000011
0.6,70,5.525000000000006,100000,20260520,15.125,-9.599999999999994
0.6,75,4.224999999999994,100000,20260520,11.474999999999994,-7.25
0.6,80,3.25,100000,20260520,8.349999999999994,-5.099999999999994
0.6,85,2.325000000000003,100000,20260520,5.825000000000003,-3.5
0.6,90,1.5499999999999972,100000,20260520,4.025000000000006,-2.4750000000000085
0.6,95,0.9500000000000028,100000,20260520,2.700000000000003,-1.75
0.6,100,1.5875000000000057,100000,20260520,1.875,-0.2874999999999943
0.65,60,10.875,100000,20260621,23.724999999999994,-12.849999999999994
0.65,65,8.549999999999997,100000,20260621,19.275000000000006,-10.725000000000009
0.65,70,6.525000000000006,100000,20260621,15.125,-8.599999999999994
0.65,75,4.849999999999994,100000,20260621,11.474999999999994,-6.625
0.65,80,3.700000000000003,100000,20260621,8.349999999999994,-4.6499999999999915
0.65,85,2.7750000000000057,100000,20260621,5.825000000000003,-3.049999999999997
0.65,90,2.0250000000000057,100000,20260621,4.025000000000006,-2.0
0.65,95,1.4249999999999972,100000,20260621,2.700000000000003,-1.2750000000000057
0.65,100,1.5625,100000,20260621,1.875,-0.3125
0.7,60,12.674999999999997,100000,20260722,23.724999999999994,-11.049999999999997
0.7,65,9.900000000000006,100000,20260722,19.275000000000006,-9.375
0.7,70,7.575000000000003,100000,20260722,15.125,-7.549999999999997
0.7,75,5.724999999999994,100000,20260722,11.474999999999994,-5.75
0.7,80,4.25,100000,20260722,8.349999999999994,-4.099999999999994
0.7,85,3.174999999999997,100000,20260722,5.825000000000003,-2.6500000000000057
0.7,90,2.2750000000000057,100000,20260722,4.025000000000006,-1.75
0.7,95,1.5999999999999943,100000,20260722,2.700000000000003,-1.1000000000000085
0.7,100,0.9000000000000057,100000,20260722,1.875,-0.9749999999999943
0.75,60,14.650000000000006,100000,20260823,23.724999999999994,-9.074999999999989
0.75,65,11.474999999999994,100000,20260823,19.275000000000006,-7.800000000000011
0.75,70,8.724999999999994,100000,20260823,15.125,-6.400000000000006
0.75,75,6.5,100000,20260823,11.474999999999994,-4.974999999999994
0.75,80,4.849999999999994,100000,20260823,8.349999999999994,-3.5
0.75,85,3.4749999999999943,100000,20260823,5.825000000000003,-2.3500000000000085
0.75,90,2.5,100000,20260823,4.025000000000006,-1.5250000000000057
0.75,95,1.7750000000000057,100000,20260823,2.700000000000003,-0.9249999999999972
0.75,100,1.5,100000,20260823,1.875,-0.375
0.8,60,16.674999999999997,100000,20260924,23.724999999999994,-7.049999999999997
0.8,65,13.125,100000,20260924,19.275000000000006,-6.150000000000006
0.8,70,10.099999999999994,100000,20260924,15.125,-5.025000000000006
0.8,75,7.525000000000006,100000,20260924,11.474999999999994,-3.9499999999999886
0.8,80,5.474999999999994,100000,20260924,8.349999999999994,-2.875
0.8,85,3.924999999999997,100000,20260924,5.825000000000003,-1.9000000000000057
0.8,90,2.7750000000000057,100000,20260924,4.025000000000006,-1.25
0.8,95,1.9874999999999972,100000,20260924,2.700000000000003,-0.7125000000000057
0.8,100,1.2125000000000057,100000,20260924,1.875,-0.6624999999999943
0.85,60,18.625,100000,20261025,23.724999999999994,-5.099999999999994
0.85,65,14.775000000000006,100000,20261025,19.275000000000006,-4.5
0.85,70,11.375,100000,20261025,15.125,-3.75
0.85,75,8.474999999999994,100000,20261025,11.474999999999994,-3.0
0.85,80,6.125,100000,20261025,8.349999999999994,-2.2249999999999943
0.85,85,4.375,100000,20261025,5.825000000000003,-1.4500000000000028
0.85,90,3.0999999999999943,100000,20261025,4.025000000000006,-0.9250000000000114
0.85,95,2.075000000000003,100000,20261025,2.700000000000003,-0.625
0.85,100,1.4500000000000028,100000,20261025,1.875,-0.42499999999999716
0.9,60,20.325000000000003,100000,20261126,23.724999999999994,-3.3999999999999915
0.9,65,16.275000000000006,100000,20261126,19.275000000000006,-3.0
0.9,70,12.625,100000,20261126,15.125,-2.5
0.9,75,9.450000000000003,100000,20261126,11.474999999999994,-2.0249999999999915
0.9,80,6.849999999999994,100000,20261126,8.349999999999994,-1.5
0.9,85,4.825000000000003,100000,20261126,5.825000000000003,-1.0
0.9,90,3.375,100000,20261126,4.025000000000006,-0.6500000000000057
0.9,95,2.375,100000,20261126,2.700000000000003,-0.32500000000000284
0.9,100,1.5250000000000057,100000,20261126,1.875,-0.3499999999999943
0.95,60,22.099999999999994,100000,20261227,23.724999999999994,-1.625
0.95,65,17.825000000000003,100000,20261227,19.275000000000006,-1.4500000000000028
0.95,70,13.875,100000,20261227,15.125,-1.25
0.95,75,10.424999999999997,100000,20261227,11.474999999999994,-1.0499999999999972
0.95,80,7.575000000000003,100000,20261227,8.349999999999994,-0.7749999999999915
0.95,85,5.400000000000006,100000,20261227,5.825000000000003,-0.42499999999999716
0.95,90,3.674999999999997,100000,20261227,4.025000000000006,-0.3500000000000085
0.95,95,2.575000000000003,100000,20261227,2.700000000000003,-0.125
0.95,100,1.7374999999999972,100000,20261227,1.875,-0.13750000000000284
1.0,60,23.724999999999994,100000,20261328,23.724999999999994,0.0
1.0,65,19.275000000000006,100000,20261328,19.275000000000006,0.0
1.0,70,15.125,100000,20261328,15.125,0.0
1.0,75,11.474999999999994,100000,20261328,11.474999999999994,0.0
1.0,80,8.349999999999994,100000,20261328,8.349999999999994,0.0
1.0,85,5.825000000000003,100000,20261328,5.825000000000003,0.0
1.0,90,4.025000000000006,100000,20261328,4.025000000000006,0.0
1.0,95,2.700000000000003,100000,20261328,2.700000000000003,0.0
1.0,100,1.875,100000,20261328,1.875,0.0
1.05,60,25.299999999999997,100000,20261429,23.724999999999994,1.5750000000000028
1.05,65,20.700000000000003,100000,20261429,19.275000000000006,1.4249999999999972
1.05,70,16.400000000000006,100000,20261429,15.125,1.2750000000000057
1.05,75,12.450000000000003,100000,20261429,11.474999999999994,0.9750000000000085
1.05,80,9.099999999999994,100000,20261429,8.349999999999994,0.75
1.05,85,6.325000000000003,100000,20261429,5.825000000000003,0.5
1.05,90,4.349999999999994,100000,20261429,4.025000000000006,0.32499999999998863
1.05,95,2.950000000000003,100000,20261429,2.700000000000003,0.25
1.05,100,1.9500000000000028,100000,20261429,1.875,0.07500000000000284
1.1,60,26.724999999999994,100000,20261530,23.724999999999994,3.0
1.1,65,22.025000000000006,100000,20261530,19.275000000000006,2.75
1.1,70,17.575000000000003,100000,20261530,15.125,2.450000000000003
1.1,75,13.450000000000003,100000,20261530,11.474999999999994,1.9750000000000085
1.1,80,9.849999999999994,100000,20261530,8.349999999999994,1.5
1.1,85,6.924999999999997,100000,20261530,5.825000000000003,1.0999999999999943
1.1,90,4.724999999999994,100000,20261530,4.025000000000006,0.6999999999999886
1.1,95,3.0999999999999943,100000,20261530,2.700000000000003,0.3999999999999915
1.1,100,2.0999999999999943,100000,20261530,1.875,0.22499999999999432
1.15,60,28.025000000000006,100000,20261631,23.724999999999994,4.300000000000011
1.15,65,23.275000000000006,100000,20261631,19.275000000000006,4.0
1.15,70,18.700000000000003,100000,20261631,15.125,3.575000000000003
1.15,75,14.450000000000003,100000,20261631,11.474999999999994,2.9750000000000085
1.15,80,10.674999999999997,100000,20261631,8.349999999999994,2.325000000000003
1.15,85,7.474999999999994,100000,20261631,5.825000000000003,1.6499999999999915
1.15,90,5.049999999999997,100000,20261631,4.025000000000006,1.0249999999999915
1.15,95,3.299999999999997,100000,20261631,2.700000000000003,0.5999999999999943
1.15,100,2.174999999999997,100000,20261631,1.875,0.29999999999999716
1.2,60,29.299999999999997,100000,20261732,23.724999999999994,5.575000000000003
1.2,65,24.474999999999994,100000,20261732,19.275000000000006,5.199999999999989
1.2,70,19.799999999999997,100000,20261732,15.125,4.674999999999997
1.2,75,15.400000000000006,100000,20261732,11.474999999999994,3.9250000000000114
1.2,80,11.400000000000006,100000,20261732,8.349999999999994,3.0500000000000114
1.2,85,8.049999999999997,100000,20261732,5.825000000000003,2.2249999999999943
1.2,90,5.450000000000003,100000,20261732,4.025000000000006,1.4249999999999972
1.2,95,3.549999999999997,100000,20261732,2.700000000000003,0.8499999999999943
1.2,100,2.325000000000003,100000,20261732,1.875,0.45000000000000284
1.25,60,30.400000000000006,100000,20261833,23.724999999999994,6.675000000000011
1.25,65,25.525000000000006,100000,20261833,19.275000000000006,6.25
1.25,70,20.799999999999997,100000,20261833,15.125,5.674999999999997
1.25,75,16.275000000000006,100000,20261833,11.474999999999994,4.800000000000011
1.25,80,12.125,100000,20261833,8.349999999999994,3.7750000000000057
1.25,85,8.599999999999994,100000,20261833,5.825000000000003,2.7749999999999915
1.25,90,5.799999999999997,100000,20261833,4.025000000000006,1.7749999999999915
1.25,95,3.7750000000000057,100000,20261833,2.700000000000003,1.0750000000000028
1.25,100,2.5,100000,20261833,1.875,0.625
1.3,60,31.474999999999994,100000,20261934,23.724999999999994,7.75
1.3,65,26.575000000000003,100000,20261934,19.275000000000006,7.299999999999997
1.3,70,21.775000000000006,100000,20261934,15.125,6.650000000000006
1.3,75,17.150000000000006,100000,20261934,11.474999999999994,5.675000000000011
1.3,80,12.875,100000,20261934,8.349999999999994,4.525000000000006
1.3,85,9.150000000000006,100000,20261934,5.825000000000003,3.325000000000003
1.3,90,6.150000000000006,100000,20261934,4.025000000000006,2.125
1.3,95,4.025000000000006,100000,20261934,2.700000000000003,1.3250000000000028
1.3,100,2.549999999999997,100000,20261934,1.875,0.6749999999999972
1.35,60,32.425,100000,20262035,23.724999999999994,8.700000000000003
1.35,65,27.5,100000,20262035,19.275000000000006,8.224999999999994
1.35,70,22.674999999999997,100000,20262035,15.125,7.549999999999997
1.35,75,17.974999999999994,100000,20262035,11.474999999999994,6.5
1.35,80,13.599999999999994,100000,20262035,8.349999999999994,5.25
1.35,85,9.700000000000003,100000,20262035,5.825000000000003,3.875
1.35,90,6.575000000000003,100000,20262035,4.025000000000006,2.549999999999997
1.35,95,4.25,100000,20262035,2.700000000000003,1.5499999999999972
1.35,100,2.674999999999997,100000,20262035,1.875,0.7999999999999972
1.4,60,33.3,100000,20262136,23.724999999999994,9.575000000000003
1.4,65,28.375,100000,20262136,19.275000000000006,9.099999999999994
1.4,70,23.5,100000,20262136,15.125,8.375
1.4,75,18.724999999999994,100000,20262136,11.474999999999994,7.25
1.4,80,14.224999999999994,100000,20262136,8.349999999999994,5.875
1.4,85,10.200000000000003,100000,20262136,5.825000000000003,4.375
1.4,90,6.900000000000006,100000,20262136,4.025000000000006,2.875
1.4,95,4.5,100000,20262136,2.700000000000003,1.7999999999999972
1.4,100,2.8499999999999943,100000,20262136,1.875,0.9749999999999943
