topic,group,label,age,xc_factor,gain_years,gain_low,gain_high
diet,Poor,Poor,60,1.0004801920768307,0.015365070778882986,-1.085217450321995,1.117313492808123
diet,Poor,Poor,65,1.0004801920768307,0.013806936981687463,-0.9713780720376342,1.007429138556019
diet,Poor,Poor,70,1.0004801920768307,0.012130732661186087,-0.8452181837231013,0.900732750660857
diet,Poor,Poor,75,1.0004801920768307,0.009702794150315209,-0.7122354086038885,0.6840022592476476
diet,Poor,Poor,80,1.0004801920768307,0.00731870401873863,-0.5264107054562897,0.5265805320236374
diet,Poor,Poor,85,1.0004801920768307,0.004415866163738692,-0.28008682426957027,0.3413222896601628
diet,Poor,Poor,90,1.0004801920768307,0.0032325199374362698,-0.2394788764376439,0.22519446903338475
diet,Poor,Poor,95,1.0004801920768307,0.0016216479832925896,-0.0831267016028369,0.1792325028713159
diet,Poor,Poor,100,1.0004801920768307,0.0009258042642255339,-0.08563737976601647,0.05028979887698149
diet,Good,Good,60,1.1026010404161664,3.0704472291802998,0.8753712155623898,5.163309270950213
diet,Good,Good,65,1.1026010404161664,2.81679348999261,0.7882600767984335,4.8122350192203935
diet,Good,Good,70,1.1026010404161664,2.509699161216738,0.7033953857231328,4.315693338858195
diet,Good,Good,75,1.1026010404161664,2.027086587493435,0.5359547116557025,3.614790802929707
diet,Good,Good,80,1.1026010404161664,1.5412171337706404,0.41182336767536015,2.810946457355109
diet,Good,Good,85,1.1026010404161664,1.1296980068359412,0.26291855795777785,2.033584427753608
diet,Good,Good,90,1.1026010404161664,0.7179057631937266,0.17606170522744355,1.292055361113676
diet,Good,Good,95,1.1026010404161664,0.40901146001654665,0.13594141225820916,0.7662471167396613
diet,Good,Good,100,1.1026010404161664,0.23000615733816465,0.04012903500034185,0.3943868312501097
number_of_friends,0 friends,0 friends,60,0.8913165266106442,-3.6966870728276593,-9.171914905062621,2.012269973589914
number_of_friends,0 friends,0 friends,65,0.8913165266106442,-3.2616400190567334,-7.8781367030784875,1.827559234708757
number_of_friends,0 friends,0 friends,70,0.8913165266106442,-2.716778381458795,-6.4602918152678726,1.6322169767012384
number_of_friends,0 friends,0 friends,75,0.8913165266106442,-2.1946433148458384,-5.01713954530403,1.2698210089873425
number_of_friends,0 friends,0 friends,80,0.8913165266106442,-1.6268959564832248,-3.529646684008994,0.9702981071248227
number_of_friends,0 friends,0 friends,85,0.8913165266106442,-1.0846589936265079,-2.3670608403135764,0.6716172820582937
number_of_friends,0 friends,0 friends,90,0.8913165266106442,-0.698605819417968,-1.5368544292673083,0.4339817276576624
number_of_friends,0 friends,0 friends,95,0.8913165266106442,-0.37408595832467406,-0.9342159089386967,0.29867858793502594
number_of_friends,0 friends,0 friends,100,0.8913165266106442,-0.3663068173962276,-0.3790837640288892,0.11525928898660505
number_of_friends,1+ friends,1+ friends,60,1.0004801920768307,0.015365070778882986,-0.9184688354669494,1.0471799119059506
number_of_friends,1+ friends,1+ friends,65,1.0004801920768307,0.013806936981687463,-0.8227987919876585,0.9438061206741519
number_of_friends,1+ friends,1+ friends,70,1.0004801920768307,0.012130732661186087,-0.7175794050562548,0.8434600106327327
number_of_friends,1+ friends,1+ friends,75,1.0004801920768307,0.009702794150315209,-0.6030703915032339,0.6408289454726903
number_of_friends,1+ friends,1+ friends,80,1.0004801920768307,0.00731870401873863,-0.44639227679375476,0.4931502517238039
number_of_friends,1+ friends,1+ friends,85,1.0004801920768307,0.004415866163738692,-0.23819941569798048,0.3182585607496011
number_of_friends,1+ friends,1+ friends,90,1.0004801920768307,0.0032325199374362698,-0.2029806883661894,0.21078201131917088
number_of_friends,1+ friends,1+ friends,95,1.0004801920768307,0.0016216479832925896,-0.07193711766727016,0.16685644034133126
number_of_friends,1+ friends,1+ friends,100,1.0004801920768307,0.0009258042642255339,-0.0704358791316847,0.04722912545441342
income,Q1 (Lowest),Q1 income,60,0.8279311724689875,-5.938284000652555,-7.717146273701844,-4.2616495924469175
income,Q1 (Lowest),Q1 income,65,0.8279311724689875,-5.217449191392553,-6.699515465408124,-3.7633449886403647
income,Q1 (Lowest),Q1 income,70,0.8279311724689875,-4.3057803267437995,-5.481889701524307,-3.1396703078827106
income,Q1 (Lowest),Q1 income,75,0.8279311724689875,-3.417081017255608,-4.2942997996958425,-2.526802934625044
income,Q1 (Lowest),Q1 income,80,0.8279311724689875,-2.5181651404936845,-3.084834640678953,-1.8769970962322275
income,Q1 (Lowest),Q1 income,85,0.8279311724689875,-1.6486194477791167,-2.055706283233877,-1.237529151810154
income,Q1 (Lowest),Q1 income,90,0.8279311724689875,-1.0676644327930283,-1.3465301129711307,-0.7895940328226964
income,Q1 (Lowest),Q1 income,95,0.8279311724689875,-0.6662618960309147,-0.7713008169663155,-0.49268671362364214
income,Q1 (Lowest),Q1 income,100,0.8279311724689875,-0.5386630033560651,-0.5887287808929307,-0.38784109177135545
income,Q2,Q2 income,60,0.9002801120448178,-3.3902657987185107,-5.456252908988899,-1.221550032240859
income,Q2,Q2 income,65,0.9002801120448178,-2.9914556756412414,-4.80668609022237,-1.0926153372264613
income,Q2,Q2 income,70,0.9002801120448178,-2.4929971988795545,-3.9915791978503727,-0.9487265990991737
income,Q2,Q2 income,75,0.9002801120448178,-2.019538942127683,-3.1827177796792383,-0.8001536458198948
income,Q2,Q2 income,80,0.9002801120448178,-1.4959391295743152,-2.354515174559615,-0.5908983427337691
income,Q2,Q2 income,85,0.9002801120448178,-0.9971644705073753,-1.5363265306122484,-0.31504802227590695
income,Q2,Q2 income,90,0.9002801120448178,-0.6483923042040831,-0.9847590604255131,-0.26865737799724815
income,Q2,Q2 income,95,0.9002801120448178,-0.3236565255319157,-0.6467134764316723,-0.09265296389302499
income,Q2,Q2 income,100,0.9002801120448178,-0.3493710993569158,-0.46215102853402656,-0.09841773715905308
income,Q3,Q3 income,60,1.1026010404161664,3.0704472291802998,-0.8045616873049452,6.658217552815385
income,Q3,Q3 income,65,1.1026010404161664,2.81679348999261,-0.7211307314512355,6.2337979555498615
income,Q3,Q3 income,70,1.1026010404161664,2.509699161216738,-0.629790240802233,5.659754534988019
income,Q3,Q3 income,75,1.1026010404161664,2.027086587493435,-0.5277816668541817,4.786493040555776
income,Q3,Q3 income,80,1.1026010404161664,1.5412171337706404,-0.39118187303471047,3.763617534103979
income,Q3,Q3 income,85,1.1026010404161664,1.1296980068359412,-0.20988036372545488,2.766507472831093
income,Q3,Q3 income,90,1.1026010404161664,0.7179057631937266,-0.17768126676628795,1.7695993185166121
income,Q3,Q3 income,95,1.1026010404161664,0.40901146001654665,-0.06438180035338295,1.0713500833168779
income,Q3,Q3 income,100,1.1026010404161664,0.23000615733816465,-0.060376834394679446,0.6237494353267937
income,Q4 (Highest),Q4 income,60,1.4,9.575000000000005,7.439441001974033,9.575000000000005
income,Q4 (Highest),Q4 income,65,1.4,9.099999999999993,6.99614927137347,9.099999999999993
income,Q4 (Highest),Q4 income,70,1.4,8.374999999999998,6.365288990664289,8.374999999999998
income,Q4 (Highest),Q4 income,75,1.4,7.25,5.417436122103406,7.25
income,Q4 (Highest),Q4 income,80,1.4,5.875,4.302062530567483,5.875
income,Q4 (Highest),Q4 income,85,1.4,4.375000000000001,3.160726290516206,4.375000000000001
income,Q4 (Highest),Q4 income,90,1.4,2.875,2.015486348594087,2.875
income,Q4 (Highest),Q4 income,95,1.4,1.7999999999999972,1.251439885213032,1.7999999999999972
income,Q4 (Highest),Q4 income,100,1.4,0.9749999999999944,0.6586559484218591,0.9749999999999944
alcohol,>4 drinks/day,>4 drinks/day,60,0.8673069227691076,-4.497207705167705,-6.343967456498282,-2.6830881626702503
alcohol,>4 drinks/day,>4 drinks/day,65,0.8673069227691076,-3.97214827060366,-5.559972593124176,-2.3744279711173157
alcohol,>4 drinks/day,>4 drinks/day,70,0.8673069227691076,-3.3154954174472095,-4.565850476958271,-1.9965986394557822
alcohol,>4 drinks/day,>4 drinks/day,75,0.8673069227691076,-2.664388858206963,-3.609613437605615,-1.6358449949275353
alcohol,>4 drinks/day,>4 drinks/day,80,0.8673069227691076,-1.9799018044252634,-2.649818138620801,-1.2103682176937873
alcohol,>4 drinks/day,>4 drinks/day,85,0.8673069227691076,-1.2985368605400929,-1.7408163265306171,-0.7701546516314804
alcohol,>4 drinks/day,>4 drinks/day,90,0.8673069227691076,-0.8273572506752072,-1.136845126468997,-0.5332930424124842
alcohol,>4 drinks/day,>4 drinks/day,95,0.8673069227691076,-0.5408041718674953,-0.680041633081477,-0.2342381913334914
alcohol,>4 drinks/day,>4 drinks/day,100,0.8673069227691076,-0.3960781852930757,-0.6035874468719369,-0.2746117555445858
alcohol,0-1 drink/day,0-1 drink/day,60,1.1874349739895957,5.268411180665953,2.983451433223315,7.253970913733744
alcohol,0-1 drink/day,0-1 drink/day,65,1.1874349739895957,4.910866637039903,2.7343467127721794,6.8143067490506795
alcohol,0-1 drink/day,0-1 drink/day,70,1.1874349739895957,4.406532543746021,2.436016512288762,6.197453567906891
alcohol,0-1 drink/day,0-1 drink/day,75,1.1874349739895957,3.6929158344952673,1.962833283626304,5.266347740477248
alcohol,0-1 drink/day,0-1 drink/day,80,1.1874349739895957,2.870018692466737,1.4904523970321961,4.172003006005398
alcohol,0-1 drink/day,0-1 drink/day,85,1.1874349739895957,2.081698007965853,1.0930027771610795,3.0660004001600587
alcohol,0-1 drink/day,0-1 drink/day,90,1.1874349739895957,1.3262797485482296,0.6957522247647218,1.9557170282194485
alcohol,0-1 drink/day,0-1 drink/day,95,1.1874349739895957,0.7877149953705759,0.3979263798941646,1.2074636535908536
alcohol,0-1 drink/day,0-1 drink/day,100,1.1874349739895957,0.40831544489844457,0.22376149583133978,0.6518888840837295
physical_activity,No Activity,No Activity,60,0.9374149659863945,-2.0625479793792016,-3.5774434579312593,-0.5678457876261656
physical_activity,No Activity,No Activity,65,0.9374149659863945,-1.83405874931378,-3.1562207846253947,-0.5094497986819053
physical_activity,No Activity,No Activity,70,0.9374149659863945,-1.5646258503401365,-2.6289333243542345,-0.446005324799909
physical_activity,No Activity,No Activity,75,0.9374149659863945,-1.3004976729097921,-2.125781295041263,-0.3705318926828264
physical_activity,No Activity,No Activity,80,0.9374149659863945,-0.9608890496516614,-1.5752279288980287,-0.27561678973745485
physical_activity,No Activity,No Activity,85,0.9374149659863945,-0.5608960771365856,-1.0510147890180714,-0.15091995923243698
