year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
1835,0.007471514161327893,0.00018228294825214675,20,100,lognormal delta-method from GGM curve_fit covariance,0.007122653416021957,0.007837461771950292
1836,0.007403875716097275,0.00023593354210876025,20,100,lognormal delta-method from GGM curve_fit covariance,0.006955599109045882,0.007881042992849308
1837,0.007227718417835344,0.00018999823262763914,20,100,lognormal delta-method from GGM curve_fit covariance,0.006864759282904422,0.0076098682232909965
1838,0.00601551680968215,0.00016091710449945467,20,100,lognormal delta-method from GGM curve_fit covariance,0.005708250405878207,0.006339322894858407
1839,0.006372771006089513,0.00018140491776420822,20,100,lognormal delta-method from GGM curve_fit covariance,0.00602696026419697,0.006738423436655309
1840,0.00695880468027965,0.0001045531229467318,20,100,lognormal delta-method from GGM curve_fit covariance,0.00675687213515892,0.0071667720817604336
1841,0.006236434906832203,0.0001634160542756037,20,100,lognormal delta-method from GGM curve_fit covariance,0.005924230999009326,0.00656509179902996
1842,0.006449477044369401,0.00015308113810958633,20,100,lognormal delta-method from GGM curve_fit covariance,0.006156315422635869,0.006756598921638482
1843,0.006785581602694713,0.00011899869271190439,20,100,lognormal delta-method from GGM curve_fit covariance,0.006556311248284924,0.007022869406767976
1844,0.0060337493653590925,9.427867594165963e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0058517673667486565,0.00622139075637915
1845,0.006318769365020183,0.00012781869158702715,20,100,lognormal delta-method from GGM curve_fit covariance,0.006073150526592913,0.006574321863666509
1846,0.007253524292039682,0.00012331633487769412,20,100,lognormal delta-method from GGM curve_fit covariance,0.007015811145418865,0.0074992917518261655
1847,0.00681437829565436,0.00011406640766938179,20,100,lognormal delta-method from GGM curve_fit covariance,0.0065944398414815785,0.007041652160383111
1848,0.007018351421511599,9.486553260118426e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006834859694866553,0.007206769249825194
1849,0.009239464660261187,0.00019600326752302697,20,100,lognormal delta-method from GGM curve_fit covariance,0.008863182077932106,0.00963172215775271
1850,0.007287546616174432,0.00012033592964062165,20,100,lognormal delta-method from GGM curve_fit covariance,0.007055468275376733,0.007527258802687995
1851,0.0060530522157948696,0.00012647157059326663,20,100,lognormal delta-method from GGM curve_fit covariance,0.005810179398976312,0.00630607742225561
1852,0.005907235865584967,0.00012277906298816972,20,100,lognormal delta-method from GGM curve_fit covariance,0.0056714289557662214,0.006152847164941508
1853,0.0072089147482841814,0.0002752906947654026,20,100,lognormal delta-method from GGM curve_fit covariance,0.006689052424362164,0.007769179930292539
1854,0.006250439050903904,0.00011457557718521467,20,100,lognormal delta-method from GGM curve_fit covariance,0.006029861201703496,0.006479085839990381
1855,0.006818327018363558,0.00012505066384789243,20,100,lognormal delta-method from GGM curve_fit covariance,0.00657758505533893,0.007067880223245698
1856,0.0060718908318084935,9.449562251475269e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005889478969250154,0.006259952445011283
1857,0.007326122163248762,8.856651660721105e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.007154575345275313,0.007501782196799184
1858,0.007021790025169497,8.386374132158789e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0068593290191873765,0.0071880988679284925
1859,0.006009038905983528,9.327438986725861e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005828977377035096,0.006194662672029497
1860,0.006461849683614892,9.87046161283366e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006271259410997393,0.006658232198210567
1861,0.006253022676224524,0.00010073466907382892,20,100,lognormal delta-method from GGM curve_fit covariance,0.006058670785113332,0.0064536090466329405
1862,0.006058367357771178,0.00013028121486359571,20,100,lognormal delta-method from GGM curve_fit covariance,0.005808327196413349,0.006319171389719916
1863,0.006149333932679967,0.00010380615840786045,20,100,lognormal delta-method from GGM curve_fit covariance,0.005949206555310923,0.006356193462782362
1864,0.009486020766585853,0.00017212612482159112,20,100,lognormal delta-method from GGM curve_fit covariance,0.009154588229590022,0.009829452480805674
1865,0.007508355678555023,8.998609736591142e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.007334041483368061,0.007686812942568715
1866,0.0069177035604086005,7.929849998607542e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006764014313422163,0.007074884873429315
1867,0.006806813343693155,8.167073217161253e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006648609136932331,0.006968782032697008
1868,0.006635454603005256,8.155094335517321e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006477527427121192,0.006797232166736122
1869,0.006519812053031891,7.813968911490012e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006368445839704765,0.006674775962109861
1870,0.006151490576727431,0.00011198953837788301,20,100,lognormal delta-method from GGM curve_fit covariance,0.005935864933538064,0.006374949015730285
1871,0.0069401285856877035,0.00013198554590953,20,100,lognormal delta-method from GGM curve_fit covariance,0.006686203480428822,0.007203697124513851
1872,0.006602998053542159,0.00011513224634856555,20,100,lognormal delta-method from GGM curve_fit covariance,0.006381155285715299,0.006832553251396737
1873,0.006443824615209345,9.117254076640904e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006267584684216545,0.00662502028510976
1874,0.006645290510287566,0.00010998751871247044,20,100,lognormal delta-method from GGM curve_fit covariance,0.00643317797471456,0.006864396747561979
1875,0.007268741548198493,9.67402794462586e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0070815857071180625,0.007460843641474292
1876,0.006853187938199259,0.00010491927976287213,20,100,lognormal delta-method from GGM curve_fit covariance,0.006650604506114242,0.007061942244964557
1877,0.006468950236255966,7.183327984686774e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006329680628461256,0.006611284141413182
1878,0.006354956478952936,9.914257097665392e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006163581364804189,0.006552273663490269
1879,0.006552683727734732,9.258836648944529e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006373703638163266,0.00673668976050682
