scenario,year,mean_lifespan,mean_lifespan low,mean_lifespan high,mean_lifespan_from_annual_curve_0_120,mean_lifespan_from_annual_curve_0_120 low,mean_lifespan_from_annual_curve_0_120 high,survival_at_120,survival_at_120 low,survival_at_120 high,Top 10%,Top 10% low,Top 10% high,Top 1%,Top 1% low,Top 1% high,Top 0.01%,Top 0.01% low,Top 0.01% high
exponential,2020,81.91499317499999,81.36070902499999,82.37996704999999,81.90224,81.348184,82.367771,0.0,0.0,0.0,94.99124747329334,94.5942710105477,95.24653163552176,102.03048820541558,101.66140682881291,102.24116976308002,109.68647440954268,109.49506556216484,109.856955546
exponential,2030,83.499206575,82.843502275,83.62996465,83.486637,82.83070899999998,83.617703,0.0,0.0,0.0,96.14772017008148,95.68299622286744,96.16974326313164,102.944731499687,102.58608547135286,102.96224720726217,110.5816912485882,110.47555499029166,110.62730952529174
exponential,2040,84.99568502499999,84.28627945,85.050353725,84.98321999999999,84.274091,85.037674,0.0,0.0,0.0,97.2270117531191,96.72281505096802,97.2270117531191,103.8799918364782,103.45553860327256,103.90322543479806,111.27060422109832,110.81913980026424,111.27060422109832
exponential,2050,86.398917125,85.61339167500002,86.47409780000001,86.386831,85.600468,86.46170799999999,0.0,0.0,0.0,98.24459152303412,97.70395352173952,98.26513959053496,104.781590895233,104.3159308815317,104.781590895233,112.0,111.65912143972582,112.1960472002169
exponential,2060,87.7465381,86.924708125,87.801189125,87.734542,86.912546,87.78864099999998,0.0,0.0,0.0,99.23947623944812,98.66078669766694,99.2607687017558,105.59187622220908,105.06937945457126,105.59187622220908,112.70543917163046,112.39711210467054,112.72811541542951
exponential,2070,89.03454989999999,88.0895766,89.069892125,89.022048,88.077458,89.057446,0.0,0.0,0.0,100.17146252881103,99.48266309334912,100.1878626592073,106.36299785231138,105.79912816793345,106.3755527832326,113.24589146914865,113.151478208753,113.24589146914865
exponential,2080,90.241540325,89.088415075,90.329853775,90.229099,89.075765,90.31766,0.0,0.0,0.0,101.07554128593912,100.22792973322268,101.09046866231776,107.13506485821829,106.41351074358826,107.16555667192983,114.04926315429434,113.78339635115242,114.14437468380784
exponential,2090,91.411781,90.096306,91.450423425,91.3985025,90.083621,91.437782,1e-06,0.0,1e-06,101.92713356449296,100.95119462471727,101.92713356449296,107.84575024282633,107.02980820449274,107.868798214281,114.81576684426553,114.18908179666003,114.81576684426553
exponential,2100,92.533443475,91.050780225,92.556776225,92.521412,91.0383445,92.544939,0.0,0.0,1e-06,102.73311194601064,101.61805997161892,102.73311194601064,108.50880256928971,107.61125720931214,108.5259081977012,115.06800945290604,114.66289360675836,115.17214826273504
historical,1980,74.949119475,72.48628015,76.93143575,74.93595299999998,72.474305,76.918859,0.0,0.0,0.0,89.85086273680862,87.99298446864937,91.288446575757,97.63221955623652,96.13359329744247,98.88452748019247,106.03302523302048,105.05658352836636,107.33421393409216
historical,1990,76.8431272,74.914610275,78.338506125,76.830705,74.90233599999999,78.32553899999999,0.0,0.0,0.0,91.18640551204076,89.77871018267284,92.28981343979385,98.788573888435,97.604276747979,99.72239492924926,107.09989225497377,106.16512849886522,107.87625544777768
historical,2000,78.73958355,77.16481825,80.00665405000001,78.726586,77.152072,79.99445600000001,0.0,0.0,0.0,92.44508102275994,91.29958185448235,93.32427186835984,99.89879690594054,98.85081827540984,100.55406739877655,108.14052334372732,107.14274645627587,108.51799883463936
historical,2010,80.6782275,78.38481257499998,81.40883935,80.665727,78.372326,81.39633900000001,0.0,0.0,0.0,93.95200945834053,92.26677835257053,94.437835893496,101.13280150883128,99.70711812516886,101.48404946670944,109.14483460169284,107.80427619458972,109.33932707664728
historical,2020,81.917919675,81.37945627500001,82.364523125,81.905348,81.366537,82.352177,0.0,0.0,0.0,94.99088207983874,94.60281730524426,95.2606823513797,101.9835723599452,101.65440423148964,102.2630120983198,109.82909111664992,109.46765618601744,109.94752862989064
linear,2020,81.906924975,81.367611775,82.34442692500001,81.89449199999999,81.35529299999999,82.332067,0.0,0.0,0.0,94.96889229745967,94.59225853837248,95.26007419692608,101.95692091427958,101.65960407060072,102.21492611558128,110.10932085300166,109.37777473195378,110.10932085300166
