scenario,year,age,survival,survival low,survival high
exponential,2020,0,1.0,1.0,1.0
exponential,2020,1,0.999636,0.999598,0.999636
exponential,2020,2,0.999244,0.999208,0.999267
exponential,2020,3,0.998879,0.998796,0.998922
exponential,2020,4,0.998468,0.998389,0.998591
exponential,2020,5,0.998083,0.998001,0.998248
exponential,2020,6,0.997665,0.997611,0.997889
exponential,2020,7,0.997305,0.997214,0.997564
exponential,2020,8,0.996897,0.996794,0.997223
exponential,2020,9,0.996524,0.996369,0.996888
exponential,2020,10,0.99614,0.995922,0.996565
exponential,2020,11,0.995746,0.995522,0.996193
exponential,2020,12,0.995361,0.995105,0.995811
exponential,2020,13,0.994993,0.994716,0.995463
exponential,2020,14,0.994611,0.994294,0.995086
exponential,2020,15,0.994218,0.993892,0.994752
exponential,2020,16,0.993801,0.993504,0.994388
exponential,2020,17,0.993428,0.993116,0.994025
exponential,2020,18,0.993038,0.992657,0.993648
exponential,2020,19,0.992691,0.992223,0.993298
exponential,2020,20,0.992299,0.991806,0.992921
exponential,2020,21,0.991897,0.991401,0.99256
exponential,2020,22,0.991519,0.990999,0.992186
exponential,2020,23,0.991146,0.990535,0.991803
exponential,2020,24,0.990712,0.990108,0.991403
exponential,2020,25,0.990307,0.989675,0.991021
exponential,2020,26,0.989875,0.989232,0.990628
exponential,2020,27,0.989469,0.988809,0.990227
exponential,2020,28,0.989074,0.98837,0.989891
exponential,2020,29,0.988639,0.98792,0.989486
exponential,2020,30,0.988196,0.98745,0.989073
exponential,2020,31,0.987756,0.986987,0.988658
exponential,2020,32,0.987333,0.986502,0.988259
exponential,2020,33,0.986875,0.986035,0.987834
exponential,2020,34,0.986414,0.98553,0.987433
exponential,2020,35,0.985948,0.985014,0.986968
exponential,2020,36,0.985484,0.984496,0.986543
exponential,2020,37,0.984968,0.983939,0.986067
exponential,2020,38,0.984443,0.983357,0.985587
exponential,2020,39,0.983878,0.982778,0.98512
exponential,2020,40,0.983296,0.982108,0.984562
exponential,2020,41,0.982689,0.981421,0.983972
exponential,2020,42,0.982005,0.980725,0.983342
exponential,2020,43,0.98127,0.979935,0.982726
exponential,2020,44,0.980523,0.979143,0.982048
exponential,2020,45,0.979758,0.978241,0.981263
exponential,2020,46,0.978901,0.977253,0.980488
exponential,2020,47,0.977952,0.976225,0.979599
exponential,2020,48,0.976936,0.975144,0.978673
exponential,2020,49,0.975852,0.973971,0.977644
exponential,2020,50,0.974597,0.972622,0.976508
exponential,2020,51,0.973228,0.971154,0.975288
exponential,2020,52,0.971708,0.969553,0.97391
exponential,2020,53,0.970061,0.967784,0.972403
exponential,2020,54,0.968216,0.965784,0.970752
exponential,2020,55,0.966155,0.963527,0.968887
exponential,2020,56,0.963771,0.96091,0.966717
exponential,2020,57,0.961205,0.958096,0.964139
exponential,2020,58,0.958272,0.954899,0.96145
exponential,2020,59,0.954927,0.951304,0.958397
exponential,2020,60,0.951131,0.947262,0.954955
exponential,2020,61,0.946854,0.942581,0.951075
exponential,2020,62,0.942108,0.937319,0.946507
exponential,2020,63,0.936731,0.931343,0.941462
exponential,2020,64,0.930641,0.924775,0.935739
exponential,2020,65,0.923805,0.917326,0.929309
exponential,2020,66,0.91593,0.909145,0.921889
exponential,2020,67,0.907235,0.899694,0.913646
exponential,2020,68,0.897317,0.889038,0.904279
exponential,2020,69,0.88622,0.877224,0.893716
exponential,2020,70,0.8738,0.864048,0.88207
exponential,2020,71,0.859704,0.849372,0.869034
exponential,2020,72,0.844275,0.83285,0.854262
exponential,2020,73,0.827249,0.814681,0.83786
exponential,2020,74,0.808294,0.794964,0.819459
exponential,2020,75,0.78727,0.772933,0.798947
exponential,2020,76,0.764284,0.749053,0.776848
exponential,2020,77,0.739371,0.722749,0.752326
exponential,2020,78,0.711736,0.694351,0.725502
exponential,2020,79,0.681961,0.66417,0.696497
exponential,2020,80,0.650276,0.631516,0.665101
exponential,2020,81,0.6164,0.597081,0.631395
exponential,2020,82,0.580421,0.560443,0.595603
exponential,2020,83,0.542548,0.522659,0.558154
exponential,2020,84,0.503399,0.483011,0.518822
exponential,2020,85,0.462725,0.442635,0.478309
exponential,2020,86,0.421369,0.402012,0.436762
exponential,2020,87,0.379605,0.36101,0.394682
exponential,2020,88,0.337992,0.320754,0.352924
exponential,2020,89,0.297268,0.281371,0.311542
exponential,2020,90,0.257986,0.243112,0.270997
exponential,2020,91,0.220917,0.207065,0.232655
exponential,2020,92,0.185992,0.173348,0.196259
exponential,2020,93,0.154192,0.142674,0.162956
exponential,2020,94,0.125165,0.114952,0.132892
exponential,2020,95,0.099802,0.090925,0.106239
exponential,2020,96,0.077806,0.070283,0.083113
exponential,2020,97,0.059197,0.053031,0.063371
exponential,2020,98,0.043938,0.039061,0.047253
exponential,2020,99,0.031762,0.028197,0.034344
exponential,2020,100,0.022327,0.019696,0.024167
exponential,2020,101,0.015288,0.013248,0.01663
exponential,2020,102,0.010139,0.008659,0.011137
exponential,2020,103,0.006447,0.005467,0.007126
exponential,2020,104,0.003979,0.003351,0.004367
exponential,2020,105,0.002354,0.001936,0.002583
exponential,2020,106,0.001352,0.001028,0.00151
exponential,2020,107,0.000739,0.000535,0.000823
exponential,2020,108,0.00036,0.000293,0.000429
exponential,2020,109,0.000163,0.000138,0.000201
exponential,2020,110,8e-05,7.2e-05,8.9e-05
exponential,2020,111,3.3e-05,3.3e-05,3.9e-05
exponential,2020,112,1.4e-05,1.4e-05,2.1e-05
exponential,2020,113,6e-06,6e-06,8e-06
exponential,2020,114,1e-06,1e-06,6e-06
exponential,2020,115,0.0,0.0,3e-06
exponential,2020,116,0.0,0.0,1e-06
exponential,2020,117,0.0,0.0,0.0
exponential,2020,118,0.0,0.0,0.0
exponential,2020,119,0.0,0.0,0.0
exponential,2020,120,0.0,0.0,0.0
exponential,2030,0,1.0,1.0,1.0
exponential,2030,1,0.999627,0.999627,0.999666
exponential,2030,2,0.999275,0.999275,0.999302
exponential,2030,3,0.998899,0.998899,0.998963
exponential,2030,4,0.998541,0.998541,0.998613
exponential,2030,5,0.998185,0.998185,0.998261
exponential,2030,6,0.997793,0.997793,0.997917
exponential,2030,7,0.997452,0.997418,0.997578
exponential,2030,8,0.997075,0.99706,0.997273
exponential,2030,9,0.996708,0.996689,0.996961
exponential,2030,10,0.996364,0.996345,0.996623
exponential,2030,11,0.996017,0.995953,0.996294
exponential,2030,12,0.995674,0.995553,0.995944
exponential,2030,13,0.99533,0.995153,0.995622
exponential,2030,14,0.994956,0.994801,0.995281
