date,task,artifact_type,path,source_script,input_paths,description,notes
2026-06-04,current_figure_inventory,documentation,docs/figure_methods/current_figure_inventory.md,,,Current manuscript-to-repo figure map.,Update this file first when manuscript figures change.
2026-06-04,figure1,figure,Figures/Figure1/Fig1_alt.png,analysis/figures/figure1_schematic/make_fig1_alt.py; analysis/figures/steepness_longevity/make_fig1d_new_steepness_longevity.py,results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,Current Fig. 1 PNG preview.,Schematic panels plus quantitative SR steepness-longevity panel.
2026-06-04,figure2,figure,Figures/Figure2/Figure2.png,analysis/figures/figure2/make_fig2a_new.py; analysis/figures/figure2/make_fig2bc_new.py; analysis/figures/figure2/make_fig2de_new.py; analysis/figures/figure2/assemble_figure2.py,results/fits/records/joint2019_tail90_sweden_emphasis.json; results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv; results/cache/simulations/figure2/,Current Fig. 2 PNG preview.,Panel PNG/PDF intermediates are regenerated locally and ignored by git.
2026-06-04,figure3,figure,Figures/Figure3/fig3_exposure_projection.png,analysis/figures/steepness_longevity/make_fig3_exposure_projection.py,results/exposure_groups_results.pkl; results/steepness_longevity_usa2019_sensitivity/; results/figure3_exposure_projection/,Current Fig. 3 NHANES projection PNG preview.,Panel intermediates are regenerated locally and ignored by git.
2026-06-04,figure3_projection_uncertainty,table,results/tables/extended_data_table1_fig3_projection.csv,analysis/figures/steepness_longevity/make_fig3_coordinate_projection_uncertainty.py,results/figure3_exposure_projection/exposure_coordinate_projection_full_bootstrap_assignments.csv; results/figure3_exposure_projection/exposure_xc_equivalent_projection_full_uncertainty.csv,Extended Data Table 1 source table for Fig. 3 projection audit.,Uses Euclidean log-space distances and full bootstrap assignment ranges.
2026-06-04,figure4,figure,Figures/Figure4/Figure4.png,analysis/figures/figure4/make_fig4_ab_sweden_period_projection.py; analysis/figures/figure4/make_fig4_sr_contour_projection.py; analysis/figures/figure4/make_fig4_age0_mean_lifespan_projection.py; analysis/figures/figure4/assemble_figure4.py,results/figure4/sweden_period_steepness_longevity_projection.csv; results/figure4/sweden_sr_age0_mean_lifespan_contour_summary_1980_2100_n1m.csv,Current Fig. 4 Sweden historical robustness PNG preview.,Panel intermediates are regenerated locally and ignored by git.
2026-06-04,figure5_progeria,figure,Figures/Figure5_progeria/fig6_progeria_composite.png,analysis/figures/figure5_progeria/make_fig6_progeria.py,results/progeria_data.pkl; results/progeria_fitting_results.pkl; results/cache/simulations/figure5_progeria/,Current Fig. 5 progeria PNG preview.,Historical filename keeps fig6 stem inside progeria script outputs.
2026-06-04,extended_data_figure1,figure,Figures/ExtendedDataFigure1/extended_data_figure1_tau_spread_constraint.png,analysis/figures/extended_data/make_extended_data_figure1_tau_spread_constraint.py,results/tau_wide_refit_profile/; results/tables/extended_data_figure1_tau_spread_constraint_source_data.csv,Extended Data Fig. 1 tau-senogenic heterogeneity constraint PNG preview.,Local PDF is regenerated but ignored by git.
2026-06-04,extended_data_figure1,table,results/tables/extended_data_figure1_tau_spread_constraint_source_data.csv,analysis/figures/extended_data/make_extended_data_figure1_tau_spread_constraint.py,results/tau_wide_refit_profile/tau_wide_refit_profile_candidates.csv; results/tau_wide_refit_profile/figS_tau_spread_constraint_panel_b_curves_n1000000_age55.csv,Source data for Extended Data Fig. 1.,"Includes fit objective, mortality curves, baseline fit curve, and endpoint envelope rows."
2026-06-04,extended_data_figure2,figure,Figures/ExtendedDataFigure2/extended_data_figure2_denmark_robustness.png,analysis/figures/extended_data/make_extended_data_figure2_denmark_robustness.py,results/figure4/denmark_period_steepness_longevity_projection.csv; results/figure4/denmark_fig4c_extrinsic_mortality_projection.csv; results/figure4/denmark_fig4d_robustness_projection.csv,Extended Data Fig. 2 Denmark robustness analysis PNG preview.,Moved from the old Denmark Fig. 4 supplemental path.
2026-06-04,extended_data_figure3,figure,Figures/ExtendedDataFigure3/extended_data_figure3_model_comparison.png,analysis/figures/extended_data/make_extended_data_figure3_model_comparison.py,results/gamma_factor_sweep.pkl; results/fedichev_model_steepness_longevity_data.pkl; results/tables/supp_model_comparison_max_lifespan.csv; results/tables/supp_model_comparison_shape_response.csv,Extended Data Fig. 3 Gompertz-Makeham and Fedichev-Gruber model comparison PNG preview.,Uses Strehler-Mildvan coupled a+b Gompertz-Makeham rule.
2026-06-04,supplementary_figure1,figure,Figures/Supplementary/supp_figure1_gompertz_constraint.png,analysis/figures/supplementary/make_supp_figure1_gompertz_constraint.py,results/tables/supplementary_figure1/sweden2019_decade_slopes.csv; results/tables/supplementary_figure1/allowed_parameter_cv_vs_slope_distortion.csv; results/tables/supplementary_figure1/survivor_parameter_means.csv; results/tables/supplementary_figure1/senogenic_heterogeneity_hazards.csv,"Supplementary Fig. 1 Gompertz mortality constraint on senogenic heterogeneity PNG preview.","Built from cached source CSVs copied from the current manuscript analysis."
2026-06-04,supplementary_figure1,table,results/tables/supplementary_figure1/sweden2019_decade_slopes.csv,analysis/figures/supplementary/make_supp_figure1_gompertz_constraint.py,data/hmd/,"Sweden 2019 decade-wise Gompertz slope source table for Supplementary Fig. 1.","Companion source files are in results/tables/supplementary_figure1/."
2026-06-04,supplementary_figure2,figure,Figures/Supplementary/supp_figure2_nhanes_exposure_groups.png,analysis/figures/supplementary/make_supp_figure2_nhanes_exposure_groups.py,data/nhanes/,"Supplementary Fig. 2 raw NHANES Kaplan-Meier exposure-group survival curves PNG preview.","Computed directly from bundled public NHANES linked-mortality tables."
2026-06-04,supplementary_figure3,figure,Figures/Supplementary/supp_figure3_fedichev_minimal_model.png,analysis/figures/supplementary/make_supp_figure3_fedichev_minimal_model.py,results/tables/supp_figure3_fedichev_minimal_model_source.csv,"Supplementary Fig. 3 Fedichev-Gruber minimal-model survival and mortality PNG preview.","Pass --force-sim to regenerate source from stochastic simulation."
2026-06-04,supplementary_figure3,table,results/tables/supp_figure3_fedichev_minimal_model_source.csv,analysis/figures/supplementary/make_supp_figure3_fedichev_minimal_model.py,,"Source data for Supplementary Fig. 3.","Contains survival and mortality series."
2026-06-04,supplementary_figure4,figure,Figures/Supplementary/supp_figure4_healthspan_morbidity.png,analysis/figures/supplementary/make_supp_figure4_healthspan_morbidity.py,results/cache/simulations/artificial_survival_time/matched_sweden2019_event_times.npz; results/tables/artificial_survival_time_summary.csv; results/tables/artificial_survival_time_state_composition.csv,"Supplementary Fig. 4 SR healthspan and morbidity threshold analysis PNG preview.","Formerly named artificial-survival-time supplementary composite."
2026-06-04,nhanes_sample_summary,table,results/tables/nhanes_sample_stats_summary.csv,analysis/nhanes/print_nhanes_sample_stats.py,results/exposure_groups_results.pkl,"Supplementary Table 1 NHANES sample summary source.","Exposure-group sample counts and summary statistics."
