run_id,scenario_id,nuisance_param,nuisance_factor,curve_type,focal_param,focal_value,h_ext,from_t,tmax,x_norm,y_norm,t_median_absolute,steepness_iqr_absolute
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,0,140.0,1.0,1.0,84.61479166666666,6.525795735862736
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,0,140.0,1.6543776799798735,1413.3632699092248,139.98482272948033,9223.319999998632
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,0,140.0,1.595736964661976,1.259376333614955,135.0229508196721,8.21843270775092
central__parameter_factor__eta_0p7,central,central,1.0,parameter_factor,eta,0.7,0.0,0,140.0,1.386101884931138,0.9892749229966116,117.2847222222222,6.455806074087224
central__parameter_factor__eta_0p8,central,central,1.0,parameter_factor,eta,0.8,0.0,0,140.0,1.2270812080734994,0.9943184982636633,103.8292207792208,6.488719416058452
central__parameter_factor__eta_0p9,central,central,1.0,parameter_factor,eta,0.9,0.0,0,140.0,1.1015410524657088,0.9907730181459256,93.20666666666668,6.465582337024534
central__parameter_factor__eta_1,central,central,1.0,parameter_factor,eta,1.0,0.0,0,140.0,1.0011036593199294,0.9959241783646965,84.70817757009345,6.499197756414935
central__parameter_factor__eta_1p1,central,central,1.0,parameter_factor,eta,1.1,0.0,0,140.0,0.91725766101541,0.998443215599004,77.61356589147286,6.515636478857058
central__parameter_factor__eta_1p2,central,central,1.0,parameter_factor,eta,1.2,0.0,0,140.0,0.846522598737908,1.006950522522306,71.62833333333334,6.571153426100819
central__parameter_factor__eta_1p3,central,central,1.0,parameter_factor,eta,1.3,0.0,0,140.0,0.7872044648345442,1.00090986219705,66.60914179104478,6.531733310708467
central__parameter_factor__eta_1p4,central,central,1.0,parameter_factor,eta,1.4,0.0,0,140.0,0.7364791869077221,1.012048271019813,62.317032967032965,6.60442029150835
central__parameter_factor__eta_1p5,central,central,1.0,parameter_factor,eta,1.5,0.0,0,140.0,0.6913639703926159,1.0077298568044106,58.499618320610686,6.576239202435788
central__parameter_factor__beta_0p5,central,central,1.0,parameter_factor,beta,0.5,0.0,0,140.0,0.45693297267219274,0.4806818725215899,38.66328828828828,3.1368317140079065
central__parameter_factor__beta_0p6,central,central,1.0,parameter_factor,beta,0.6,0.0,0,140.0,0.5655103167175787,0.5896676842810299,47.8505376344086,3.8480508596571985
central__parameter_factor__beta_0p7,central,central,1.0,parameter_factor,beta,0.7,0.0,0,140.0,0.6737297212120614,0.6922918608213109,57.00749999999999,4.517755273320189
central__parameter_factor__beta_0p8,central,central,1.0,parameter_factor,beta,0.8,0.0,0,140.0,0.7820292130332188,0.8010681662907941,66.1712389380531,5.227607223715845
