focal_param,curve_type,polygon_order,x,y
h_ext,h_ext_absolute,0,1.0012359253938374,0.9905125304096442
h_ext,h_ext_absolute,1,1.001053635859633,0.9884275067458156
h_ext,h_ext_absolute,2,1.0000894430623108,0.9778650738046467
h_ext,h_ext_absolute,3,0.999827085515355,0.9632404646302516
h_ext,h_ext_absolute,4,0.9977907874581808,0.9390986609303137
h_ext,h_ext_absolute,5,0.9952437116859011,0.9001958485616487
h_ext,h_ext_absolute,6,0.9918454397276009,0.8322208212395285
h_ext,h_ext_absolute,7,0.9863240436792432,0.7159010756667228
h_ext,h_ext_absolute,8,0.9815641170414933,0.5250498021039247
h_ext,h_ext_absolute,9,0.9525794762030474,0.2948795051298043
h_ext,h_ext_absolute,10,0.9399574525723403,0.23933605940105157
h_ext,h_ext_absolute,11,0.8288705611148347,0.26458010666246573
h_ext,h_ext_absolute,12,0.8414925847455418,0.3201235523912185
h_ext,h_ext_absolute,13,0.9141502199513414,0.5372319492610733
h_ext,h_ext_absolute,14,0.955998780197764,0.7194960837042503
h_ext,h_ext_absolute,15,0.9754579714080072,0.8339420656090456
h_ext,h_ext_absolute,16,0.985516373469078,0.901151325019926
h_ext,h_ext_absolute,17,0.9904150763748549,0.939864054933024
h_ext,h_ext_absolute,18,0.9939804311193796,0.9638381422175891
h_ext,h_ext_absolute,19,0.9959984593713327,0.9782020150682041
h_ext,h_ext_absolute,20,0.9968835885319758,0.9887920858142244
h_ext,h_ext_absolute,21,0.9970658780661802,0.990877109478053
Xc,parameter_factor,0,0.475999344681017,0.4048400483383563
Xc,parameter_factor,1,0.5666568300810828,0.5225960622013153
Xc,parameter_factor,2,0.7146508611939947,0.6443816849152157
Xc,parameter_factor,3,0.8299278777011312,0.7610044642316711
Xc,parameter_factor,4,0.9223094511911523,0.8823638782275209
Xc,parameter_factor,5,0.9968154344119223,0.999552560874657
Xc,parameter_factor,6,1.0209635478639851,1.1261555232736764
Xc,parameter_factor,7,1.0331456171554065,1.2449759359774577
Xc,parameter_factor,8,1.0472513201072138,1.3524275379998885
Xc,parameter_factor,9,1.0552028608461463,1.4552183351880905
Xc,parameter_factor,10,1.0695958007003044,1.5200128943442748
Xc,parameter_factor,11,1.1991849190126729,1.4912270146359587
Xc,parameter_factor,12,1.1847919791585149,1.4264324554797745
Xc,parameter_factor,13,1.1481567927233423,1.3285014153826922
Xc,parameter_factor,14,1.109192842152844,1.2248211078125306
Xc,parameter_factor,15,1.057910571273373,1.115072988819202
Xc,parameter_factor,16,1.003614629259773,0.9971493766370455
Xc,parameter_factor,17,0.97959607440291,0.8581772830500245
Xc,parameter_factor,18,0.944802244687126,0.7011208865246501
Xc,parameter_factor,19,0.8897966687985673,0.5255472942241379
Xc,parameter_factor,20,0.8021688578070008,0.3412810914011837
Xc,parameter_factor,21,0.711511372406935,0.2235250775382247
beta,parameter_factor,0,0.49509799186117576,0.585538496468794
beta,parameter_factor,1,0.5292413523730014,0.6191490569792962
beta,parameter_factor,2,0.6448851438372423,0.7203425531668801
beta,parameter_factor,3,0.7627551725230002,0.8146799322673575
