run_id,scenario_id,nuisance_param,nuisance_factor,curve_type,focal_param,focal_value,h_ext,from_t,n,tmax,dt,save_times,random_seed,steepness_iqr_relative,steepness_iqr_absolute,steepness_cv_relative,steepness_cv_absolute,t_median_relative,t_median_absolute,t_max
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,0,100000,140.0,0.025,140.0,1994157686,6.525795735862736,6.525795735862736,8.096775898898253,8.096775898898253,84.61479166666666,84.61479166666666,109.775
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,15,100000,140.0,0.025,140.0,1994157686,5.369641544239044,6.526632135986024,6.654154416143013,8.11320067733945,69.61562500000001,84.61562500000001,109.77508
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,20,100000,140.0,0.025,140.0,1994157686,4.984305020224049,6.52705041027331,6.172949616712785,8.119886679905408,64.61604166666667,84.61604166666667,109.77512
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,30,100000,140.0,0.025,140.0,1994157686,4.215395757303905,6.5307124225469515,5.229757625001292,8.16605477328876,54.619687500000005,84.6196875,109.77547
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,40,100000,140.0,0.025,140.0,1994157686,3.449678213156369,6.541228600080086,4.309776311935472,8.273845654109511,44.63363402061856,84.63363402061856,109.77665
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,50,100000,140.0,0.025,140.0,1994157686,2.7017165021340173,6.59518358881816,3.44942792293309,8.571237032028062,34.695509708737866,84.69550970873786,109.78157000000002
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,0,100000,140.0,0.025,140.0,861929882,9223.319999998632,9223.319999998632,15.573614442420698,15.573614442420698,139.98482272948033,139.98482272948033,139.9999969645459
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,15,100000,140.0,0.025,140.0,861929882,8235.576560360658,9223.965747612572,13.978129683373517,15.693380381628753,124.98482379188927,139.98482379188926,139.9999969647584
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,20,100000,140.0,0.025,140.0,861929882,7906.27165444783,9224.150263539743,13.431659635101976,15.722926382142516,119.98482409543467,139.98482409543467,139.9999969648191
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,30,100000,140.0,0.025,140.0,861929882,7247.767315096346,9224.703855594444,12.347966136193529,15.801976280925274,109.9848250060709,139.9848250060709,139.99999696500123
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,40,100000,140.0,0.025,140.0,861929882,6589.5794564525195,9225.811239050809,11.292669477248733,15.936930251123878,99.98482682734337,139.98482682734337,139.99999696536548
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,50,100000,140.0,0.025,140.0,861929882,5932.361349584223,9228.673210455701,10.316683470444303,16.226131128093343,89.98483153229722,139.98483153229722,139.99999696630647
