run_id,scenario_id,nuisance_param,nuisance_factor,curve_type,focal_param,focal_value,h_ext,from_t,tmax,x_norm,y_norm,t_median_absolute,steepness_iqr_absolute
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,20,140.0,1.0,1.0,82.87442528735633,5.459388168395429
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,20,140.0,1.6890987985106394,28.07534998739929,139.98309218013333,153.27423354476844
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,20,140.0,1.59243844138072,1.095632066396191,131.97242063492064,5.981480740198
central__parameter_factor__eta_0p7,central,central,1.0,parameter_factor,eta,0.7,0.0,20,140.0,1.3839713872601882,0.9709004253400709,114.69583333333335,5.300522294791673
central__parameter_factor__eta_0p8,central,central,1.0,parameter_factor,eta,0.8,0.0,20,140.0,1.2262316038301841,0.9774851395730805,101.62323943661973,5.33647080576763
central__parameter_factor__eta_0p9,central,central,1.0,parameter_factor,eta,0.9,0.0,20,140.0,1.101102699756272,0.9901577937938524,91.25325342465752,5.4056557442826785
central__parameter_factor__eta_1,central,central,1.0,parameter_factor,eta,1.0,0.0,20,140.0,1.0001070050482244,0.9965268522372296,82.88329326923076,5.440426906592271
central__parameter_factor__eta_1p1,central,central,1.0,parameter_factor,eta,1.1,0.0,20,140.0,0.9172113327531268,1.0002502368160875,76.01336206896553,5.4607543083084735
central__parameter_factor__eta_1p2,central,central,1.0,parameter_factor,eta,1.2,0.0,20,140.0,0.8474281162942896,1.0133021257165968,70.23011811023622,5.5320096361471265
central__parameter_factor__eta_1p3,central,central,1.0,parameter_factor,eta,1.3,0.0,20,140.0,0.7880816162182941,1.0129225980398628,65.31181102362204,5.529937647239186
central__parameter_factor__eta_1p4,central,central,1.0,parameter_factor,eta,1.4,0.0,20,140.0,0.7363851971026651,1.019003655286218,61.02749999999999,5.563136499221273
central__parameter_factor__eta_1p5,central,central,1.0,parameter_factor,eta,1.5,0.0,20,140.0,0.6915388362811759,1.0227354170366254,57.31088362068965,5.583509635168718
central__parameter_factor__beta_0p5,central,central,1.0,parameter_factor,beta,0.5,0.0,20,140.0,0.4617256423808367,0.5705884669817912,38.26524725274726,3.115063925663277
central__parameter_factor__beta_0p6,central,central,1.0,parameter_factor,beta,0.6,0.0,20,140.0,0.5633786817118669,0.6287652624082904,46.689684466019415,3.432673634289868
central__parameter_factor__beta_0p7,central,central,1.0,parameter_factor,beta,0.7,0.0,20,140.0,0.6698856123905449,0.711771926710414,55.51638513513515,3.8858392352788527
central__parameter_factor__beta_0p8,central,central,1.0,parameter_factor,beta,0.8,0.0,20,140.0,0.7790383187251662,0.8043458582314934,64.56235294117647,4.391236261726882
central__parameter_factor__beta_0p9,central,central,1.0,parameter_factor,beta,0.9,0.0,20,140.0,0.8903859556566013,0.9065211334423612,73.79022435897437,4.9490507503156405
central__parameter_factor__beta_1,central,central,1.0,parameter_factor,beta,1.0,0.0,20,140.0,0.9990389668791072,0.9975230006754341,82.79478021978022,5.44586526758977
central__parameter_factor__beta_1p1,central,central,1.0,parameter_factor,beta,1.1,0.0,20,140.0,1.1114972741325446,1.0951042194564025,92.1146978021978,5.978599018860195
central__parameter_factor__beta_1p2,central,central,1.0,parameter_factor,beta,1.2,0.0,20,140.0,1.2219582517368948,1.1838107674256855,101.26908783783784,6.4628824973029
central__parameter_factor__beta_1p3,central,central,1.0,parameter_factor,beta,1.3,0.0,20,140.0,1.3327654886301157,1.2954098429049603,110.45217391304348,7.072145169578321
central__parameter_factor__beta_1p4,central,central,1.0,parameter_factor,beta,1.4,0.0,20,140.0,1.4446295634927513,1.3722645949643166,119.7228448275862,7.491725093656135
central__parameter_factor__beta_1p5,central,central,1.0,parameter_factor,beta,1.5,0.0,20,140.0,1.5572564192360097,1.4586051114456529,129.05673076923074,7.9630914877874925
central__parameter_factor__kappa_0p5,central,central,1.0,parameter_factor,kappa,0.5,0.0,20,140.0,1.0334431924122724,1.0669248059904308,85.64601063829788,5.824756662391747
central__parameter_factor__kappa_0p6,central,central,1.0,parameter_factor,kappa,0.6,0.0,20,140.0,1.0263399916391145,1.0516082430282718,85.05733695652172,5.741137599775652
