run_id,scenario_id,nuisance_param,nuisance_factor,curve_type,focal_param,focal_value,h_ext,from_t,n,tmax,dt,save_times,random_seed,steepness_iqr_relative,steepness_iqr_absolute,steepness_cv_relative,steepness_cv_absolute,t_median_relative,t_median_absolute,t_max
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,0,100000,140.0,0.025,140.0,360590487,5.440631885107223,5.440631885107223,6.352477393850693,6.352477393850693,82.84587912087912,82.84587912087912,109.9
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,15,100000,140.0,0.025,140.0,360590487,4.465352372967111,5.452323090352717,5.293566459418397,6.496655289855672,67.86451149425288,82.86451149425288,109.9016375
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,20,100000,140.0,0.025,140.0,360590487,4.141879624724518,5.459388168395429,4.938832292799499,6.556965614371433,62.87442528735633,82.87442528735633,109.9025
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,30,100000,140.0,0.025,140.0,360590487,3.5008664804160285,5.485863882496228,4.241531599459142,6.727839492925536,52.9098901098901,82.9098901098901,109.90552500000001
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,40,100000,140.0,0.025,140.0,360590487,2.8703755376421287,5.541486597407334,3.569160640933196,7.014954865303356,42.983993902439025,82.98399390243902,109.9124125
central__baseline__baseline_1,central,central,1.0,baseline,baseline,1.0,0.0,50,100000,140.0,0.025,140.0,360590487,2.2674863867015307,5.6825630353526515,2.947827343768157,7.559644522127946,33.198177083333334,83.19817708333333,109.93045000000001
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,0,100000,140.0,0.025,140.0,542047758,135.79800727476976,135.79800727476976,9.058525093384866,9.058525093384866,139.98306508426813,139.98306508426813,139.99999661301686
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,15,100000,140.0,0.025,140.0,542047758,133.62986839446742,149.66762269169388,8.44556276692681,9.506388639318368,124.98308608356365,139.98308608356365,139.9999966172167
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,20,100000,140.0,0.025,140.0,542047758,131.3752697259805,153.27423354476844,8.195609057279974,9.62763311693875,119.98309218013331,139.98309218013333,139.99999661843603
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,30,100000,140.0,0.025,140.0,542047758,127.98321136576513,162.89308527212722,7.670393062870047,9.871415101888966,109.98310538936758,139.98310538936758,139.99999662107786
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,40,100000,140.0,0.025,140.0,542047758,131.2434110857332,183.74963388220272,7.214469904732715,10.262207798819352,99.98312892890044,139.98312892890044,139.9999966257858
central__parameter_factor__eta_0p5,central,central,1.0,parameter_factor,eta,0.5,0.0,50,100000,140.0,0.025,140.0,542047758,134.83972508349592,209.76470846620634,6.685072223507788,10.626053036045088,89.98315314582995,139.98315314582993,139.99999663062917
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,0,100000,140.0,0.025,140.0,2420751254,5.953854845737128,5.953854845737128,6.824785825351511,6.824785825351511,131.94019607843137,131.94019607843137,139.99999218627912
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,15,100000,140.0,0.025,140.0,2420751254,5.294538064159895,5.973534562282855,6.1559022054726595,6.989741803237202,116.96388888888889,131.9638888888889,139.9999921948742
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,20,100000,140.0,0.025,140.0,2420751254,5.075006385719839,5.981480740198,5.9257817137569235,7.0461194118951,111.97242063492064,131.97242063492064,139.9999921982341
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,30,100000,140.0,0.025,140.0,2420751254,4.633002475661421,5.995735338895416,5.44830533059886,7.153064481301691,101.99363207547171,131.9936320754717,139.99999220542273
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,40,100000,140.0,0.025,140.0,2420751254,4.198701755052381,6.023521767660881,4.999859954309637,7.324465876123816,92.03541666666669,132.0354166666667,139.9999922187842
central__parameter_factor__eta_0p6,central,central,1.0,parameter_factor,eta,0.6,0.0,50,100000,140.0,0.025,140.0,2420751254,3.7704425160301795,6.066811911623324,4.54978462632638,7.533920521837265,82.09573170731706,132.09573170731704,139.99999223800594
central__parameter_factor__eta_0p7,central,central,1.0,parameter_factor,eta,0.7,0.0,0,100000,140.0,0.025,140.0,755926112,5.287383854895744,5.287383854895744,6.183854148334451,6.183854148334451,114.6699275362319,114.6699275362319,139.99984839296545
central__parameter_factor__eta_0p7,central,central,1.0,parameter_factor,eta,0.7,0.0,15,100000,140.0,0.025,140.0,755926112,4.603371242054635,5.2960357326919825,5.456420812466721,6.301571071171119,99.68833333333336,114.68833333333336,139.999848556701
central__parameter_factor__eta_0p7,central,central,1.0,parameter_factor,eta,0.7,0.0,20,100000,140.0,0.025,140.0,755926112,4.376247691129812,5.300522294791673,5.20915304820587,6.342997385019408,94.69583333333335,114.69583333333335,139.9998486249242
central__parameter_factor__eta_0p7,central,central,1.0,parameter_factor,eta,0.7,0.0,30,100000,140.0,0.025,140.0,755926112,3.924492907739487,5.314177076277293,4.711914502088411,6.436079879287604,84.7205357142857,114.7205357142857,139.99984880230443
central__parameter_factor__eta_0p7,central,central,1.0,parameter_factor,eta,0.7,0.0,40,100000,140.0,0.025,140.0,755926112,3.4749252165759743,5.334090783984594,4.221604397866727,6.56258681406944,74.76311475409837,114.76311475409837,139.9998490933899
