scenario_id,age,healthy_alive_fraction,sick_alive_fraction,dead_fraction
baseline,0.0,1.0,0.0,0.0
baseline,2.0,0.9997875,0.0002125,0.0
baseline,4.0,0.9994,0.0006,0.0
baseline,6.0,0.9990875,0.0009,1.25e-05
baseline,8.0,0.9986875,0.0012875,2.5e-05
baseline,10.0,0.9982625,0.0016875,5e-05
baseline,12.0,0.9976125,0.0023125,7.5e-05
baseline,14.0,0.997125,0.0027875,8.75e-05
baseline,16.0,0.996475,0.003375,0.00015
baseline,18.0,0.995425,0.0043875,0.0001875
baseline,20.0,0.9944875,0.0052875,0.000225
baseline,22.0,0.993175,0.0065125,0.0003125
baseline,24.0,0.991675,0.0079375,0.0003875
baseline,26.0,0.9897375,0.009725,0.0005375
baseline,28.0,0.9875625,0.0118375,0.0006
baseline,30.0,0.9848,0.0145,0.0007
baseline,32.0,0.981725,0.0173375,0.0009375
baseline,34.0,0.9783875,0.020425,0.0011875
baseline,36.0,0.9736125,0.024925,0.0014625
baseline,38.0,0.967975,0.0301,0.001925
baseline,40.0,0.9613,0.0362625,0.0024375
baseline,42.0,0.9532875,0.043575,0.0031375
baseline,44.0,0.943275,0.052625,0.0041
baseline,46.0,0.932325,0.062225,0.00545
baseline,48.0,0.9183625,0.074775,0.0068625
baseline,50.0,0.9027875,0.08825,0.0089625
baseline,52.0,0.884,0.1045,0.0115
baseline,54.0,0.86195,0.12345,0.0146
baseline,56.0,0.836925,0.1443125,0.0187625
baseline,58.0,0.808,0.168375,0.023625
baseline,60.0,0.7729875,0.196075,0.0309375
baseline,62.0,0.7341125,0.225125,0.0407625
baseline,64.0,0.6888,0.2579375,0.0532625
baseline,66.0,0.6401,0.2902375,0.0696625
baseline,68.0,0.5858,0.3253625,0.0888375
baseline,70.0,0.526875,0.3586625,0.1144625
baseline,72.0,0.4649125,0.3898875,0.1452
baseline,74.0,0.4015125,0.414075,0.1844125
baseline,76.0,0.3366625,0.434025,0.2293125
baseline,78.0,0.274725,0.442375,0.2829
baseline,80.0,0.2164625,0.4377,0.3458375
