Year,Western Europe,Western offshoots
1830,144982758,14849663
1831,146167968,15270189
1832,147323316,15702530
1833,148448112,16147034
1834,149582323,16604619
1835,150726028,17075662
1836,151879318,17560551
1837,153042275,18059684
1838,154214986,18573473
1839,155335053,19113790
1840,156401760,19681694
1841,157414389,20278290
1842,158372212,20904716
1843,159274493,21562162
1844,160182974,22240419
1845,161097708,22940146
1846,162018741,23662032
1847,162946118,24406780
1848,163879886,25175122
1849,164816640,25968937
1850,165756297,26789345
1851,166698795,27626153
1852,167644141,28491305
1853,168592260,29386113
1854,169546528,30310850
1855,170507000,31266660
1856,171473712,32254740
1857,172446709,33276347
1858,173426042,34332795
1859,174437160,35356799
1860,175480484,36345608
1861,176556445,37296315
1862,177665471,38205841
1863,178808000,39070934
1864,179959043,39956682
1865,181118667,40863633
1866,182286944,41792344
1867,183463935,42743401
1868,184649722,43717401
1869,185865243,44706827
1870,187111143,45711760
1871,188388081,46732272
1872,189696715,47768426
1873,191037721,48820265
1874,192390849,49895947
1875,193756222,50996043
1876,195133956,52121141
1877,196524176,53271840
1878,197927000,54448763
1879,199331364,55652520
1880,200736999,56883744
1881,202143646,58143078
1882,203551033,59431175
1883,204958884,60748702
1884,206378168,62096359
1885,207808981,63474852
1886,209251431,64884907
1887,210705611,66327267
1888,212171626,67802691
1889,213695504,69250640
1890,215278552,70669311
1891,216922100,72056836
1892,218627512,73411279
1893,220396166,74730630
1894,222183430,76074011
1895,223989517,77441862
1896,225814649,78834633
1897,227659049,80252778
1898,229522939,81696766
1899,231438815,83194257
1900,233407536,84746760
1901,235429969,86355831
1902,237507002,88023061
1903,239639534,89750085
1904,241796192,91511448
1905,243977277,93307846
1906,246183103,95139985
1907,248413970,97008590
1908,250670192,98914399
1909,252533564,100753035
1910,254000274,102521682
1911,255066462,104217447
1912,255728210,105837348
1913,255981541,107378330
1914,256241351,108942152
1915,256507672,110529160
1916,256780538,112139707
1917,257059979,113774149
1918,257336682,115481138
1919,257867276,117217333
1920,258653168,118983176
1921,259695794,120779114
1922,260996597,122605599
1923,262557039,124463089
1924,264131469,126348901
1925,265720006,128263467
1926,267322774,130207231
1927,268939904,132180639
1928,270571517,134184149
1929,272204602,136003733
1930,273839024,137635010
1931,275474638,139073517
1932,277111311,140314718
1933,278748890,141353989
1934,280400388,142401114
1935,282065921,143456156
1936,283745614,144519174
1937,285439594,145590233
1938,287147984,146669393
1939,288750330,147963459
1940,290245723,149477006
1941,291633242,151214690
1942,292911969,153181244
1943,294080963,155381485
1944,295259874,157613563
1945,296448773,159877950
1946,297647753,162175111
1947,298856889,164505529
1948,300076272,166869689
1949,301474344,169403923
1950,304956084,178032439
1951,306612918,180934446
1952,308214094,183905482
1953,310122949,186930032
1954,312128622,190049817
1955,314096343,193273172
1956,316082501,196594087
1957,318284166,200013024
1958,320740876,203452027
1959,323204375,207054813
1960,325642328,210833646
1961,328175807,214682754
1962,330934393,218529510
1963,333780503,222240870
1964,336612467,225858154
1965,339430809,229333263
1966,342148489,232594141
1967,344517162,235642627
1968,346697128,238529724
1969,349008782,241394440
1970,350916420,244657958
1971,352899819,248187248
1972,355264934,251297607
1973,357353515,254016455
1974,359044464,256661282
1975,360231227,259266307
1976,361229998,261797935
1977,362352985,264333398
1978,363543788,266884183
1979,364837215,269486885
1980,366417747,272260105
1981,367824992,275155644
1982,368725340,278100932
1983,369424405,281033139
1984,370092209,283894824
1985,370875593,286721674
1986,371794171,289515984
1987,372780324,292323920
1988,373990898,295231304
1989,375548704,298244277
1990,377261258,301686109
1991,378988097,305462702
1992,380868786,309187619
1993,382577243,312760378
1994,384105088,316140657
1995,385264473,319434708
1996,386127546,322662593
1997,387144024,325808963
1998,387747044,328962380
1999,388566513,332130481
2000,390002266,335365974
