Year,Developed (WE + offshoots)
1830,159832421
1831,161438157
1832,163025846
1833,164595146
1834,166186942
1835,167801690
1836,169439869
1837,171101959
1838,172788459
1839,174448843
1840,176083454
1841,177692679
1842,179276928
1843,180836655
1844,182423393
1845,184037854
1846,185680773
1847,187352898
1848,189055008
1849,190785577
1850,192545642
1851,194324948
1852,196135446
1853,197978373
1854,199857378
1855,201773660
1856,203728452
1857,205723056
1858,207758837
1859,209793959
1860,211826092
1861,213852760
1862,215871312
1863,217878934
1864,219915725
1865,221982300
1866,224079288
1867,226207336
1868,228367123
1869,230572070
1870,232822903
1871,235120353
1872,237465141
1873,239857986
1874,242286796
1875,244752265
1876,247255097
1877,249796016
1878,252375763
1879,254983884
1880,257620743
1881,260286724
1882,262982208
1883,265707586
1884,268474527
1885,271283833
1886,274136338
1887,277032878
1888,279974317
1889,282946144
1890,285947863
1891,288978936
1892,292038791
1893,295126796
1894,298257441
1895,301431379
1896,304649282
1897,307911827
1898,311219705
1899,314633072
1900,318154296
1901,321785800
1902,325530063
1903,329389619
1904,333307640
1905,337285123
1906,341323088
1907,345422560
1908,349584591
1909,353286599
1910,356521956
1911,359283909
1912,361565558
1913,363359871
1914,365183503
1915,367036832
1916,368920245
1917,370834128
1918,372817820
1919,375084609
1920,377636344
1921,380474908
1922,383602196
1923,387020128
1924,390480370
1925,393983473
1926,397530005
1927,401120543
1928,404755666
1929,408208335
1930,411474034
1931,414548155
1932,417426029
1933,420102879
1934,422801502
1935,425522077
1936,428264788
1937,431029827
1938,433817377
1939,436713789
1940,439722729
1941,442847932
1942,446093213
1943,449462448
1944,452873437
1945,456326723
1946,459822864
1947,463362418
1948,466945961
1949,470878267
1950,482988523
1951,487547364
1952,492119576
1953,497052981
1954,502178439
1955,507369515
1956,512676588
1957,518297190
1958,524192903
1959,530259188
1960,536475974
1961,542858561
1962,549463903
1963,556021373
1964,562470621
1965,568764072
1966,574742630
1967,580159789
1968,585226852
1969,590403222
1970,595574378
1971,601087067
1972,606562541
1973,611369970
1974,615705746
1975,619497534
1976,623027933
1977,626686383
1978,630427971
1979,634324100
1980,638677852
1981,642980636
1982,646826272
1983,650457544
1984,653987033
1985,657597267
1986,661310155
1987,665104244
1988,669222202
1989,673792981
1990,678947367
1991,684450799
1992,690056405
1993,695337621
1994,700245745
1995,704699181
1996,708790139
1997,712952987
1998,716709424
1999,720696994
2000,725368240
