Topic,Group,M/M₀ (bootstrap range),S/S₀ (bootstrap range),Robustness % (full uncertainty range),Senogenic % (full uncertainty range),mₑₓ % (full uncertainty range),Xc factor (full uncertainty range)
Diet,Good,1.026 (1.016-1.037),1.170 (1.048-1.298),98% (97%-99%),2% (1%-3%),0% (0%-0%),1.12 (1.04-1.23)
Diet,Poor,1.014 (0.995-1.019),1.020 (0.942-1.100),54% (48%-65%),27% (20%-34%),19% (13%-24%),1.02 (0.96-1.07)
Social Support,0 friends,0.953 (0.919-0.993),0.858 (0.552-1.097),44% (26%-55%),17% (16%-19%),38% (26%-57%),0.90 (0.71-1.06)
Social Support,1+ friends,1.014 (1.005-1.020),1.020 (0.943-1.085),39% (28%-46%),43% (34%-54%),18% (11%-28%),1.02 (0.96-1.06)
Income,Q1 income,0.953 (0.938-0.980),0.741 (0.693-0.872),22% (3%-61%),0% (0%-0%),78% (39%-97%),0.83 (0.79-0.91)
Income,Q2 income,0.965 (0.950-0.987),0.869 (0.779-1.035),61% (42%-76%),15% (13%-17%),24% (7%-44%),0.91 (0.85-1.02)
Income,Q3 income,1.026 (1.008-1.031),1.170 (0.995-1.365),94% (93%-94%),5% (5%-6%),1% (1%-2%),1.12 (1.00-1.27)
Income,Q4 income,1.051 (1.041-1.067),1.634 (1.387-1.871),100% (100%-100%),0% (0%-0%),0% (0%-0%),1.40 (1.28-1.40)
Alcohol,0-1 drink/day,1.051 (1.044-1.067),1.284 (1.178-1.436),100% (100%-100%),0% (0%-0%),0% (0%-0%),1.21 (1.13-1.35)
Alcohol,>4 drinks/day,0.953 (0.936-0.981),0.815 (0.700-0.898),50% (19%-78%),0% (0%-0%),50% (22%-81%),0.87 (0.79-0.93)
Physical Activity,No Activity,0.977 (0.959-0.985),0.929 (0.834-1.011),68% (49%-82%),13% (10%-14%),19% (4%-39%),0.95 (0.88-1.00)
Physical Activity,Some Activity,1.051 (1.035-1.056),1.123 (1.019-1.244),82% (77%-86%),18% (14%-23%),0% (0%-0%),1.10 (1.02-1.19)
Sleep Duration,1-5 h sleep,0.965 (0.923-1.000),0.751 (0.628-0.896),15% (4%-39%),0% (0%-0%),85% (61%-96%),0.83 (0.75-0.93)
Sleep Duration,5-7 h sleep,1.014 (1.000-1.021),0.964 (0.873-1.049),7% (6%-9%),19% (12%-27%),73% (64%-80%),0.98 (0.92-1.04)
Sleep Duration,7-9 h sleep,1.026 (1.015-1.033),1.170 (1.057-1.287),100% (100%-100%),0% (0%-0%),0% (0%-0%),1.12 (1.04-1.22)
Sleep Duration,≥9 h sleep,0.953 (0.934-0.969),0.741 (0.655-0.877),22% (5%-63%),0% (0%-0%),78% (37%-95%),0.83 (0.76-0.91)
Sleep Frailty,Q1 sleep frailty,1.014 (1.002-1.030),1.084 (0.978-1.283),84% (81%-86%),11% (10%-15%),5% (2%-7%),1.06 (0.99-1.21)
Sleep Frailty,Q4 sleep frailty,0.990 (0.972-1.006),0.806 (0.724-0.920),1% (0%-3%),0% (0%-0%),99% (97%-100%),0.87 (0.81-0.95)
Religious Attendance,never,0.977 (0.954-0.994),0.984 (0.891-1.093),54% (50%-57%),44% (42%-48%),2% (1%-6%),0.98 (0.92-1.06)
Religious Attendance,sometimes,1.014 (1.007-1.040),1.020 (0.887-1.264),57% (53%-60%),21% (18%-25%),22% (19%-24%),1.02 (0.93-1.20)
Religious Attendance,weekly,1.039 (1.019-1.055),1.184 (0.979-1.349),88% (86%-90%),11% (10%-13%),1% (0%-3%),1.14 (0.99-1.28)
Education,no high school,0.977 (0.963-0.991),0.836 (0.778-0.915),7% (1%-27%),0% (0%-0%),93% (73%-99%),0.89 (0.85-0.94)
Education,some college,1.026 (1.019-1.044),1.097 (1.053-1.227),98% (97%-99%),2% (1%-3%),0% (0%-0%),1.07 (1.04-1.17)
