panel,param,value,ci_lower,ci_upper,heterogeneity_percent
heterogeneity,Xc,0.0,105.9,106.7,0.0
heterogeneity,Xc,0.01,106.1,106.5,1.0
heterogeneity,Xc,0.02,105.8,106.9,2.0
heterogeneity,Xc,0.03,106.1,106.9000100000063,3.0
heterogeneity,Xc,0.04,106.2,107.1,4.0
heterogeneity,Xc,0.05,106.4000100000063,107.0,5.0
heterogeneity,Xc,0.06,106.9,107.9,6.0
heterogeneity,Xc,0.07,107.1,107.9,7.000000000000001
heterogeneity,Xc,0.08,107.3,108.2,8.0
heterogeneity,Xc,0.09,107.3,108.2,9.0
heterogeneity,Xc,0.1,107.9000100000063,108.7000100000063,10.0
heterogeneity,Xc,0.11,108.0,108.9,11.0
heterogeneity,Xc,0.12,108.3,109.0,12.0
heterogeneity,Xc,0.13,108.6,109.5,13.0
heterogeneity,Xc,0.14,109.3,109.6,14.000000000000002
heterogeneity,Xc,0.15,109.4,109.8,15.0
heterogeneity,Xc,0.16,109.7000100000063,110.1,16.0
heterogeneity,Xc,0.17,109.8,110.5,17.0
heterogeneity,Xc,0.18,110.1,110.6,18.0
heterogeneity,Xc,0.19,110.4,110.9,19.0
heterogeneity,Xc,0.2,110.5,111.2,20.0
heterogeneity,beta,0.0,105.6,107.2,0.0
heterogeneity,beta,0.01,105.9,107.5,1.0
heterogeneity,beta,0.02,106.5,108.3,2.0
heterogeneity,beta,0.03,107.9,109.8,3.0
heterogeneity,beta,0.04,110.0,111.2000100000063,4.0
heterogeneity,beta,0.05,111.9,113.7,5.0
heterogeneity,beta,0.06,114.2,115.9,6.0
heterogeneity,beta,0.07,116.6000100000063,118.2,7.000000000000001
heterogeneity,beta,0.08,118.9,121.1,8.0
heterogeneity,beta,0.09,121.6,123.5,9.0
heterogeneity,beta,0.1,123.9,126.7,10.0
heterogeneity,beta,0.11,127.2,129.4,11.0
heterogeneity,beta,0.12,130.0,132.8,12.0
heterogeneity,beta,0.13,132.2,135.4,13.0
heterogeneity,beta,0.14,135.7,137.9000200000126,14.000000000000002
heterogeneity,beta,0.15,138.4,140.9,15.0
heterogeneity,beta,0.16,142.00001000000628,143.8000100000063,16.0
heterogeneity,beta,0.17,144.5,146.7,17.0
heterogeneity,beta,0.18,148.3,150.6,18.0
heterogeneity,beta,0.19,150.5,154.1,19.0
heterogeneity,beta,0.2,154.2,156.9,20.0
heterogeneity,epsilon,0.0,106.3,106.4,0.0
heterogeneity,epsilon,0.01,106.1,106.4,1.0
heterogeneity,epsilon,0.02,106.1,106.3000100000063,2.0
heterogeneity,epsilon,0.03,106.2,106.6,3.0
heterogeneity,epsilon,0.04,106.4,106.5,4.0
heterogeneity,epsilon,0.05,106.2,106.6,5.0
heterogeneity,epsilon,0.06,106.2,106.4,6.0
heterogeneity,epsilon,0.07,106.4000100000063,106.7,7.000000000000001
heterogeneity,epsilon,0.08,106.6,106.7,8.0
heterogeneity,epsilon,0.09,106.3000100000063,106.8,9.0
heterogeneity,epsilon,0.1,106.6,106.7,10.0
heterogeneity,epsilon,0.11,106.7,106.8,11.0
heterogeneity,epsilon,0.12,106.9,107.1,12.0
heterogeneity,epsilon,0.13,106.8,107.1,13.0
heterogeneity,epsilon,0.14,106.6,106.9,14.000000000000002
heterogeneity,epsilon,0.15,106.9,107.0000100000063,15.0
heterogeneity,epsilon,0.16,107.1,107.2,16.0
heterogeneity,epsilon,0.17,107.1,107.2,17.0
heterogeneity,epsilon,0.18,107.3,107.5,18.0
heterogeneity,epsilon,0.19,107.2,107.6,19.0
heterogeneity,epsilon,0.2,107.5,107.5,20.0
heterogeneity,eta,0.0,105.6,107.3,0.0
heterogeneity,eta,0.01,105.8000100000063,107.4,1.0
heterogeneity,eta,0.02,106.5,108.7,2.0
heterogeneity,eta,0.03,108.7,110.0,3.0
heterogeneity,eta,0.04,110.6,112.2000100000063,4.0
heterogeneity,eta,0.05,113.3,114.9000100000063,5.0
heterogeneity,eta,0.06,116.3000100000063,118.1,6.0
heterogeneity,eta,0.07,120.5,122.3,7.000000000000001
heterogeneity,eta,0.08,124.6000100000063,126.3000100000063,8.0
heterogeneity,eta,0.09,129.1000200000126,132.4000100000063,9.0
heterogeneity,eta,0.1,135.8,138.5,10.0
heterogeneity,eta,0.11,142.00001000000628,143.70001000000627,11.0
heterogeneity,eta,0.12,150.3,151.5,12.0
heterogeneity,eta,0.13,158.3,161.4000100000063,13.0
heterogeneity,eta,0.14,167.8,169.4000100000063,14.000000000000002
heterogeneity,eta,0.15,178.2000200000126,180.6000200000126,15.0
heterogeneity,eta,0.16,194.20006000003775,197.60001000000628,16.0
heterogeneity,eta,0.17,208.4000100000063,210.50005000003148,17.0
heterogeneity,eta,0.18,229.00008000005036,232.9000100000063,18.0
heterogeneity,eta,0.19,257.6000500000315,263.3000200000126,19.0
heterogeneity,eta,0.2,284.40005000003146,293.9000300000189,20.0
