panel,param,value,scenario_id,n_sim,seed_method,max_lifespan,heterogeneity_percent
heterogeneity,eta,0.0,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3,0.0
heterogeneity,eta,0.01,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6000100000063,1.0
heterogeneity,eta,0.02,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.6,2.0
heterogeneity,eta,0.03,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.5000100000063,3.0
heterogeneity,eta,0.04,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,111.4,4.0
heterogeneity,eta,0.05,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,114.2,5.0
heterogeneity,eta,0.06,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,117.0000100000063,6.0
heterogeneity,eta,0.07,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,121.5,7.000000000000001
heterogeneity,eta,0.08,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,125.7,8.0
heterogeneity,eta,0.09,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,130.9,9.0
heterogeneity,eta,0.1,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,137.3000100000063,10.0
heterogeneity,eta,0.11,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,142.9000200000126,11.0
heterogeneity,eta,0.12,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,150.9000100000063,12.0
heterogeneity,eta,0.13,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,159.00001000000628,13.0
heterogeneity,eta,0.14,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,169.4000100000063,14.000000000000002
heterogeneity,eta,0.15,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,180.6000200000126,15.0
heterogeneity,eta,0.16,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,197.1,16.0
heterogeneity,eta,0.17,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,208.4000100000063,17.0
heterogeneity,eta,0.18,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,229.70001000000627,18.0
heterogeneity,eta,0.19,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,261.5000100000063,19.0
heterogeneity,eta,0.2,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,290.8000500000315,20.0
heterogeneity,beta,0.0,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3,0.0
heterogeneity,beta,0.01,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7,1.0
heterogeneity,beta,0.02,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.4,2.0
