panel,param,value,ci_lower,ci_upper
factor,Xc,0.85,100.6000100000063,101.5
factor,Xc,0.9,102.3,103.3
factor,Xc,0.95,104.6,105.2
factor,Xc,1.0,105.9,106.6
factor,Xc,1.05,107.2,107.9
factor,Xc,1.1,108.3,109.2
factor,Xc,1.15,109.6,110.1000100000063
factor,beta,0.85,91.6,93.4
factor,beta,0.9,96.6,98.0
factor,beta,0.95,101.1000100000063,102.4
factor,beta,1.0,105.5,107.1000100000063
factor,beta,1.05,110.1,111.7
factor,beta,1.1,114.6,116.3
factor,beta,1.15,118.9,121.0000100000063
factor,epsilon,0.85,107.6,107.9
factor,epsilon,0.9,107.1,107.4
factor,epsilon,0.95,106.7,106.9
factor,epsilon,1.0,106.0,106.3
factor,epsilon,1.05,105.5,105.8
factor,epsilon,1.1,105.0,105.2
factor,epsilon,1.15,104.5,104.6
factor,eta,0.85,122.0,124.0
factor,eta,0.9,115.7,117.7
factor,eta,0.95,110.4,112.2
factor,eta,1.0,105.4,107.2
factor,eta,1.05,100.9,102.5
factor,eta,1.1,96.9,98.1
factor,eta,1.15,93.3,94.3
