panel,param,value,scenario_id,n_sim,seed_method,max_lifespan
factor,eta,0.85,central,1000000,common_random_numbers_for_factor_ci_scenarios,122.9
factor,eta,0.9,central,1000000,common_random_numbers_for_factor_ci_scenarios,116.6
factor,eta,0.95,central,1000000,common_random_numbers_for_factor_ci_scenarios,111.5
factor,eta,1.0,central,1000000,common_random_numbers_for_factor_ci_scenarios,106.3
factor,eta,1.05,central,1000000,common_random_numbers_for_factor_ci_scenarios,101.8
factor,eta,1.1,central,1000000,common_random_numbers_for_factor_ci_scenarios,97.7
factor,eta,1.15,central,1000000,common_random_numbers_for_factor_ci_scenarios,93.9
factor,beta,0.85,central,1000000,common_random_numbers_for_factor_ci_scenarios,92.5
factor,beta,0.9,central,1000000,common_random_numbers_for_factor_ci_scenarios,97.0
factor,beta,0.95,central,1000000,common_random_numbers_for_factor_ci_scenarios,101.8
factor,beta,1.0,central,1000000,common_random_numbers_for_factor_ci_scenarios,106.3
factor,beta,1.05,central,1000000,common_random_numbers_for_factor_ci_scenarios,110.8
factor,beta,1.1,central,1000000,common_random_numbers_for_factor_ci_scenarios,115.5
factor,beta,1.15,central,1000000,common_random_numbers_for_factor_ci_scenarios,119.7
factor,Xc,0.85,central,1000000,common_random_numbers_for_factor_ci_scenarios,101.3
factor,Xc,0.9,central,1000000,common_random_numbers_for_factor_ci_scenarios,103.1000100000063
factor,Xc,0.95,central,1000000,common_random_numbers_for_factor_ci_scenarios,105.2
factor,Xc,1.0,central,1000000,common_random_numbers_for_factor_ci_scenarios,106.3
factor,Xc,1.05,central,1000000,common_random_numbers_for_factor_ci_scenarios,107.7
factor,Xc,1.1,central,1000000,common_random_numbers_for_factor_ci_scenarios,108.7000100000063
factor,Xc,1.15,central,1000000,common_random_numbers_for_factor_ci_scenarios,109.8
factor,epsilon,0.85,central,1000000,common_random_numbers_for_factor_ci_scenarios,107.8
factor,epsilon,0.9,central,1000000,common_random_numbers_for_factor_ci_scenarios,107.4
factor,epsilon,0.95,central,1000000,common_random_numbers_for_factor_ci_scenarios,106.9
factor,epsilon,1.0,central,1000000,common_random_numbers_for_factor_ci_scenarios,106.3
factor,epsilon,1.05,central,1000000,common_random_numbers_for_factor_ci_scenarios,105.8
factor,epsilon,1.1,central,1000000,common_random_numbers_for_factor_ci_scenarios,105.1
factor,epsilon,1.15,central,1000000,common_random_numbers_for_factor_ci_scenarios,104.5
