series,sibling_sex,proband_group,age,log10_hazard,plotted
brothers_short,brothers,short,50,-1.95,True
brothers_short,brothers,short,51,-2.05,True
brothers_short,brothers,short,52,-1.9,True
brothers_short,brothers,short,53,-2.0,True
brothers_short,brothers,short,54,-1.8,True
brothers_short,brothers,short,55,-1.75,True
brothers_short,brothers,short,56,-1.75,True
brothers_short,brothers,short,58,-1.85,True
brothers_short,brothers,short,59,-1.75,True
brothers_short,brothers,short,60,-1.65,True
brothers_short,brothers,short,61,-1.6,True
brothers_short,brothers,short,62,-1.6,True
brothers_short,brothers,short,63,-1.55,True
brothers_short,brothers,short,64,-1.45,True
brothers_short,brothers,short,65,-1.45,True
brothers_short,brothers,short,67,-1.35,True
brothers_short,brothers,short,68,-1.4,True
brothers_short,brothers,short,69,-1.3,True
brothers_short,brothers,short,70,-1.3,True
brothers_short,brothers,short,71,-1.25,True
brothers_short,brothers,short,72,-1.2,True
brothers_short,brothers,short,73,-1.2,True
brothers_short,brothers,short,74,-1.15,True
brothers_short,brothers,short,75,-1.15,True
brothers_short,brothers,short,76,-1.05,True
brothers_short,brothers,short,77,-1.05,True
brothers_short,brothers,short,78,-1.0,True
brothers_short,brothers,short,79,-0.9,True
brothers_short,brothers,short,80,-0.95,True
brothers_short,brothers,short,81,-0.9,True
brothers_short,brothers,short,82,-0.8,True
brothers_short,brothers,short,83,-0.8,True
brothers_short,brothers,short,84,-0.9,True
brothers_short,brothers,short,85,-0.85,True
brothers_short,brothers,short,86,-0.7,True
brothers_short,brothers,short,87,-0.8,True
brothers_short,brothers,short,88,-0.75,True
brothers_short,brothers,short,90,-0.6,True
brothers_short,brothers,short,91,-0.6,True
brothers_short,brothers,short,92,-0.65,True
brothers_short,brothers,short,93,-0.55,True
brothers_short,brothers,short,94,-0.4,True
brothers_short,brothers,short,95,-0.5,True
brothers_short,brothers,short,96,-0.45,True
brothers_short,brothers,short,97,-0.35,True
brothers_short,brothers,short,98,-0.4,True
brothers_short,brothers,short,99,-0.25,True
brothers_short,brothers,short,100,-0.65,True
brothers_short,brothers,short,101,-0.2,True
brothers_short,brothers,short,102,-0.2,False
brothers_short,brothers,short,103,0.3,False
brothers_cent,brothers,cent,51,-2.35,True
brothers_cent,brothers,cent,52,-2.3,True
brothers_cent,brothers,cent,53,-2.25,True
brothers_cent,brothers,cent,54,-2.2,True
brothers_cent,brothers,cent,55,-2.15,True
