param,cohort,cohort_label,age,ci_lower,ci_upper
Xc,bad,Bad survivor siblings (bottom 10%),50.0,0.004611066595255482,0.0052155228667017575
Xc,bad,Bad survivor siblings (bottom 10%),50.025,0.004618898338897519,0.005225494526383559
Xc,bad,Bad survivor siblings (bottom 10%),50.05,0.004626531129517209,0.005235445202035654
Xc,bad,Bad survivor siblings (bottom 10%),50.075,0.004633784703560737,0.005245460377371201
Xc,bad,Bad survivor siblings (bottom 10%),50.1,0.004641057869518099,0.005255360678155068
Xc,bad,Bad survivor siblings (bottom 10%),50.125,0.004648035380249255,0.0052654184192280976
Xc,bad,Bad survivor siblings (bottom 10%),50.15,0.00465502954682743,0.005275490621995827
Xc,bad,Bad survivor siblings (bottom 10%),50.175,0.004661908324484423,0.005285939251961179
Xc,bad,Bad survivor siblings (bottom 10%),50.2,0.0046688531388385714,0.005297115940038682
Xc,bad,Bad survivor siblings (bottom 10%),50.225,0.004675908861116998,0.005308611954163126
Xc,bad,Bad survivor siblings (bottom 10%),50.25,0.004682712393096862,0.005320519045994
Xc,bad,Bad survivor siblings (bottom 10%),50.275,0.0046895281881518995,0.005332652570137014
Xc,bad,Bad survivor siblings (bottom 10%),50.3,0.004696573406487626,0.005344874083190525
Xc,bad,Bad survivor siblings (bottom 10%),50.325,0.0047037143982795885,0.005357045468922833
Xc,bad,Bad survivor siblings (bottom 10%),50.35,0.004711074330239668,0.0053692577765193875
Xc,bad,Bad survivor siblings (bottom 10%),50.375,0.004718702042838205,0.005381319907464451
Xc,bad,Bad survivor siblings (bottom 10%),50.4,0.004726239874771862,0.005393186285742925
Xc,bad,Bad survivor siblings (bottom 10%),50.425,0.004733905092882275,0.005404815011664216
Xc,bad,Bad survivor siblings (bottom 10%),50.45,0.004741247778213187,0.005416746995146817
Xc,bad,Bad survivor siblings (bottom 10%),50.475,0.004748893713885332,0.005428575741485166
Xc,bad,Bad survivor siblings (bottom 10%),50.5,0.004756838726530979,0.005440661886616726
Xc,bad,Bad survivor siblings (bottom 10%),50.525,0.004764812464170849,0.0054525789834767475
Xc,bad,Bad survivor siblings (bottom 10%),50.55,0.004773168096040682,0.005464738595592247
Xc,bad,Bad survivor siblings (bottom 10%),50.575,0.004781818319830589,0.005477011425677513
Xc,bad,Bad survivor siblings (bottom 10%),50.6,0.0047905313851455186,0.005489574399782867
Xc,bad,Bad survivor siblings (bottom 10%),50.625,0.004799221593116215,0.005502188475632071
Xc,bad,Bad survivor siblings (bottom 10%),50.65,0.004807845798686129,0.0055149510186274404
Xc,bad,Bad survivor siblings (bottom 10%),50.675,0.0048166231936744176,0.005527812298207001
Xc,bad,Bad survivor siblings (bottom 10%),50.7,0.004825692245512332,0.005540314279640614
Xc,bad,Bad survivor siblings (bottom 10%),50.725,0.004835185403410252,0.005552728279090734
Xc,bad,Bad survivor siblings (bottom 10%),50.75,0.004845276299689146,0.0055652762072962835
Xc,bad,Bad survivor siblings (bottom 10%),50.775,0.004855161128358167,0.005577997673809594
Xc,bad,Bad survivor siblings (bottom 10%),50.8,0.004865187931684731,0.005590484208501459
Xc,bad,Bad survivor siblings (bottom 10%),50.825,0.004874913941814196,0.005603237677180812
Xc,bad,Bad survivor siblings (bottom 10%),50.85,0.004884562077583009,0.005615891797584119
Xc,bad,Bad survivor siblings (bottom 10%),50.875,0.004894039140326245,0.005628672466854216
Xc,bad,Bad survivor siblings (bottom 10%),50.9,0.0049032922092414975,0.005641758818253923
Xc,bad,Bad survivor siblings (bottom 10%),50.925,0.004913528450715813,0.005655235484406358
Xc,bad,Bad survivor siblings (bottom 10%),50.95,0.0049237151068103144,0.00566878516188535
Xc,bad,Bad survivor siblings (bottom 10%),50.975,0.004934032906414823,0.005682134644589465
