fit_name,fit_params,log2_factors,factors,params,cost,contains_senogenic
eta,['eta'],{'eta': 2.75},{'eta': 6.727171322029716},"{'eta': 3.94775186499101, 'beta': 57.87173772073557, 'kappa': 0.5, 'epsilon': 49.718659304628446, 'Xc': 21.74056340066893, 'xc_std_frac': 0.14142135623730953}",0.10551086987762956,True
beta,['beta'],{'beta': -2.175148},{'beta': 0.22141916415219565},"{'eta': 0.5868368257640714, 'beta': 12.813911794160362, 'kappa': 0.5, 'epsilon': 49.718659304628446, 'Xc': 21.74056340066893, 'xc_std_frac': 0.14142135623730953}",0.08165863569511873,True
Xc,['Xc'],{'Xc': -1.572906},{'Xc': 0.336130648697763},"{'eta': 0.5868368257640714, 'beta': 57.87173772073557, 'kappa': 0.5, 'epsilon': 49.718659304628446, 'Xc': 7.307669678921691, 'xc_std_frac': 0.14142135623730953}",0.188430039744019,False
epsilon,['epsilon'],{'epsilon': 2.055959},{'epsilon': 4.158199567005383},"{'eta': 0.5868368257640714, 'beta': 57.87173772073557, 'kappa': 0.5, 'epsilon': 206.74010759259414, 'Xc': 21.74056340066893, 'xc_std_frac': 0.14142135623730953}",0.17875431509795556,False
Xc+epsilon,"['Xc', 'epsilon']","{'Xc': 0.0, 'epsilon': 2.0625}","{'Xc': 1.0, 'epsilon': 4.177095129709655}","{'eta': 0.5868368257640714, 'beta': 57.87173772073557, 'kappa': 0.5, 'epsilon': 207.6795696370571, 'Xc': 21.74056340066893, 'xc_std_frac': 0.14142135623730953}",0.18561465378279352,False
eta+Xc,"['eta', 'Xc']","{'eta': 1.702483, 'Xc': -1.219175}","{'eta': 3.254606220057062, 'Xc': 0.4295282722090531}","{'eta': 1.909922783290289, 'beta': 57.87173772073557, 'kappa': 0.5, 'epsilon': 49.718659304628446, 'Xc': 9.338186634340701, 'xc_std_frac': 0.14142135623730953}",0.05627639270703362,True
eta+epsilon,"['eta', 'epsilon']","{'eta': 2.138196, 'epsilon': 1.375}","{'eta': 4.402112453961162, 'epsilon': 2.5936791093020193}","{'eta': 2.583321699139055, 'beta': 57.87173772073557, 'kappa': 0.5, 'epsilon': 128.95424798091926, 'Xc': 21.74056340066893, 'xc_std_frac': 0.14142135623730953}",0.027692352341070564,True
beta+Xc,"['beta', 'Xc']","{'beta': -2.8125, 'Xc': 0.5}","{'beta': 0.14234857934458645, 'Xc': 1.4142135623730951}","{'eta': 0.5868368257640714, 'beta': 8.237959648749223, 'kappa': 0.5, 'epsilon': 49.718659304628446, 'Xc': 30.74579961485814, 'xc_std_frac': 0.14142135623730953}",0.053843764295848084,True
beta+epsilon,"['beta', 'epsilon']","{'beta': -3.125, 'epsilon': -1.409837}","{'beta': 0.1146255054005839, 'epsilon': 0.37635420607441084}","{'eta': 0.5868368257640714, 'beta': 6.63357718464935, 'kappa': 0.5, 'epsilon': 18.711826549677557, 'Xc': 21.74056340066893, 'xc_std_frac': 0.14142135623730953}",0.020915599211778445,True
eta+beta,"['eta', 'beta']","{'eta': 1.0625, 'beta': -1.5}","{'eta': 2.0885475648548275, 'beta': 0.3535533905932738}","{'eta': 1.225636623416688, 'beta': 20.46074909069072, 'kappa': 0.5, 'epsilon': 49.718659304628446, 'Xc': 21.74056340066893, 'xc_std_frac': 0.14142135623730953}",0.01877021305169112,True
