fit_name,age,ci_lower,ci_upper
eta,0.0,1.0,1.0
eta,0.25,1.0,1.0
eta,0.5,1.0,1.0
eta,0.75,1.0,1.0
eta,1.0,1.0,1.0
eta,1.25,1.0,1.0
eta,1.5,1.0,1.0
eta,1.75,1.0,1.0
eta,2.0,1.0,1.0
eta,2.25,1.0,1.0
eta,2.5,1.0,1.0
eta,2.75,1.0,1.0
eta,3.0,1.0,1.0
eta,3.25,1.0,1.0
eta,3.5,1.0,1.0
eta,3.75,1.0,1.0
eta,4.0,1.0,1.0
eta,4.25,1.0,1.0
eta,4.5,1.0,1.0
eta,4.75,1.0,1.0
eta,5.0,1.0,1.0
eta,5.25,0.9998,1.0
eta,5.5,0.9998,1.0
eta,5.75,0.9998,1.0
eta,6.0,0.9998,1.0
eta,6.25,0.9996,0.9998
eta,6.5,0.9994,0.9998
eta,6.75,0.9994,0.9994
eta,7.0,0.9994,0.9994
eta,7.25,0.9994,0.9994
eta,7.5,0.9988,0.9992
eta,7.75,0.9982,0.999
eta,8.0,0.9978,0.9986
eta,8.25,0.9974,0.9974
eta,8.5,0.9962,0.9968
eta,8.75,0.9952,0.9964
eta,9.0,0.9942,0.9956
eta,9.25,0.9926,0.995
eta,9.5,0.99,0.9938
eta,9.75,0.9882,0.9902
eta,10.0,0.986,0.9868
eta,10.25,0.9822,0.9838
eta,10.5,0.9762,0.9804
eta,10.75,0.9708,0.9746
eta,11.0,0.965,0.969
eta,11.25,0.9528,0.96
eta,11.5,0.9398,0.9494
eta,11.75,0.9246,0.9372
eta,12.0,0.9064,0.9248
eta,12.25,0.8872,0.9068
eta,12.5,0.8608,0.8862
eta,12.75,0.8336,0.8666
eta,13.0,0.797,0.8308
eta,13.25,0.7598,0.7974
eta,13.5,0.7148,0.7598
eta,13.75,0.6672,0.7166
eta,14.0,0.616,0.674
eta,14.25,0.5652,0.6248
eta,14.5,0.5082,0.5696
eta,14.75,0.4448,0.5016
eta,15.0,0.3842,0.444
eta,15.25,0.3306,0.3846
eta,15.5,0.2744,0.3258
eta,15.75,0.2216,0.2702
eta,16.0,0.1696,0.2194
eta,16.25,0.1286,0.1688
eta,16.5,0.093,0.129
eta,16.75,0.0662,0.0936
eta,17.0,0.0454,0.0668
eta,17.25,0.0298,0.0476
eta,17.5,0.0186,0.032
eta,17.75,0.011,0.0202
eta,18.0,0.007,0.013
eta,18.25,0.0042,0.0092
eta,18.5,0.0022,0.0056
eta,18.75,0.0008,0.0028
eta,19.0,0.0004,0.0016
eta,19.25,0.0002,0.0004
eta,19.5,0.0,0.0002
eta,19.75,0.0,0.0002
eta,20.0,0.0,0.0
eta,20.25,0.0,0.0
eta,20.5,0.0,0.0
eta,20.75,0.0,0.0
eta,21.0,0.0,0.0
eta,21.25,0.0,0.0
eta,21.5,0.0,0.0
eta,21.75,0.0,0.0
eta,22.0,0.0,0.0
eta,22.25,0.0,0.0
eta,22.5,0.0,0.0
eta,22.75,0.0,0.0
eta,23.0,0.0,0.0
eta,23.25,0.0,0.0
eta,23.5,0.0,0.0
eta,23.75,0.0,0.0
eta,24.0,0.0,0.0
eta,24.25,0.0,0.0
eta,24.5,0.0,0.0
eta,24.75,0.0,0.0
eta,25.0,0.0,0.0
eta,25.25,0.0,0.0
eta,25.5,0.0,0.0
eta,25.75,0.0,0.0
eta,26.0,0.0,0.0
eta,26.25,0.0,0.0
eta,26.5,0.0,0.0
eta,26.75,0.0,0.0
eta,27.0,0.0,0.0
eta,27.25,0.0,0.0
eta,27.5,0.0,0.0
eta,27.75,0.0,0.0
eta,28.0,0.0,0.0
eta,28.25,0.0,0.0
eta,28.5,0.0,0.0
eta,28.75,0.0,0.0
eta,29.0,0.0,0.0
eta,29.25,0.0,0.0
eta,29.5,0.0,0.0
eta,29.75,0.0,0.0
eta,30.0,0.0,0.0
eta,30.25,0.0,0.0
eta,30.5,0.0,0.0
eta,30.75,0.0,0.0
eta,31.0,0.0,0.0
eta,31.25,0.0,0.0
eta,31.5,0.0,0.0
eta,31.75,0.0,0.0
eta,32.0,0.0,0.0
eta,32.25,0.0,0.0
eta,32.5,0.0,0.0
eta,32.75,0.0,0.0
eta,33.0,0.0,0.0
eta,33.25,0.0,0.0
eta,33.5,0.0,0.0
eta,33.75,0.0,0.0
eta,34.0,0.0,0.0
eta,34.25,0.0,0.0
eta,34.5,0.0,0.0
eta,34.75,0.0,0.0
eta,35.0,0.0,0.0
beta,0.0,1.0,1.0
beta,0.25,0.9998,1.0
beta,0.5,0.9992,0.9992
beta,0.75,0.9964,0.9978
beta,1.0,0.994,0.9952
beta,1.25,0.9894,0.991
beta,1.5,0.9858,0.9862
beta,1.75,0.981,0.9824
beta,2.0,0.9754,0.9784
beta,2.25,0.9706,0.9734
beta,2.5,0.9648,0.97
beta,2.75,0.9572,0.9658
beta,3.0,0.9498,0.9606
beta,3.25,0.944,0.9542
beta,3.5,0.9374,0.9502
