diet,income,alcohol,physical_activity,sleep_duration,sleep_frailty,number_of_friends,church_frequency,education_level,n
Poor,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,6
Good,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,6
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,5
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,5
Good,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,4
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,4
Poor,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,4
Good,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,4
Poor,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,some college,4
Poor,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,4
Poor,Q3,0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,4
Poor,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,4
Poor,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,4
Good,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,3
Poor,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,3
Poor,Q2,>4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,3
Poor,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,high school,3
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,weekly,some college,3
Good,Q4 (Highest),2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,3
Poor,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,3
Good,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,3
Poor,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,3
Poor,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,3
Poor,Q2,2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,no highschool,3
Poor,Q4 (Highest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,no highschool,3
Poor,Q2,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,no highschool,3
Poor,Q2,0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,3
Good,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,3
Poor,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,3
Poor,Q4 (Highest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,3
Poor,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,3
Poor,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,3
Good,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,3
Good,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,3
Poor,Q3,0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,3
Poor,Q4 (Highest),0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,3
Poor,Q2,2-4 drinks/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,no highschool,3
Poor,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,3
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,3
Poor,Q4 (Highest),2-4 drinks/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,some college,3
Poor,Q4 (Highest),2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,high school,2
Poor,Q4 (Highest),2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,weekly,no highschool,2
Poor,Q3,0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q2,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,some college,2
Good,Q3,0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,some college,2
Poor,Q2,2-4 drinks/day,Some Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,2
Good,Q3,0-1 drink/day,No Activity,5-<7 hours,Q1 (lowest),1+ friends,never,no highschool,2
Poor,Q3,2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,no highschool,2
Poor,Q3,0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,high school,2
Poor,Q3,2-4 drinks/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,2
Poor,Q4 (Highest),0-1 drink/day,No Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,2
Good,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,high school,2
Poor,Q3,2-4 drinks/day,Some Activity,≥9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Good,Q2,0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Good,Q2,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Poor,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,weekly,some college,2
Poor,Q1 (Lowest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,never,some college,2
Poor,Q1 (Lowest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,sometimes,some college,2
Good,Q3,0-1 drink/day,No Activity,7-<9 hours,Q1 (lowest),1+ friends,never,some college,2
Poor,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Poor,Q2,0-1 drink/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Poor,Q1 (Lowest),>4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,sometimes,no highschool,2
Good,Q3,2-4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,high school,2
Poor,Q4 (Highest),0-1 drink/day,No Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q1 (lowest),1+ friends,never,some college,2
Good,Q4 (Highest),2-4 drinks/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,weekly,some college,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,5-<7 hours,Q4 (highest),1+ friends,never,some college,2
Good,Q2,>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,sometimes,no highschool,2
Good,Q4 (Highest),0-1 drink/day,Some Activity,7-<9 hours,Q4 (highest),1+ friends,weekly,some college,2
Poor,Q3,2-4 drinks/day,No Activity,1-<5 hours,Q4 (highest),1+ friends,never,some college,2
Good,Q2,>4 drinks/day,Some Activity,7-<9 hours,Q1 (lowest),1+ friends,never,no highschool,2
