Topic,Group,N,Deaths,Median Lifespan,Steepness (IQR)
Alcohol,0-1 drink/day,11241,1738,86,6.1
Alcohol,>4 drinks/day,4963,430,78,3.9
Church Frequency,never,2415,817,80,4.7
Church Frequency,sometimes,1882,438,83,4.9
Church Frequency,weekly,1890,582,85,5.7
Diet,Good,12236,1656,84,5.6
Diet,Poor,27271,2586,83,4.9
Education Level,no highschool,15116,3710,80,4.0
Education Level,some college,27001,3163,84,5.2
Income,Q1 (Lowest),7897,763,78,3.5
Income,Q2,7770,993,79,4.2
Income,Q3,7783,788,84,5.6
Income,Q4 (Highest),7784,486,86,7.8
Number Of Friends,0 friends,637,288,78,4.1
Number Of Friends,1+ friends,13031,5571,83,4.9
Physical Activity,No Activity,12510,2147,80,4.4
Physical Activity,Some Activity,23951,1356,86,5.4
Sleep Duration,1-<5 hours,2092,307,79,3.6
Sleep Duration,5-<7 hours,12255,1251,83,4.6
Sleep Duration,7-<9 hours,22189,2178,84,5.6
Sleep Duration,≥9 hours,5389,781,78,3.5
Sleep Frailty,Q1 (lowest),2951,614,83,5.2
Sleep Frailty,Q4 (highest),2945,532,81,3.9
