scenario_id,analysis,mode,distribution,cv_requested,favorable_cutoff,rho,delta,n,top_0_01pct_lifespan,top_0_01pct_censored,q9999_tau,q9999_tau_factor,q999_tau_factor,tau_cv,eta_cv_actual,beta_cv_actual,eta_q0001_factor,beta_q9999_factor,conditional_survival_100_from90,conditional_survival_105_from90,conditional_survival_110_from90,factor_mean,factor_cv,eta_factor_mean,eta_factor_cv,beta_factor_mean,beta_factor_cv
baseline,baseline,baseline,fixed,0.0,,,0.0,200000,105.8,False,98.61640439041227,1.0,1.0,0.0,0.0,1.2277888374267895e-16,1.0,1.0,0.035029081243256,0.001263257625602,0.0,,,,,,
correlated__cv0.050__rho-0.75,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.05,,-0.75,0.0,200000,127.90001000000048,False,140.1327602899835,1.4209883351172716,1.3343898379355634,0.09367594945961971,0.04999055890049573,0.04997779197715929,0.8317007873398996,1.2016155697109714,0.2536885010620586,0.1043496565053485,0.0362822205637522,,,1.00004764884125,0.04999055890049574,0.9999216122321065,0.0499777919771593
correlated__cv0.050__rho-0.25,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.05,,-0.25,0.0,200000,121.80001000000048,False,132.71006868289626,1.3457200098019255,1.2754768613090006,0.07891048066100674,0.049993464073035954,0.049874418532102664,0.8304517719382102,1.1996226746728094,0.2022726353673824,0.0677746775041449,0.0191475595454729,,,0.9999895474883914,0.04999346407303596,0.9998479926246628,0.04987441853210266
correlated__cv0.050__rho0.00,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.05,,0.0,0.0,200000,118.40001000000048,False,128.79032308261677,1.3059726105278493,1.2449864856670614,0.07057561152455184,0.049959318497954236,0.04986519922856851,0.8277111186239401,1.2039758780101684,0.1713008624850481,0.0508047761945732,0.0114998006421421,,,1.0000563106776585,0.04995931849795424,1.0001232303432146,0.049865199228568496
correlated__cv0.050__rho0.50,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.05,,0.5,0.0,200000,112.90002000000096,False,118.02210866388245,1.1967796777161432,1.1659757193050433,0.04991682308328718,0.04991213246096614,0.05005555329252344,0.8295576603497494,1.2041210543305667,0.1079225877545398,0.0206386739824146,0.0025482678665717,,,0.9999393949479041,0.04991213246096614,1.0001249137831334,0.05005555329252344
correlated__cv0.050__rho0.90,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.05,,0.9,0.0,200000,107.90001000000048,False,107.08781491875176,1.0859026505854144,1.071585119750401,0.022379073118365855,0.05002631181427808,0.050058489433286016,0.8298278288405894,1.2057440725235362,0.050005086987486,0.0034337165530572,7.630481229016176e-05,,,1.000022606563475,0.050026311814278086,0.9999771757834338,0.05005848943328601
correlated__cv0.100__rho-0.75,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.1,,-0.75,0.0,200000,174.20001000000047,False,198.59494272987382,2.0138124479133994,1.77656862895204,0.18823006386176336,0.10003034491009276,0.10001523794009337,0.6886815272410524,1.4437719726016112,0.5166092227240314,0.3541270501545044,0.2323805562158307,,,1.0000767226805494,0.10003034491009274,0.9999486577612647,0.10001523794009338
correlated__cv0.100__rho-0.25,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.1,,-0.25,0.0,200000,154.30002000000096,False,174.58456383999052,1.7703399847030323,1.6277047937161442,0.15914590621079663,0.10027380772521931,0.09995878147052352,0.6886858959897895,1.437637374094607,0.4513745758949805,0.282461870184228,0.1680090052953673,,,1.0001018998593998,0.10027380772521932,0.9994411272791366,0.09995878147052353
correlated__cv0.100__rho0.00,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.1,,0.0,0.0,200000,149.60001000000048,False,169.82130703260742,1.7220391280978182,1.54901985319583,0.14192480608495964,0.09995504513650069,0.100050741642486,0.6845212131361738,1.4449964845943926,0.4119313036175923,0.2384943439100294,0.1297031170242545,,,0.9995406030350307,0.0999550451365007,1.0001040155159482,0.10005074164248601
correlated__cv0.100__rho0.50,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.1,,0.5,0.0,200000,128.10001000000048,False,142.30825886115133,1.4430485449232917,1.354695955123872,0.09992803469570932,0.10003666451145257,0.10022270014135275,0.6884614363656595,1.4528090550955677,0.2744698358080562,0.1189176048172943,0.0455922504394659,,,0.9999242929714088,0.10003666451145257,0.9999846255034307,0.10022270014135276
correlated__cv0.100__rho0.90,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.1,,0.9,0.0,200000,111.60001000000048,False,116.0036315982303,1.1763117132012213,1.1450554183369057,0.044539887264905736,0.10012972793939476,0.10008277082400169,0.6867677668568454,1.4534333863989912,0.0916929199137788,0.0142122841509344,0.0013264798540872,,,0.9996764158477462,0.10012972793939476,0.9997859852693022,0.10008277082400169
correlated__cv0.150__rho-0.75,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.15,,-0.75,0.0,200000,238.10005000000237,False,276.86490657456784,2.8074934214645264,2.367460485450906,0.28438331232053576,0.1501290507722538,0.14978864393923302,0.568093261391881,1.742351648652123,0.6633332891826382,0.5295301924528801,0.4196611875653982,,,0.9999169268800749,0.1501290507722538,0.9999405496450694,0.14978864393923305
correlated__cv0.150__rho-0.25,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.15,,-0.25,0.0,200000,204.30002000000096,False,236.40550354356927,2.397222906319562,2.071455781421672,0.23964264406860442,0.1503675633661729,0.14997835337864426,0.5779901169375512,1.710449168191444,0.6059747116854245,0.4578713352785883,0.3408364596359594,,,1.0003321473174402,0.15036756336617293,0.9999260300092284,0.14997835337864426
correlated__cv0.150__rho0.00,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.15,,0.0,0.0,200000,184.50009000000423,False,214.738017901797,2.1775080852843827,1.9187532727431875,0.21355562754611385,0.1501493581600299,0.15031800772634898,0.5717681039101512,1.7368683095791777,0.5677039166367229,0.4103485447358965,0.2904491555874955,,,0.9995574496373504,0.15014935816002992,0.9994811327817451,0.15031800772634896
correlated__cv0.150__rho0.50,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.15,,0.5,0.0,200000,152.10004000000188,False,171.75125451593172,1.7416093760221274,1.5843674028462653,0.14982473313419095,0.14989558577110676,0.14989614404204699,0.5646170117375315,1.712855785530183,0.4325554923164484,0.2604276770469144,0.1501097650215464,,,0.9999779727860325,0.14989558577110673,1.0002641357529365,0.14989614404204699
correlated__cv0.150__rho0.90,correlated_eta_beta,joint_eta_beta,correlated_lognormal,0.15,,0.9,0.0,200000,118.40003000000144,False,126.00539192919022,1.2777325710471836,1.2269988697787164,0.06669151290732431,0.15018103522282455,0.15013608915865562,0.5769089411826936,1.7177445068639308,0.1601198618982476,0.0434716522267821,0.0095107810566086,,,0.9999557579800781,0.15018103522282455,0.9998852423787503,0.15013608915865562
