delta,age,hmd_conditional_survival_from90,baseline_conditional_survival_from90,component_conditional_survival_from90,pmax_mixture_vs_hmd,pmax_conservative_component_only
0.02,100.0,0.06977772164688054,0.0337514712587612,0.0587340183543807,1.4420567386596168,1.1880290775588682
0.02,105.0,0.005241222530942157,0.0014314950109747,0.0039767824927445,1.4967769052627649,1.3179555433329793
0.02,110.0,0.00015786814852235414,1.0603666747961445e-05,3.92187622558632e-05,5.1463914119639105,4.025322051022986
0.05,100.0,0.06977772164688054,0.0337514712587612,0.1184535740864473,0.42532887833268335,0.589072319556663
0.05,105.0,0.005241222530942157,0.0014314950109747,0.0154707777216455,0.27136197756540703,0.33878209778743373
0.05,110.0,0.00015786814852235414,1.0603666747961445e-05,0.0007116123179549,0.21007512749071627,0.22184572208650186
0.1,100.0,0.06977772164688054,0.0337514712587612,0.2759549061254644,0.1487437633076773,0.2528591450921902
0.1,105.0,0.005241222530942157,0.0014314950109747,0.0769749881014115,0.05043091554432949,0.06808994272317462
0.1,110.0,0.00015786814852235414,1.0603666747961445e-05,0.0112805722688299,0.013066982435708653,0.013994693244293121
0.15,100.0,0.06977772164688054,0.0337514712587612,0.4829167653685758,0.08020711052379623,0.14449223272176975
0.15,105.0,0.005241222530942157,0.0014314950109747,0.2284063176567156,0.016784802277006846,0.02294692451904714
0.15,110.0,0.00015786814852235414,1.0603666747961445e-05,0.0712967502740699,0.0020658218852197974,0.0022142404515703377
0.2,100.0,0.06977772164688054,0.0337514712587612,0.6742432346976861,0.05624779652854143,0.10349042905586903
0.2,105.0,0.005241222530942157,0.0014314950109747,0.4460023915994475,0.008569448763295944,0.011751557008800241
0.2,110.0,0.00015786814852235414,1.0603666747961445e-05,0.2302259181863783,0.0006396815176335088,0.0006857097140320784
