scenario_id,analysis,mode,distribution,cv_requested,favorable_cutoff,rho,delta,n,top_0_01pct_lifespan,top_0_01pct_censored,q9999_tau,q9999_tau_factor,q999_tau_factor,tau_cv,eta_cv_actual,beta_cv_actual,eta_q0001_factor,beta_q9999_factor,conditional_survival_100_from90,conditional_survival_105_from90,conditional_survival_110_from90,factor_mean,factor_cv,eta_factor_mean,eta_factor_cv,beta_factor_mean,beta_factor_cv
baseline,baseline,baseline,fixed,0.0,,,0.0,200000,105.8,False,98.61640439041227,1.0,1.0,0.0,0.0,1.2277888374267895e-16,1.0,1.0,0.035029081243256,0.001263257625602,0.0,,,,,,
truncated_eta__cv0.050__cut0.000,truncated_eta,eta_only,truncated_gaussian,0.05,0.0,,0.0,200000,104.3,False,98.61598467544793,0.9999957439640298,0.9999454170796358,0.028229910113758857,0.02898581144133213,1.2277888374267895e-16,1.000004256054084,1.0,0.0178922433345093,0.0005040068544932,0.0,1.0399105595857194,0.028985811441332134,,,,
truncated_eta__cv0.050__cut0.020,truncated_eta,eta_only,truncated_gaussian,0.05,0.02,,0.0,200000,105.80003000000144,False,100.62799737724977,1.020398157885313,1.0203117816124079,0.03211056019866201,0.032903100181898313,1.2277888374267895e-16,0.9800096092611669,1.0,0.0303218542532127,0.0017082734790542,0.0,1.0280059497875738,0.03290310018189832,,,,
truncated_eta__cv0.050__cut0.050,truncated_eta,eta_only,truncated_gaussian,0.05,0.05,,0.0,200000,108.1,False,103.80475266159384,1.0526114118969643,1.052439741094117,0.038395171481314785,0.03914680526258137,1.2277888374267895e-16,0.9500182011116994,1.0,0.0527602970562796,0.0046228637895553,0.0001491246383727,1.014434760743929,0.03914680526258137,,,,
truncated_eta__cv0.050__cut0.100,truncated_eta,eta_only,truncated_gaussian,0.05,0.1,,0.0,200000,111.6,False,109.56234303897374,1.1109951099537925,1.1100991168109913,0.0467137946371832,0.04693682074445116,1.2277888374267895e-16,0.9000939707480726,1.0,0.0890471081634643,0.0135570077050619,0.0011703891543938,1.0029137091679776,0.04693682074445117,,,,
truncated_eta__cv0.050__cut0.150,truncated_eta,eta_only,truncated_gaussian,0.05,0.15,,0.0,200000,113.40001000000048,False,115.8494735436525,1.1747485041638333,1.1651867231867605,0.04997827941817154,0.04971548380571487,1.2277888374267895e-16,0.8512460296443336,1.0,0.1104219814169026,0.0208533245956889,0.0025042713038593,1.000200537228506,0.04971548380571486,,,,
truncated_eta__cv0.050__cut0.200,truncated_eta,eta_only,truncated_gaussian,0.05,0.2,,0.0,200000,114.20002000000096,False,120.63738052023533,1.2232993208984204,1.1840904114260988,0.050522536987870965,0.050144805195099444,1.2277888374267895e-16,0.8174614200614458,1.0,0.1050265347268892,0.0206715950962897,0.0028504553776274,1.0001125858157411,0.05014480519509945,,,,
truncated_eta__cv0.100__cut0.000,truncated_eta,eta_only,truncated_gaussian,0.1,0.0,,0.0,200000,103.1,False,98.61497258547816,0.9999854810673441,0.9998710708068675,0.05331688836835629,0.05586662309500073,1.2277888374267895e-16,1.0000145191434584,1.0,0.0142482803799541,0.0007369800196528,0.0,1.0798844591851267,0.05586662309500073,,,,
truncated_eta__cv0.100__cut0.020,truncated_eta,eta_only,truncated_gaussian,0.1,0.02,,0.0,200000,104.7,False,100.62759129666537,1.020394040106056,1.0202860381550345,0.05725833210024631,0.05991776795542577,1.2277888374267895e-16,0.98001356406988,1.0,0.0265396597172298,0.0009585430146177,0.0,1.067269386567416,0.05991776795542574,,,,
truncated_eta__cv0.100__cut0.050,truncated_eta,eta_only,truncated_gaussian,0.1,0.05,,0.0,200000,108.20001000000047,False,103.80506872074425,1.0526146168318058,1.052431333244076,0.06372491884172357,0.06647245194822127,1.2277888374267895e-16,0.9500153085559774,1.0,0.0510463036152598,0.0047010858260182,0.0002912177060365,1.050824435590635,0.06647245194822128,,,,
