series,age,value,value_low,value_high,n_sim,dt,random_seed
survival,0.0,1.0,,,160000,0.05,20260604
survival,1.0,1.0,,,160000,0.05,20260604
survival,2.0,1.0,,,160000,0.05,20260604
survival,3.0,1.0,,,160000,0.05,20260604
survival,4.0,1.0,,,160000,0.05,20260604
survival,5.0,1.0,,,160000,0.05,20260604
survival,6.0,1.0,,,160000,0.05,20260604
survival,7.0,1.0,,,160000,0.05,20260604
survival,8.0,1.0,,,160000,0.05,20260604
survival,9.0,1.0,,,160000,0.05,20260604
survival,10.0,0.9999875,,,160000,0.05,20260604
survival,11.0,0.99998125,,,160000,0.05,20260604
survival,12.0,0.99998125,,,160000,0.05,20260604
survival,13.0,0.99998125,,,160000,0.05,20260604
survival,14.0,0.999975,,,160000,0.05,20260604
survival,15.0,0.999975,,,160000,0.05,20260604
survival,16.0,0.999975,,,160000,0.05,20260604
survival,17.0,0.999975,,,160000,0.05,20260604
survival,18.0,0.99996875,,,160000,0.05,20260604
survival,19.0,0.9999625,,,160000,0.05,20260604
survival,20.0,0.99995625,,,160000,0.05,20260604
survival,21.0,0.99993125,,,160000,0.05,20260604
survival,22.0,0.999925,,,160000,0.05,20260604
survival,23.0,0.99989375,,,160000,0.05,20260604
survival,24.0,0.999875,,,160000,0.05,20260604
survival,25.0,0.99985625,,,160000,0.05,20260604
survival,26.0,0.99983125,,,160000,0.05,20260604
survival,27.0,0.9998,,,160000,0.05,20260604
survival,28.0,0.99975,,,160000,0.05,20260604
survival,29.0,0.99969375,,,160000,0.05,20260604
survival,30.0,0.9996125,,,160000,0.05,20260604
survival,31.0,0.9995625,,,160000,0.05,20260604
survival,32.0,0.9994625,,,160000,0.05,20260604
survival,33.0,0.99935625,,,160000,0.05,20260604
survival,34.0,0.9992375,,,160000,0.05,20260604
survival,35.0,0.99910625,,,160000,0.05,20260604
survival,36.0,0.99894375,,,160000,0.05,20260604
survival,37.0,0.998725,,,160000,0.05,20260604
survival,38.0,0.99845625,,,160000,0.05,20260604
survival,39.0,0.9981875,,,160000,0.05,20260604
survival,40.0,0.99784375,,,160000,0.05,20260604
survival,41.0,0.99741875,,,160000,0.05,20260604
survival,42.0,0.99696875,,,160000,0.05,20260604
survival,43.0,0.99644375,,,160000,0.05,20260604
survival,44.0,0.99589375,,,160000,0.05,20260604
survival,45.0,0.9952375,,,160000,0.05,20260604
survival,46.0,0.99449375,,,160000,0.05,20260604
survival,47.0,0.99363125,,,160000,0.05,20260604
