model,parameter,parameter_label,variation_percent,max_lifespan,max_lifespan_smoothed
Gompertz,a_linear,Intercept $a$ (linear),0.0,100.35934757197086,100.41957307677592
Gompertz,a_linear,Intercept $a$ (linear),2.5,100.56087435453017,100.51905610090553
Gompertz,a_linear,Intercept $a$ (linear),5.0,100.5730875253245,100.6374837826475
Gompertz,a_linear,Intercept $a$ (linear),7.500000000000001,100.84148433671974,100.7998446365332
Gompertz,a_linear,Intercept $a$ (linear),10.0,100.91507004733701,100.98897778590053
Gompertz,a_linear,Intercept $a$ (linear),12.5,101.2526039281828,101.2810430236074
Gompertz,a_linear,Intercept $a$ (linear),15.000000000000002,101.62905781175166,101.71796518664448
Gompertz,a_linear,Intercept $a$ (linear),17.5,102.28047903598357,102.32450565336325
Gompertz,a_linear,Intercept $a$ (linear),20.0,103.14514909203224,102.86870445745501
Gompertz,a_power,Intercept $a$ (exponent),0.0,100.48972288039549,101.47653331774607
Gompertz,a_power,Intercept $a$ (exponent),2.5,103.17342693920105,104.26125049813017
Gompertz,a_power,Intercept $a$ (exponent),5.0,109.14179927561092,109.52680139912363
Gompertz,a_power,Intercept $a$ (exponent),7.500000000000001,115.93752796652358,116.28569499046982
Gompertz,a_power,Intercept $a$ (exponent),10.0,123.83320032558782,123.81034403902581
Gompertz,a_power,Intercept $a$ (exponent),12.5,131.49165865590152,131.60792227813442
Gompertz,a_power,Intercept $a$ (exponent),15.000000000000002,139.53505347553622,139.62469846122633
Gompertz,a_power,Intercept $a$ (exponent),17.5,147.8424221363731,147.64580435595119
Gompertz,a_power,Intercept $a$ (exponent),20.0,156.38657454892268,153.59233686424525
Gompertz,b,Slope $b$,0.0,100.80694500530703,101.44068793194639
Gompertz,b,Slope $b$,2.5,102.33026532097041,103.6941560766686
Gompertz,b,Slope $b$,5.0,107.91739940456284,109.16492641635625
Gompertz,b,Slope $b$,7.500000000000001,116.88895536588704,118.17634175856847
Gompertz,b,Slope $b$,10.0,129.41903357782388,130.82578988725643
Gompertz,b,Slope $b$,12.5,145.68174604096055,147.84931984962347
Gompertz,b,Slope $b$,15.000000000000002,167.49734781354033,172.06219897124856
