model,parameter,parameter_label,factor,x_norm,y_norm
Gompertz,intercept_a_linear,Intercept $a$ (linear),0.5,1.0853716044448467,1.0915644660939354
Gompertz,intercept_a_linear,Intercept $a$ (linear),0.6,1.0634874093217497,1.0719383780798888
Gompertz,intercept_a_linear,Intercept $a$ (linear),0.7,1.0451868436436882,1.0490753581188808
Gompertz,intercept_a_linear,Intercept $a$ (linear),0.8,1.0287739126242852,1.0335455783577625
Gompertz,intercept_a_linear,Intercept $a$ (linear),0.9,1.0132160513685875,1.0133318010237635
Gompertz,intercept_a_linear,Intercept $a$ (linear),1.0,1.0011070202514882,1.0060156618646026
Gompertz,intercept_a_linear,Intercept $a$ (linear),1.1,0.9892700577937726,0.9899076308060404
Gompertz,intercept_a_linear,Intercept $a$ (linear),1.2000000000000002,0.9788390313881432,0.9839899360844512
Gompertz,intercept_a_linear,Intercept $a$ (linear),1.3,0.9686508677831864,0.9730693376356114
Gompertz,intercept_a_linear,Intercept $a$ (linear),1.4,0.9602571492619266,0.9607083193488922
Gompertz,intercept_a_linear,Intercept $a$ (linear),1.5,0.95163885189203,0.9568824931094536
Gompertz,intercept_a_exp,Intercept $a$ (exponent),0.5,0.3473071167863468,0.3733563263419266
Gompertz,intercept_a_exp,Intercept $a$ (exponent),0.6,0.474933504649305,0.488557413386161
Gompertz,intercept_a_exp,Intercept $a$ (exponent),0.7,0.6053515048167896,0.6137068726976755
Gompertz,intercept_a_exp,Intercept $a$ (exponent),0.8,0.7366690166418468,0.7430780556904784
Gompertz,intercept_a_exp,Intercept $a$ (exponent),0.9,0.8686072917402222,0.8677872247074151
Gompertz,intercept_a_exp,Intercept $a$ (exponent),1.0,1.001448360149887,1.0013294040397245
Gompertz,intercept_a_exp,Intercept $a$ (exponent),1.1,1.1329484693449352,1.1286434847898037
Gompertz,intercept_a_exp,Intercept $a$ (exponent),1.2000000000000002,1.2655899673396351,1.271075862613313
Gompertz,intercept_a_exp,Intercept $a$ (exponent),1.3,1.396651310397886,1.4047169531573946
Gompertz,intercept_a_exp,Intercept $a$ (exponent),1.4,1.5291414385099202,1.5303813936836042
Gompertz,intercept_a_exp,Intercept $a$ (exponent),1.5,1.6620319312342209,1.67092270894778
Gompertz,slope_b,Slope $b$,0.5,1.8362739925192304,0.9253072853059208
Gompertz,slope_b,Slope $b$,0.6,1.5658931761513912,0.9348766775660202
Gompertz,slope_b,Slope $b$,0.7,1.3689525639430542,0.961202929924848
Gompertz,slope_b,Slope $b$,0.8,1.2176933959090182,0.9773351221187964
Gompertz,slope_b,Slope $b$,0.9,1.097531899025591,0.9895543987159584
Gompertz,slope_b,Slope $b$,1.0,1.001078204926024,1.003305717011154
Gompertz,slope_b,Slope $b$,1.1,0.9206381192792322,1.015681761491002
Gompertz,slope_b,Slope $b$,1.2000000000000002,0.8528754243026008,1.0265301626767718
Gompertz,slope_b,Slope $b$,1.3,0.7937366552432479,1.0339272706932738
Gompertz,slope_b,Slope $b$,1.4,0.7429444034687871,1.051373478388563
Gompertz,slope_b,Slope $b$,1.5,0.6994274679760499,1.0515236098024416
Gompertz,coupled_intercept_slope,Coupled $a+b$,0.5,0.5427420458363181,0.310280894150218
Gompertz,coupled_intercept_slope,Coupled $a+b$,0.6,0.6937763157317571,0.4361724930649818
Gompertz,coupled_intercept_slope,Coupled $a+b$,0.7,0.8053598897514306,0.5738587147328632
Gompertz,coupled_intercept_slope,Coupled $a+b$,0.8,0.8883871318248449,0.7182391236180597
Gompertz,coupled_intercept_slope,Coupled $a+b$,0.9,0.9510250236030672,0.8594661195275396
Gompertz,coupled_intercept_slope,Coupled $a+b$,1.0,1.0010574607068354,1.0094275133277355
Gompertz,coupled_intercept_slope,Coupled $a+b$,1.1,1.040013853476978,1.1481410832904009
Gompertz,coupled_intercept_slope,Coupled $a+b$,1.2000000000000002,1.0723293206515483,1.2848835375435317
Gompertz,coupled_intercept_slope,Coupled $a+b$,1.3,1.0985774863155635,1.4280940035492953
Gompertz,coupled_intercept_slope,Coupled $a+b$,1.4,1.1207228985170212,1.5746084736888075
Gompertz,coupled_intercept_slope,Coupled $a+b$,1.5,1.139125668270451,1.706426010415214
Gompertz,makeham_m,Makeham $m$,0.0,1.0006808961638674,1.0042532679518863
Gompertz,makeham_m,Makeham $m$,0.0001,1.0004612374624915,0.997635368762544
Gompertz,makeham_m,Makeham $m$,0.0001274274985703,0.9994930936419852,0.9886815828636812
Gompertz,makeham_m,Makeham $m$,0.0001623776739188,0.9986992450916684,0.9844122001091762
Gompertz,makeham_m,Makeham $m$,0.0002069138081114,0.9978566447387875,0.9729441101776104
Gompertz,makeham_m,Makeham $m$,0.000263665089873,0.9972804923174198,0.9706479915870116
Gompertz,makeham_m,Makeham $m$,0.0003359818286283,0.9957689843797926,0.9628635527612236
Gompertz,makeham_m,Makeham $m$,0.0004281332398719,0.9947554006092476,0.9514141093865556
Gompertz,makeham_m,Makeham $m$,0.0005455594781168,0.993689658352904,0.9337768036679872
Gompertz,makeham_m,Makeham $m$,0.0006951927961775,0.991491725270872,0.9176005613891172
Gompertz,makeham_m,Makeham $m$,0.00088586679041,0.9884477246012552,0.8930656427669527
Gompertz,makeham_m,Makeham $m$,0.0011288378916846,0.9829836209230144,0.8616551322689275
Gompertz,makeham_m,Makeham $m$,0.0014384498882876,0.9809875868412232,0.8261613925221889
Gompertz,makeham_m,Makeham $m$,0.0018329807108324,0.9741171325566144,0.7784694916689229
Gompertz,makeham_m,Makeham $m$,0.0023357214690901,0.9654562291747856,0.7176849320138631
Gompertz,makeham_m,Makeham $m$,0.0029763514416313,0.9556170799614851,0.6478729265672378
Gompertz,makeham_m,Makeham $m$,0.0037926901907322,0.9396180254452718,0.5592496525314511
Gompertz,makeham_m,Makeham $m$,0.0048329302385717,0.9189383968371514,0.4611705920156086
Gompertz,makeham_m,Makeham $m$,0.0061584821106602,0.8899345097397648,0.3673853996057575
Gompertz,makeham_m,Makeham $m$,0.0078475997035146,0.8389467613287815,0.2912211909275521
Gompertz,makeham_m,Makeham $m$,0.01,0.7693406935590222,0.2373081938513784
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,0.6,1.2923976608187135,1.0308039174240815
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,0.7,1.2017543859649122,1.0252079942123342
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,0.7999999999999999,1.1239766081871343,1.0164925063113153
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,0.8999999999999999,1.0584795321637428,1.015526739554199
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,1.0,1.0,1.0
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,1.1,0.9497076023391812,0.9916505248399652
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,1.1999999999999995,0.9029239766081872,0.983117882425361
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,1.2999999999999998,0.8625730994152047,0.9913600552306688
Fedichev-Gruber,beta_prime,$\beta'$ resilience decay,1.4,0.824561403508772,0.9738798378640618
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,0.6,0.2,0.2290657439446366
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,0.7,0.3678362573099415,0.352909568607509
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,0.7999999999999999,0.5713450292397662,0.5434344962021911
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,0.8999999999999999,0.7824561403508773,0.7662514273850303
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,1.0,1.001169590643275,1.0042034378876488
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,1.1,1.2216374269005847,1.2557825723729608
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,1.1999999999999995,1.446198830409357,1.5293668142667622
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,1.2999999999999998,1.6754385964912282,1.8123208347666533
Fedichev-Gruber,epsilon_0_init,$\epsilon_0$ initial resilience,1.4,1.9064327485380117,2.110465684836393
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,0.6,1.563157894736842,0.9988518593781742
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,0.7,1.3660818713450291,1.0048291098115656
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,0.7999999999999999,1.2146198830409356,1.0025914745300488
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,0.8999999999999999,1.0970760233918129,0.9948826403909308
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,1.0,0.9988304093567252,1.0049023267388326
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,1.1,0.9198830409356724,1.0048887344874833
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,1.1999999999999995,0.853216374269006,0.997931519021346
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,1.2999999999999998,0.795906432748538,1.0055153787777324
Fedichev-Gruber,gamma,$\gamma$ damage accumulation,1.4,0.7456140350877193,0.9991831806236232
Fedichev-Gruber,beta,$\beta$ damage coupling,0.6,1.1555555555555557,0.9683263009845284
Fedichev-Gruber,beta,$\beta$ damage coupling,0.7,1.1111111111111112,0.9755378720895952
Fedichev-Gruber,beta,$\beta$ damage coupling,0.7999999999999999,1.0707602339181286,0.9845045484080568
Fedichev-Gruber,beta,$\beta$ damage coupling,0.8999999999999999,1.0345029239766084,0.992523095177557
Fedichev-Gruber,beta,$\beta$ damage coupling,1.0,0.9994152046783626,0.999415204678362
Fedichev-Gruber,beta,$\beta$ damage coupling,1.1,0.969590643274854,1.0156155155822044
Fedichev-Gruber,beta,$\beta$ damage coupling,1.1999999999999995,0.9391812865497076,1.0159117838168403
Fedichev-Gruber,beta,$\beta$ damage coupling,1.2999999999999998,0.9116959064327486,1.0194977872609443
