parameter,parameter_label,allowed_slope_distortion_fraction,allowed_parameter_cv,tau_ref,scale
eta,$\eta$,0.01,0.00907218423253029,98.61640439041227,9.0
eta,$\eta$,0.011967871485943776,0.009924766993955622,98.61640439041227,9.0
eta,$\eta$,0.01393574297188755,0.01070969061269515,98.61640439041227,9.0
eta,$\eta$,0.015903614457831325,0.011440889220466665,98.61640439041227,9.0
eta,$\eta$,0.0178714859437751,0.01212808390844696,98.61640439041227,9.0
eta,$\eta$,0.019839357429718874,0.012778375969804212,98.61640439041227,9.0
eta,$\eta$,0.02180722891566265,0.013397140200841727,98.61640439041227,9.0
eta,$\eta$,0.02377510040160643,0.013988560994482214,98.61640439041227,9.0
eta,$\eta$,0.025742971887550203,0.014555971689711714,98.61640439041227,9.0
eta,$\eta$,0.027710843373493978,0.015102078829321103,98.61640439041227,9.0
eta,$\eta$,0.029678714859437752,0.015629115717223682,98.61640439041227,9.0
eta,$\eta$,0.031646586345381526,0.016138950747731654,98.61640439041227,9.0
eta,$\eta$,0.0336144578313253,0.01663316579527324,98.61640439041227,9.0
eta,$\eta$,0.035582329317269075,0.017113114196673482,98.61640439041227,9.0
eta,$\eta$,0.037550200803212856,0.017579964466509234,98.61640439041227,9.0
eta,$\eta$,0.03951807228915663,0.01803473381503223,98.61640439041227,9.0
eta,$\eta$,0.041485943775100405,0.018478314233565968,98.61640439041227,9.0
eta,$\eta$,0.04345381526104418,0.018911493067702147,98.61640439041227,9.0
eta,$\eta$,0.04542168674698795,0.019334969438431653,98.61640439041227,9.0
eta,$\eta$,0.04738955823293173,0.01974936749165466,98.61640439041227,9.0
eta,$\eta$,0.0493574297188755,0.020155247194112144,98.61640439041227,9.0
eta,$\eta$,0.05132530120481928,0.020553113209222228,98.61640439041227,9.0
eta,$\eta$,0.05329317269076306,0.020943422254408303,98.61640439041227,9.0
eta,$\eta$,0.05526104417670683,0.021326589245863593,98.61640439041227,9.0
eta,$\eta$,0.057228915662650606,0.021702992466411733,98.61640439041227,9.0
eta,$\eta$,0.05919678714859438,0.022072977939835488,98.61640439041227,9.0
eta,$\eta$,0.061164658634538155,0.022436863155704357,98.61640439041227,9.0
eta,$\eta$,0.06313253012048192,0.022794940258819354,98.61640439041227,9.0
eta,$\eta$,0.0651004016064257,0.02314747879442777,98.61640439041227,9.0
eta,$\eta$,0.06706827309236948,0.02349472808256829,98.61640439041227,9.0
eta,$\eta$,0.06903614457831325,0.023836919281005307,98.61640439041227,9.0
eta,$\eta$,0.07100401606425703,0.02417426718526339,98.61640439041227,9.0
eta,$\eta$,0.0729718875502008,0.024506971805587124,98.61640439041227,9.0
eta,$\eta$,0.07493975903614458,0.024835219753712303,98.61640439041227,9.0
eta,$\eta$,0.07690763052208835,0.025159185466753917,98.61640439041227,9.0
eta,$\eta$,0.07887550200803213,0.025479032291000795,98.61640439041227,9.0
eta,$\eta$,0.0808433734939759,0.025794913444731712,98.61640439041227,9.0
eta,$\eta$,0.08281124497991968,0.026106972876159745,98.61640439041227,9.0
eta,$\eta$,0.08477911646586345,0.026415346030137107,98.61640439041227,9.0
eta,$\eta$,0.08674698795180723,0.026720160535206747,98.61640439041227,9.0
eta,$\eta$,0.088714859437751,0.027021536820887142,98.61640439041227,9.0
eta,$\eta$,0.09068273092369478,0.027319588673658676,98.61640439041227,9.0
eta,$\eta$,0.09265060240963856,0.02761442373893106,98.61640439041227,9.0
eta,$\eta$,0.09461847389558233,0.02790614397527145,98.61640439041227,9.0
eta,$\eta$,0.0965863453815261,0.028194846066327772,98.61640439041227,9.0
eta,$\eta$,0.09855421686746987,0.028480621795165542,98.61640439041227,9.0
eta,$\eta$,0.10052208835341366,0.0287635583851268,98.61640439041227,9.0
eta,$\eta$,0.10248995983935742,0.029043738810799438,98.61640439041227,9.0
eta,$\eta$,0.1044578313253012,0.02932124208223924,98.61640439041227,9.0
eta,$\eta$,0.10642570281124498,0.029596143505203804,98.61640439041227,9.0
eta,$\eta$,0.10839357429718875,0.029868514919827487,98.61640439041227,9.0
eta,$\eta$,0.11036144578313253,0.030138424919880877,98.61640439041227,9.0
eta,$\eta$,0.1123293172690763,0.030405939054510986,98.61640439041227,9.0
eta,$\eta$,0.11429718875502008,0.030671120014143207,98.61640439041227,9.0
eta,$\eta$,0.11626506024096385,0.030934027802038903,98.61640439041227,9.0
eta,$\eta$,0.11823293172690763,0.031194719892838525,98.61640439041227,9.0
eta,$\eta$,0.12020080321285141,0.03145325137927708,98.61640439041227,9.0
eta,$\eta$,0.12216867469879518,0.031709675108132766,98.61640439041227,9.0
eta,$\eta$,0.12413654618473896,0.03196404180635914,98.61640439041227,9.0
eta,$\eta$,0.12610441767068273,0.03221640019825329,98.61640439041227,9.0
eta,$\eta$,0.12807228915662652,0.03246679711442683,98.61640439041227,9.0
eta,$\eta$,0.1300401606425703,0.03271527759326969,98.61640439041227,9.0
eta,$\eta$,0.13200803212851406,0.032961884975529446,98.61640439041227,9.0
eta,$\eta$,0.13397590361445783,0.03320666099256855,98.61640439041227,9.0
eta,$\eta$,0.13594377510040162,0.033449645848808524,98.61640439041227,9.0
eta,$\eta$,0.1379116465863454,0.03369087829882225,98.61640439041227,9.0
eta,$\eta$,0.13987951807228918,0.03393039571949305,98.61640439041227,9.0
eta,$\eta$,0.14184738955823295,0.03416823417762077,98.61640439041227,9.0
eta,$\eta$,0.14381526104417672,0.034404428493321496,98.61640439041227,9.0
eta,$\eta$,0.14578313253012049,0.03463901229953607,98.61640439041227,9.0
eta,$\eta$,0.14775100401606428,0.03487201809793564,98.61640439041227,9.0
eta,$\eta$,0.14971887550200805,0.03510347731148712,98.61640439041227,9.0
eta,$\eta$,0.15168674698795181,0.035333420333919424,98.61640439041227,9.0
eta,$\eta$,0.1536546184738956,0.03556187657631091,98.61640439041227,9.0
eta,$\eta$,0.15562248995983938,0.03578887451100007,98.61640439041227,9.0
