parameter,age,mortality_rate
eta,20.5,8.270872196032029e-06
eta,21.5,8.798971377836655e-06
eta,22.5,9.729727722411161e-06
eta,23.5,1.113322444946526e-05
eta,24.5,1.3055234985870802e-05
eta,25.5,1.5571631096579662e-05
eta,26.5,1.884477838294085e-05
eta,27.5,2.313021035656941e-05
eta,28.5,2.8715138122659993e-05
eta,29.5,3.584055458632461e-05
eta,30.5,4.4685191578200295e-05
eta,31.5,5.545051962000732e-05
eta,32.5,6.852896756383391e-05
eta,33.5,8.466028220124282e-05
eta,34.5,0.0001049611928133771
eta,35.5,0.000130794397728102
eta,36.5,0.00016360762613629187
eta,37.5,0.00020488367527972946
eta,38.5,0.00025609256493954146
eta,39.5,0.00031856931432637785
eta,40.5,0.0003935521709749059
eta,41.5,0.00048273801778634355
eta,42.5,0.0005890693428400806
eta,43.5,0.000717132148315889
eta,44.5,0.0008728642997958807
eta,45.5,0.0010628667657927161
eta,46.5,0.001293466007019346
eta,47.5,0.001569630628579142
eta,48.5,0.001894434001818195
eta,49.5,0.002270046668077722
eta,50.5,0.0027001921338199422
eta,51.5,0.0031920656321201583
eta,52.5,0.0037555964282910666
eta,53.5,0.004400324853908398
eta,54.5,0.005132352653552231
eta,55.5,0.005953424583075343
eta,56.5,0.006862367256525061
eta,57.5,0.007857404900733063
eta,58.5,0.008937283301055862
eta,59.5,0.010100391787961953
eta,60.5,0.011343899246168614
eta,61.5,0.01266536098573985
eta,62.5,0.014064875486126194
eta,63.5,0.015543303474220166
eta,64.5,0.017096585659671006
eta,65.5,0.01871295217293808
eta,66.5,0.02037713017793512
eta,67.5,0.022076742875703555
eta,68.5,0.023803037507394355
eta,69.5,0.025546004828426803
eta,70.5,0.02729111916845137
eta,71.5,0.02902124028110137
eta,72.5,0.030720413818722068
eta,73.5,0.032377636284943695
eta,74.5,0.03399127324859538
eta,75.5,0.03557082612418705
eta,76.5,0.037130109038314596
eta,77.5,0.038674074613224474
eta,78.5,0.040190810357796904
eta,79.5,0.041656831673875294
eta,80.5,0.04305059266707209
eta,81.5,0.04436325233627875
eta,82.5,0.045601045062791154
eta,83.5,0.04678012544018488
eta,84.5,0.04791650118612722
eta,85.5,0.049016728083904934
eta,86.5,0.05007679101880183
eta,87.5,0.05109037154218159
eta,88.5,0.05205579927324251
eta,89.5,0.05297378854204578
eta,90.5,0.053842913956800596
eta,91.5,0.054662590936835724
eta,92.5,0.05543761435060017
eta,93.5,0.056173280909255816
eta,94.5,0.05686441646161076
eta,95.5,0.057492293280509366
eta,96.5,0.05803478823004663
eta,97.5,0.05848237730142386
eta,98.5,0.05884873540171233
eta,99.5,0.0591673824055448
eta,100.5,0.059472499202993315
eta,101.5,0.05977561965309864
eta,102.5,0.06005715460037166
eta,103.5,0.06027919427723516
eta,104.5,0.060407210672890885
eta,105.5,0.06043075150445304
eta,106.5,0.06037917842451386
eta,107.5,0.06032075263871463
eta,108.5,0.060328355993072263
eta,109.5,0.06042531403101077
eta,110.5,0.06056338073236129
eta,111.5,0.06066842170984254
eta,112.5,0.06071197848132317
eta,113.5,0.06072913756798076
eta,114.5,0.0607663398763804
eta,115.5,0.06082899253980095
eta,116.5,0.06089286911130197
eta,117.5,0.060957378892451244
eta,118.5,0.06106562041216746
eta,119.5,0.06126118889371877
eta,120.5,0.06153405869004213
beta,20.5,0.00039312132279507487
beta,21.5,0.0004165577766157042
beta,22.5,0.0004525800916800987
beta,23.5,0.000500665868266305
beta,24.5,0.0005589674500020352
beta,25.5,0.0006259483999455668
beta,26.5,0.0007009993451826934
beta,27.5,0.0007840215442539273
beta,28.5,0.0008751290417709324
beta,29.5,0.0009748309675217588
beta,30.5,0.0010842048290756368
beta,31.5,0.001204970025589184
beta,32.5,0.0013396565250658322
beta,33.5,0.001491269496055833
beta,34.5,0.0016617759770773944
beta,35.5,0.0018504273144104581
beta,36.5,0.002053985946662456
beta,37.5,0.0022691568741676276
beta,38.5,0.0024950255959899506
