parameter,lifespan_midpoint,mean_parameter
eta,45.0,0.7948366775850172
eta,55.0,0.781283507372773
eta,65.0,0.7366254481405856
eta,75.0,0.6759653512550436
eta,85.0,0.6131619369391887
eta,95.0,0.5546467435021002
eta,105.0,0.5035277375482018
eta,115.0,0.4590883300228478
eta,125.0,0.42041551775367414
eta,135.0,0.3869710138873531
eta,145.0,0.35828143443564553
eta,155.0,0.33225617556007864
beta,45.0,44.96815128466308
beta,55.0,49.76265414943071
beta,65.0,54.95049113839743
beta,75.0,60.207310733409955
beta,85.0,65.60679598649732
beta,95.0,71.08303353635311
beta,105.0,76.63732137621481
beta,115.0,82.29430293345636
beta,125.0,88.0771081330902
beta,135.0,93.70582947708617
beta,145.0,99.463469920855
beta,155.0,105.40888466245484
