candidate_id,label,curve,age,value,hmd_reference,ratio_to_hmd,top_0_01pct_lifespan,top_0_01pct_censored
HMD,Sweden 2019 HMD,hazard,65.0,0.008,,,,
HMD,Sweden 2019 HMD,hazard,66.0,0.00936,,,,
HMD,Sweden 2019 HMD,hazard,67.0,0.00929,,,,
HMD,Sweden 2019 HMD,hazard,68.0,0.0114,,,,
HMD,Sweden 2019 HMD,hazard,69.0,0.01177,,,,
HMD,Sweden 2019 HMD,hazard,70.0,0.01313,,,,
HMD,Sweden 2019 HMD,hazard,71.0,0.01401,,,,
HMD,Sweden 2019 HMD,hazard,72.0,0.01675,,,,
HMD,Sweden 2019 HMD,hazard,73.0,0.0181,,,,
HMD,Sweden 2019 HMD,hazard,74.0,0.02037,,,,
HMD,Sweden 2019 HMD,hazard,75.0,0.02293,,,,
HMD,Sweden 2019 HMD,hazard,76.0,0.02501,,,,
HMD,Sweden 2019 HMD,hazard,77.0,0.02782,,,,
HMD,Sweden 2019 HMD,hazard,78.0,0.03134,,,,
HMD,Sweden 2019 HMD,hazard,79.0,0.03612,,,,
HMD,Sweden 2019 HMD,hazard,80.0,0.04089,,,,
HMD,Sweden 2019 HMD,hazard,81.0,0.04512,,,,
HMD,Sweden 2019 HMD,hazard,82.0,0.05388,,,,
HMD,Sweden 2019 HMD,hazard,83.0,0.06085,,,,
HMD,Sweden 2019 HMD,hazard,84.0,0.06798,,,,
HMD,Sweden 2019 HMD,hazard,85.0,0.0784,,,,
HMD,Sweden 2019 HMD,hazard,86.0,0.09248,,,,
HMD,Sweden 2019 HMD,hazard,87.0,0.10344,,,,
HMD,Sweden 2019 HMD,hazard,88.0,0.1168,,,,
HMD,Sweden 2019 HMD,hazard,89.0,0.13126,,,,
HMD,Sweden 2019 HMD,hazard,90.0,0.15457,,,,
HMD,Sweden 2019 HMD,hazard,91.0,0.16941,,,,
HMD,Sweden 2019 HMD,hazard,92.0,0.19681,,,,
HMD,Sweden 2019 HMD,hazard,93.0,0.21975,,,,
HMD,Sweden 2019 HMD,hazard,94.0,0.241,,,,
HMD,Sweden 2019 HMD,hazard,95.0,0.26987,,,,
HMD,Sweden 2019 HMD,hazard,96.0,0.29935,,,,
HMD,Sweden 2019 HMD,hazard,97.0,0.33062,,,,
HMD,Sweden 2019 HMD,hazard,98.0,0.36349,,,,
HMD,Sweden 2019 HMD,hazard,99.0,0.39775,,,,
HMD,Sweden 2019 HMD,hazard,100.0,0.43311,,,,
HMD,Sweden 2019 HMD,hazard,101.0,0.46923,,,,
HMD,Sweden 2019 HMD,hazard,102.0,0.50576,,,,
HMD,Sweden 2019 HMD,hazard,103.0,0.54232,,,,
HMD,Sweden 2019 HMD,hazard,104.0,0.57851,,,,
HMD,Sweden 2019 HMD,hazard,105.0,0.61397,,,,
HMD,Sweden 2019 HMD,hazard,106.0,0.64834,,,,
HMD,Sweden 2019 HMD,hazard,107.0,0.68131,,,,
HMD,Sweden 2019 HMD,hazard,108.0,0.71264,,,,
HMD,Sweden 2019 HMD,hazard,109.0,0.74212,,,,
HMD,Sweden 2019 HMD,hazard,110.0,0.76961,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,90.0,1.0,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,91.0,0.8565294266228847,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,92.0,0.7227519575650417,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,93.0,0.5932685021470069,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,94.0,0.47578302601667083,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,95.0,0.3734528921444809,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,96.0,0.284667845415509,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,97.0,0.21053296286941148,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,98.0,0.15079565546855264,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,99.0,0.10441399343268502,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,100.0,0.06977772164688054,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,101.0,0.04492927506946198,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,102.0,0.027847941399343268,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,103.0,0.016607729224551653,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,104.0,0.009535236170750189,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,105.0,0.005241222530942157,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,106.0,0.0027784794139934328,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,107.0,0.001420813336701187,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,108.0,0.0006946198534983582,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,109.0,0.0003473099267491791,,,,
HMD,Sweden 2019 HMD,conditional_survival_from90,110.0,0.00015786814852235414,,,,
cv010_stress_best,10% CV stress best,hazard,65.0,0.009409824279461208,,,,
cv010_stress_best,10% CV stress best,hazard,66.0,0.00895312400076741,,,,
cv010_stress_best,10% CV stress best,hazard,67.0,0.011728122747178257,,,,
cv010_stress_best,10% CV stress best,hazard,68.0,0.011982701336615867,,,,
cv010_stress_best,10% CV stress best,hazard,69.0,0.015149504600141542,,,,
cv010_stress_best,10% CV stress best,hazard,70.0,0.019699442787189735,,,,
cv010_stress_best,10% CV stress best,hazard,71.0,0.022638213764493625,,,,
cv010_stress_best,10% CV stress best,hazard,72.0,0.029335532516493873,,,,
cv010_stress_best,10% CV stress best,hazard,73.0,0.030918085261166885,,,,
cv010_stress_best,10% CV stress best,hazard,74.0,0.034593402185901935,,,,
cv010_stress_best,10% CV stress best,hazard,75.0,0.04103967168262654,,,,
cv010_stress_best,10% CV stress best,hazard,76.0,0.04601456674154244,,,,
cv010_stress_best,10% CV stress best,hazard,77.0,0.05279347592817798,,,,
cv010_stress_best,10% CV stress best,hazard,78.0,0.05675626589175444,,,,
cv010_stress_best,10% CV stress best,hazard,79.0,0.06368709692983161,,,,
cv010_stress_best,10% CV stress best,hazard,80.0,0.07080469274897927,,,,
cv010_stress_best,10% CV stress best,hazard,81.0,0.0746642892962612,,,,
cv010_stress_best,10% CV stress best,hazard,82.0,0.08730894866314473,,,,
cv010_stress_best,10% CV stress best,hazard,83.0,0.08862043119791897,,,,
cv010_stress_best,10% CV stress best,hazard,84.0,0.09213908151884002,,,,
cv010_stress_best,10% CV stress best,hazard,85.0,0.10383686611215455,,,,
cv010_stress_best,10% CV stress best,hazard,86.0,0.10244239492895123,,,,
cv010_stress_best,10% CV stress best,hazard,87.0,0.12536748555401614,,,,
cv010_stress_best,10% CV stress best,hazard,88.0,0.11847435603454863,,,,
cv010_stress_best,10% CV stress best,hazard,89.0,0.13735664762569222,,,,
cv010_stress_best,10% CV stress best,hazard,90.0,0.13990941117262204,,,,
cv010_stress_best,10% CV stress best,hazard,91.0,0.14953162273811602,,,,
cv010_stress_best,10% CV stress best,hazard,92.0,0.17153359199509902,,,,
cv010_stress_best,10% CV stress best,hazard,93.0,0.1575182833721771,,,,
cv010_stress_best,10% CV stress best,hazard,94.0,0.17647058823529413,,,,
cv010_stress_best,10% CV stress best,hazard,95.0,0.17092069279854147,,,,
cv010_stress_best,10% CV stress best,hazard,96.0,0.20239570425444028,,,,
cv010_stress_best,10% CV stress best,hazard,97.0,0.15835972662110354,,,,
cv010_stress_best,10% CV stress best,hazard,98.0,0.2122069523039612,,,,
cv010_stress_best,10% CV stress best,hazard,99.0,0.19303083479568814,,,,
cv010_stress_best,10% CV stress best,hazard,100.0,0.1996257018091079,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,90.0,1.0,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,91.0,0.8641282155982034,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,92.0,0.736984483462638,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,93.0,0.6251020824826459,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,94.0,0.5284810126582277,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,95.0,0.44028174765210293,,,,
cv010_stress_best,10% CV stress best,conditional_survival_from90,96.0,0.36320947325438957,,,,
