,name,parsed,class,pool,pool2,direction,missingness,cor_age,basic_fi,intermediate_fi,notes
AUQ060,AUQ060,Hear a whisper from across a quiet room?,Audiometry,Hear a whisper from across a quiet room?,other_fi,-1,0.922350146,0.27569252,F,T,
BPQ020,BPQ020,high blood pressure,Blood Pressure & Cholesterol,high blood pressure,other_fi,1,0.364260261,0.464058786,T,T,
BPQ080,BPQ080,high cholesterol,Blood Pressure & Cholesterol,high cholesterol,other_fi,1,0.495633069,0.360408472,T,T,
CDQ008,CDQ008,Severe pain in chest more than half hour,Cardiovascular Health,Severe pain in chest more than half hour,other_fi,1,0.915696885,-0.003453447,F,F,
CDQ010,CDQ010,Shortness of breath on stairs/inclines,Cardiovascular Health,Shortness of breath on stairs/inclines,other_fi,1,0.669557251,0.102165088,T,T,
CERAD,CERAD,Verbal memory (CERAD),Cognitive Functioning,cognition,cognition,1,0.9562,0.2427,F,T,
CERADDR,CERADDR,Delayed recall (CERAD),Cognitive Functioning,cognition,cognition,1,0.9563,0.2241,F,T,
AFT,AFT,Semantic fluency (AFT),Cognitive Functioning,cognition,cognition,1,0.9566,0.1622,F,T,
DSST,DSST,Processing speed (DSST),Cognitive Functioning,cognition,cognition,1,0.9566,0.1876,F,T,
DIQ050,DIQ050,Taking insulin now,Diabetes,Taking insulin now,other_fi,1,0.251022832,0.189044371,T,T,
DLQ010,DLQ010,Have serious difficulty hearing?,Disability,Have serious difficulty hearing?,other_fi,1,0.780822769,0.276040814,F,F,
DLQ020,DLQ020,Have serious difficulty seeing?,Disability,Have serious difficulty seeing?,other_fi,1,0.780822769,0.161678663,F,F,
DLQ040,DLQ040,Have serious difficulty concentrating?,Disability,Have serious difficulty concentrating?,other_fi,1,0.802886444,0.029253387,F,F,
DLQ050,DLQ050,Have serious difficulty walking?,Disability,Have serious difficulty walking?,other_fi,1,0.802801047,0.35051603,F,F,
DLQ060,DLQ060,Have difficulty dressing or bathing?,Disability,Have difficulty dressing or bathing?,other_fi,1,0.802762229,0.193357491,F,F,
DLQ080,DLQ080,Have difficulty doing errands alone?,Disability,Have difficulty doing errands alone?,other_fi,1,0.849257428,0.182069641,F,F,
DLQ110,DLQ110,Take medication for these feelings?,Disability,Take medication for these feelings?,other_fi,1,0.909198891,0.088562235,F,F,
DLQ150,DLQ150,Take medication for depression?,Disability,Take medication for depression?,other_fi,1,0.909237709,0.092010872,F,F,
HUQ071,HUQ071,Overnite hospital patient in last year,Hospital Utilization & Access to Care,Overnite hospital patient in last year,other_fi,1,0.255937085,0.152551844,T,T,
KIQ020,KIQ020,weak/failing kidneys,Kidney Conditions,weak/failing kidneys,other_fi,1,0.441219169,0.117492643,T,T,
KIQ026,KIQ026,kidney stones,Kidney Conditions - Urology,kidney stones,other_fi,1,0.65928623,0.106363127,T,T,
KIQ042,KIQ042,Leak urine during physical activities,Kidney Conditions - Urology,Leak urine during physical activities,other_fi,1,0.556645887,0.260960967,T,T,
MCQ010,MCQ010,asthma,Medical Conditions,asthma,other_fi,1,0.042046751,-0.025671947,F,F,
MCQ053,MCQ053,Taking treatment for anemia/past 3 mos,Medical Conditions,Taking treatment for anemia/past 3 mos,other_fi,1,0.041782795,0.086471632,T,T,
MCQ080,MCQ080,overweight,Medical Conditions,overweight,other_fi,1,0.470867719,0.209873634,T,T,
MCQ160A,MCQ160A,arthritis,Medical Conditions,arthritis,other_fi,1,0.441327858,0.42647744,T,T,
MCQ160B,MCQ160B,congestive heart failure,Medical Conditions,heart,heart,1,0.441824717,0.188477169,T,T,
MCQ160C,MCQ160C,coronary heart disease,Medical Conditions,heart,heart,1,0.442655405,0.221235651,T,T,
MCQ160D,MCQ160D,angina/angina pectoris,Medical Conditions,heart,heart,1,0.442236179,0.155913081,T,T,
MCQ160E,MCQ160E,heart attack,Medical Conditions,heart,heart,1,0.441126008,0.20566691,T,T,
MCQ160F,MCQ160F,stroke,Medical Conditions,stroke,other_fi,1,0.441025084,0.192755842,T,T,
MCQ160G,MCQ160G,emphysema,Medical Conditions,lungs,lungs,1,0.573011203,0.130312433,T,T,
MCQ160K,MCQ160K,chronic bronchitis,Medical Conditions,lungs,lungs,1,0.573267396,0.070325365,T,T,
MCQ160L,MCQ160L,any liver condition,Medical Conditions,any liver condition,other_fi,1,0.44124246,0.065054776,T,T,
MCQ160M,MCQ160M,thyroid problem,Medical Conditions,thyroid problem,other_fi,1,0.521151472,0.186582387,T,T,
MCQ160N,MCQ160N,gout,Medical Conditions,gout,other_fi,1,0.730383746,0.179256619,T,T,
MCQ160O,MCQ160O,copd,Medical Conditions,lungs,lungs,1,0.867734397,0.171390178,T,T,
MCQ220,MCQ220,cancer or malignancy,Medical Conditions,cancer or malignancy,other_fi,1,0.440652439,0.294797574,T,T,
MCQ550,MCQ550,gallstones,Medical Conditions,gallstones,other_fi,1,0.824919066,0.150964202,T,T,
OHQ850,OHQ850,treatment for gum disease,Oral Health,treatment for gum disease,other_fi,1,0.756290321,0.017148231,F,F,
OHQ860,OHQ860,Ever been told of bone loss around teeth,Oral Health,Ever been told of bone loss around teeth,other_fi,1,0.757058901,0.118892315,T,T,
OSQ010A,OSQ010A,Broken or fractured a hip,Osteoporosis,Broken or fractured a hip,other_fi,1,0.656118749,0.097670839,T,T,
OSQ060,OSQ060,osteoporosis/brittle bones,Osteoporosis,osteoporosis/brittle bones,other_fi,1,0.657027071,0.238150619,T,T,
OSQ130,OSQ130,Ever taken prednisone or cortisone daily,Osteoporosis,Ever taken prednisone or cortisone daily,other_fi,1,0.776591698,0.079598765,F,F,
PAQ605,PAQ605,Vigorous work activity,Physical Activity,Vigorous work activity,other_fi,-1,0.603863084,0.074033114,F,F,
PAQ620,PAQ620,Moderate work activity,Physical Activity,Moderate work activity,other_fi,-1,0.603901901,0.088844518,F,F,
PAQ635,PAQ635,Walk or bicycle,Physical Activity,Walk or bicycle,other_fi,-1,0.603762159,0.193573494,F,F,
PAQ650,PAQ650,Vigorous recreational activities,Physical Activity,Vigorous recreational activities,other_fi,-1,0.60378545,0.377401085,F,F,
PAQ665,PAQ665,Moderate recreational activities,Physical Activity,Moderate recreational activities,other_fi,-1,0.60383203,0.116795418,F,F,
PFQ061A_GRADE01,PFQ061A_GRADE01,some diff managing money difficulty,Physical Functioning,adls,adls,1,0.618093456,0.138042142,T,T,
PFQ061A_GRADE02,PFQ061A_GRADE02,much diff managing money difficulty,Physical Functioning,adls,adls,1,0.618093456,0.088171478,F,T,
PFQ061A_GRADE03,PFQ061A_GRADE03,unable to managing money difficulty,Physical Functioning,adls,adls,1,0.618093456,0.08468784,F,T,
PFQ061B_GRADE01,PFQ061B_GRADE01,some diff walking for a quarter mile difficulty,Physical Functioning,adls,adls,1,0.64603405,0.300508373,T,T,
PFQ061B_GRADE02,PFQ061B_GRADE02,much diff walking for a quarter mile difficulty,Physical Functioning,adls,adls,1,0.64603405,0.170364502,F,T,
PFQ061B_GRADE03,PFQ061B_GRADE03,unable to walking for a quarter mile difficulty,Physical Functioning,adls,adls,1,0.64603405,0.12234958,F,T,
PFQ061C_GRADE01,PFQ061C_GRADE01,some diff walking up ten steps difficulty,Physical Functioning,adls,adls,1,0.645125729,0.251025197,T,T,
PFQ061C_GRADE02,PFQ061C_GRADE02,much diff walking up ten steps difficulty,Physical Functioning,adls,adls,1,0.645125729,0.122516153,F,T,
PFQ061C_GRADE03,PFQ061C_GRADE03,unable to walking up ten steps difficulty,Physical Functioning,adls,adls,1,0.645125729,0.083910347,F,T,
PFQ061D_GRADE01,PFQ061D_GRADE01,"some diff stooping, crouching, kneeling difficulty",Physical Functioning,adls,adls,1,0.611867183,0.479364789,T,T,
PFQ061D_GRADE02,PFQ061D_GRADE02,"much diff stooping, crouching, kneeling difficulty",Physical Functioning,adls,adls,1,0.611867183,0.301380779,F,T,
PFQ061D_GRADE03,PFQ061D_GRADE03,"unable to stooping, crouching, kneeling difficulty",Physical Functioning,adls,adls,1,0.611867183,0.210617926,F,T,
PFQ061E_GRADE01,PFQ061E_GRADE01,some diff lifting or carrying difficulty,Physical Functioning,adls,adls,1,0.612612473,0.324263252,T,T,
PFQ061E_GRADE02,PFQ061E_GRADE02,much diff lifting or carrying difficulty,Physical Functioning,adls,adls,1,0.612612473,0.230724276,F,T,
PFQ061E_GRADE03,PFQ061E_GRADE03,unable to lifting or carrying difficulty,Physical Functioning,adls,adls,1,0.612612473,0.181087692,F,T,
PFQ061F_GRADE01,PFQ061F_GRADE01,some diff house chore difficulty,Physical Functioning,adls,adls,1,0.616672748,0.312072944,T,T,
PFQ061F_GRADE02,PFQ061F_GRADE02,much diff house chore difficulty,Physical Functioning,adls,adls,1,0.616672748,0.195932281,F,T,
PFQ061F_GRADE03,PFQ061F_GRADE03,unable to house chore difficulty,Physical Functioning,adls,adls,1,0.616672748,0.153912453,F,T,
PFQ061G_GRADE01,PFQ061G_GRADE01,some diff preparing meals difficulty,Physical Functioning,adls,adls,1,0.617938188,0.203617277,T,T,
PFQ061G_GRADE02,PFQ061G_GRADE02,much diff preparing meals difficulty,Physical Functioning,adls,adls,1,0.617938188,0.139154277,F,T,
PFQ061G_GRADE03,PFQ061G_GRADE03,unable to preparing meals difficulty,Physical Functioning,adls,adls,1,0.617938188,0.114420913,F,T,
PFQ061H_GRADE01,PFQ061H_GRADE01,some diff walking between rooms on same floor,Physical Functioning,adls,adls,1,0.609631315,0.235458817,T,T,
PFQ061H_GRADE02,PFQ061H_GRADE02,much diff walking between rooms on same floor,Physical Functioning,adls,adls,1,0.609631315,0.146000567,F,T,
PFQ061H_GRADE03,PFQ061H_GRADE03,unable to walking between rooms on same floor,Physical Functioning,adls,adls,1,0.609631315,0.09579826,F,T,
PFQ061I_GRADE01,PFQ061I_GRADE01,some diff standingup from armless chair difficulty,Physical Functioning,adls,adls,1,0.609608024,0.344051455,T,T,
PFQ061I_GRADE02,PFQ061I_GRADE02,much diff standingup from armless chair difficulty,Physical Functioning,adls,adls,1,0.609608024,0.193479116,F,T,
PFQ061I_GRADE03,PFQ061I_GRADE03,unable to standingup from armless chair difficulty,Physical Functioning,adls,adls,1,0.609608024,0.118780685,F,T,
PFQ061J_GRADE01,PFQ061J_GRADE01,some diff getting in and out of bed difficulty,Physical Functioning,adls,adls,1,0.609367358,0.243531179,T,T,
PFQ061J_GRADE02,PFQ061J_GRADE02,much diff getting in and out of bed difficulty,Physical Functioning,adls,adls,1,0.609367358,0.116652178,F,T,
PFQ061J_GRADE03,PFQ061J_GRADE03,unable to getting in and out of bed difficulty,Physical Functioning,adls,adls,1,0.609367358,0.066791601,F,T,
PFQ061K_GRADE01,PFQ061K_GRADE01,"some diff using fork, knife, drinking from cup",Physical Functioning,adls,adls,1,0.609080111,0.158882712,T,T,
PFQ061K_GRADE02,PFQ061K_GRADE02,"much diff using fork, knife, drinking from cup",Physical Functioning,adls,adls,1,0.609080111,0.067436344,F,T,
PFQ061K_GRADE03,PFQ061K_GRADE03,"unable to using fork, knife, drinking from cup",Physical Functioning,adls,adls,1,0.609080111,0.029775379,F,T,
