panel,param,value,scenario_id,n_sim,seed_method,max_lifespan
heterogeneity,eta,0.0,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,eta,0.0,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.3
heterogeneity,eta,0.0,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,105.6
heterogeneity,eta,0.01,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6000100000063
heterogeneity,eta,0.01,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.4
heterogeneity,eta,0.01,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,105.8000100000063
heterogeneity,eta,0.02,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.6
heterogeneity,eta,0.02,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.7
heterogeneity,eta,0.02,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.5
heterogeneity,eta,0.03,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.5000100000063
heterogeneity,eta,0.03,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.0
heterogeneity,eta,0.03,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.7
heterogeneity,eta,0.04,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,111.4
heterogeneity,eta,0.04,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,112.2000100000063
heterogeneity,eta,0.04,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.6
heterogeneity,eta,0.05,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,114.2
heterogeneity,eta,0.05,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,114.9000100000063
heterogeneity,eta,0.05,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,113.3
heterogeneity,eta,0.06,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,117.0000100000063
heterogeneity,eta,0.06,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,118.1
heterogeneity,eta,0.06,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,116.3000100000063
heterogeneity,eta,0.07,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,121.5
heterogeneity,eta,0.07,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,122.3
heterogeneity,eta,0.07,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,120.5
heterogeneity,eta,0.08,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,125.7
heterogeneity,eta,0.08,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,126.3000100000063
heterogeneity,eta,0.08,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,124.6000100000063
heterogeneity,eta,0.09,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,130.9
heterogeneity,eta,0.09,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,132.4000100000063
heterogeneity,eta,0.09,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,129.1000200000126
heterogeneity,eta,0.1,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,137.3000100000063
heterogeneity,eta,0.1,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,138.5
heterogeneity,eta,0.1,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,135.8
heterogeneity,eta,0.11,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,142.9000200000126
heterogeneity,eta,0.11,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,143.70001000000627
heterogeneity,eta,0.11,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,142.00001000000628
heterogeneity,eta,0.12,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,150.9000100000063
heterogeneity,eta,0.12,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,151.5
