scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,age,survival
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,0,1.0
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,1,0.999598
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,2,0.999208
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,3,0.998796
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,4,0.998389
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,5,0.998001
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,6,0.997611
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,7,0.997214
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,8,0.996794
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,9,0.996369
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,10,0.995922
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,11,0.995522
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,12,0.995105
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,13,0.994716
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,14,0.994294
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,15,0.993892
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,16,0.993504
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,17,0.993116
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,18,0.992657
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,19,0.992223
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,20,0.991806
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,21,0.991401
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,22,0.990999
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,23,0.990535
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,24,0.990108
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,25,0.989675
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,26,0.989232
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,27,0.988809
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,28,0.98837
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,29,0.98792
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,30,0.98745
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,31,0.986987
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,32,0.986502
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,33,0.986035
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,34,0.98553
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,35,0.985014
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,36,0.984496
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,37,0.983939
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,38,0.983357
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,39,0.982778
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,40,0.982108
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,41,0.981421
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,42,0.980725
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,43,0.979935
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,44,0.979143
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,45,0.978241
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,46,0.977253
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,47,0.976225
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,48,0.975144
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,49,0.973971
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,50,0.972622
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,51,0.971154
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,52,0.969553
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,53,0.967784
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,54,0.965784
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,55,0.963527
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,56,0.96091
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,57,0.958096
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,58,0.954899
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,59,0.951304
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,60,0.947262
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,61,0.942581
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,62,0.937319
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,63,0.931343
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,64,0.924775
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,65,0.917326
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,66,0.909145
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,67,0.899694
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,68,0.889038
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,69,0.877224
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,70,0.864048
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,71,0.849372
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,72,0.83285
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,73,0.814681
