scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,Median,Top 10%,Top 1%,Top 0.01%
historical,1900,1900,low,0.8131478289636971,0.006685965133815,200000,20,1743959414,69.84267676767676,86.34522727272727,95.24877272727272,104.0674
historical,1900,1900,central,0.8612225096708863,0.0065262362753043,200000,20,3722423158,72.44828947368421,88.35713855421686,97.00411666666668,106.24647
historical,1900,1900,high,0.9009554492272798,0.0063703233667321,200000,20,2015935786,74.5929347826087,90.02587912087913,98.36647368421052,106.88488000000001
historical,1910,1910,low,0.8157800190187574,0.0056608879210154,200000,20,4024326128,70.99459134615384,86.83088709677419,95.60526388888889,105.031895
historical,1910,1910,central,0.8583927795698899,0.0055143844936542,200000,20,3930781833,73.50550847457626,88.71771428571428,97.09346428571428,105.778085
historical,1910,1910,high,0.8918844496606568,0.0053716725658824,200000,20,3297088996,75.26017441860466,90.05683734939758,98.2730138888889,107.02589250000001
historical,1920,1920,low,0.839722903333666,0.0056730261533383,200000,20,2487958359,72.38829545454544,87.92932499999999,96.50184722222222,105.33874750000001
historical,1920,1920,central,0.8804003500484215,0.0055290038531779,200000,20,3211276481,74.48800403225806,89.59325,97.90884722222222,106.84037000000001
historical,1920,1920,high,0.915371370111589,0.0053886378772407,200000,20,3648133086,76.26073008849559,90.86416666666666,98.93906578947369,107.87750875
historical,1930,1930,low,0.7952353835414185,0.0037082013557099,200000,20,4012129874,71.92886904761905,86.56558695652174,95.22057,103.947285
historical,1930,1930,central,0.8366922058313491,0.0036142518506429,200000,20,2227505151,74.35434322033898,88.53949468085106,96.82335227272728,105.38310000000001
historical,1930,1930,high,0.8725695383605093,0.003522682612626,200000,20,683812891,76.21935975609756,89.94287234042554,98.00725,106.326415
historical,1940,1940,low,0.7929815058084907,0.0022061447323766,200000,20,3863684197,73.11232638888889,86.98826086956521,95.34573076923077,104.55256000000003
historical,1940,1940,central,0.838314386811687,0.00211438838989,200000,20,2506391633,75.73454861111111,89.04703389830509,97.17979166666666,105.9892
historical,1940,1940,high,0.8760884582067756,0.0020264483094387,200000,20,2109646653,77.76541411042945,90.54415816326531,98.3988875,106.33722
historical,1950,1950,low,0.8089979715055594,0.0009993849383417,200000,20,3407755258,75.12300955414011,88.16280434782608,96.30551785714286,106.11463500000002
historical,1950,1950,central,0.8503373103793845,0.0009471149612417,200000,20,2389018582,77.42035928143713,89.99607142857143,97.6915,106.15996
historical,1950,1950,high,0.8861046179766926,0.0008975788161231,200000,20,1875585873,79.22558823529408,91.35315533980582,98.9583695652174,107.37752499999999
historical,1960,1960,low,0.8228386431174807,0.0006323330961684,200000,20,1739612120,76.15371621621622,88.94336363636364,96.81366666666666,105.17748
historical,1960,1960,central,0.8612971229077497,0.0005951755343646,200000,20,1080398494,78.29178370786516,90.54820454545454,98.25154166666667,106.72470333333334
historical,1960,1960,high,0.8930219449750317,0.0005602014489716,200000,20,3942365342,79.81545698924731,91.63686991869919,99.0705238095238,107.32729
historical,1970,1970,low,0.8128694427526238,0.0006011987798969,200000,20,2132545056,75.6650143678161,88.53275943396227,96.57891071428571,105.05558875000001
historical,1970,1970,central,0.8513723457806606,0.0005625705837845,200000,20,1716680384,77.80883233532934,90.13472727272728,97.95735,106.00597
historical,1970,1970,high,0.8847183405075874,0.0005264243247365,200000,20,3302903110,79.4683282208589,91.40130341880342,98.95990625,107.3768875
historical,1980,1980,low,0.8025787836661384,0.0005345039689193,200000,20,1131544075,75.18310810810809,88.05180952380952,96.1732037037037,104.58703
historical,1980,1980,central,0.8454292954932165,0.0004903213014376,200000,20,2576829660,77.51221264367815,89.8660752688172,97.78711904761904,106.555545
historical,1980,1980,high,0.8817071936909064,0.000449790820318,200000,20,3690051127,79.37953367875647,91.3203982300885,98.96752,107.32963000000001
historical,1990,1990,low,0.8438556087284458,0.0004758048839863,200000,20,2390043378,77.42472677595629,89.82238095238095,97.72195454545454,106.18516000000001
historical,1990,1990,central,0.8789942036644581,0.0004393126733862,200000,20,2965045563,79.24207142857144,91.17630319148937,98.72890217391304,107.32964750000001
historical,1990,1990,high,0.908880569072368,0.0004056192601069,200000,20,1055915327,80.72433574879224,92.348575,99.74283823529412,107.63964125
historical,2000,2000,low,0.8817282685007926,0.0003784677386237,200000,20,1073260908,79.49162011173183,91.36974137931034,98.95660000000001,106.98989999999999
historical,2000,2000,central,0.9130924308641714,0.0003346109149408,200000,20,1201560234,80.99038461538463,92.51548543689321,99.89997826086957,107.95949833333333
historical,2000,2000,high,0.938790495342622,0.0002958362179156,200000,20,3094947442,82.02137573964497,93.35959905660377,100.4911447368421,108.13266875000001
historical,2010,2010,low,0.908376057132949,0.0003806280751835,200000,20,3768735180,80.67520833333333,92.33897826086957,99.78513,107.558065
historical,2010,2010,central,0.9601112952382472,0.0003440823268231,200000,20,1129110365,82.86074324324323,94.02094758064517,101.23513235294116,109.0034725
historical,2010,2010,high,0.9764391039938776,0.0003110454938852,200000,20,3323560587,83.51204663212437,94.54412698412699,101.64145652173913,109.85607
historical,2020,2019,low,0.9824758697601602,0.0004017034295591,200000,20,1876678195,83.67236486486486,94.60727459016393,101.67779761904761,109.90589375
historical,2020,2019,central,0.995338171627344,0.0003767783778403,200000,20,519089665,84.13961748633879,94.99444444444444,101.93826086956521,110.20253333333334
historical,2020,2019,high,1.0051219937932478,0.0003533998854922,200000,20,3504827759,84.52588862559243,95.26950396825397,102.26188043478261,110.46393
linear,2020,2019,low,0.9824758697601602,0.0004017034295591,200000,20,4044053911,83.68203125,94.59480088495575,101.65038043478262,109.11635
linear,2020,2019,central,0.995338171627344,0.0003767783778403,200000,20,3863297925,84.20392287234041,95.03033783783783,102.05319117647059,109.94017
linear,2020,2019,high,1.0051219937932478,0.0003533998854922,200000,20,3897643124,84.50005952380954,95.32071100917432,102.27523958333335,109.68567250000001
linear,2030,2019,low,1.0171747484574378,0.00037654233847386704,200000,20,2948004083,84.93644859813084,95.62558823529412,102.5172037037037,110.178895
linear,2030,2019,central,1.0337677863599186,0.00035350069867971903,200000,20,176409798,85.53450704225352,96.01854700854702,102.92407142857142,110.00362
linear,2030,2019,high,1.036735910700809,0.0003318690388803601,200000,20,3623942736,85.68449292452831,96.1826376146789,102.9580657894737,110.53610750000001
linear,2040,2019,low,1.0518736271547153,0.00035295723718113914,200000,20,1860127705,86.0980429292929,96.49285433070865,103.31788541666667,110.7785425
linear,2040,2019,central,1.0721974010924933,0.0003316611337501319,200000,20,1912746044,86.78978873239438,97.06842105263158,103.65286764705883,111.23145
linear,2040,2019,high,1.0721974010924933,0.0003116499565753391,200000,20,3411976334,86.76491416309014,97.02673553719009,103.7133409090909,111.378185
linear,2050,2019,low,1.086572505851993,0.00033084941200360916,200000,20,1968129880,87.1433888888889,97.3309879032258,103.980265625,110.97667125
linear,2050,2019,central,1.110627015825068,0.00031117083516738684,200000,20,2404350990,87.90572222222221,97.95710820895522,104.45477380952381,111.96201
linear,2050,2019,high,1.110627015825068,0.00029266271949045816,200000,20,928778536,87.96304611650484,97.96839743589743,104.485640625,112.130905
linear,2060,2019,low,1.1212713845492706,0.00031012633229265084,200000,20,2349207972,88.18795103092785,98.11883858267717,104.60857,111.3778925
linear,2060,2019,central,1.1490566305576424,0.00029194644414294596,200000,20,1639697152,88.97429956896549,98.73376086956522,105.09589583333333,112.468045
linear,2060,2019,high,1.1490566305576424,0.000274832277600029,200000,20,1456914021,89.00045871559632,98.71264925373134,105.12685416666666,112.158085
linear,2070,2019,low,1.155970263246548,0.00029070126314820985,200000,20,2117706838,89.17932464454977,98.839375,105.28826041666667,112.5779325
linear,2070,2019,central,1.187486245290217,0.00027390975186302846,200000,20,636079959,89.9075892857143,99.4975,105.83356097560976,112.68603999999999
linear,2070,2019,high,1.187486245290217,0.0002580881532923842,200000,20,587470363,89.96493775933611,99.49424242424243,105.75729761904762,112.3413475
linear,2080,2019,low,1.1906691419438258,0.00027249290239636753,200000,20,509571209,90.04453463203463,99.57438,105.8065546875,112.905195
linear,2080,2019,central,1.2259158600227917,0.0002569873813189193,200000,20,3412269818,90.8335407239819,100.19312937062936,106.45475,113.27759250000001
linear,2080,2019,high,1.2259158600227917,0.0002423641627960885,200000,20,2963379161,90.86394422310757,100.23407534246574,106.441875,113.01960000000001
linear,2090,2019,low,1.2253680206411033,0.00025542504030517325,200000,20,2632564253,90.88244318181818,100.18647350993378,106.40623148148148,113.07634125
linear,2090,2019,central,1.2643454747553664,0.0002411104887940642,200000,20,4249961194,91.7489152892562,100.83722826086957,106.8784659090909,113.65113125
linear,2090,2019,high,1.2643454747553664,0.00022759815457822573,200000,20,773099287,91.7244294605809,100.84821666666666,107.01002678571429,113.729615
linear,2100,2019,low,1.2580333290537369,0.00023942624061451182,200000,20,3561110053,91.58689271255061,100.69927852348994,106.80727884615385,113.70957
linear,2100,2019,central,1.302775089487941,0.0002262144837935385,200000,20,3560659812,92.52768554687499,101.49778301886792,107.45865178571428,114.45869
linear,2100,2019,high,1.302775089487941,0.00021373176368073984,200000,20,3283124842,92.55566326530614,101.4817857142857,107.43884375,113.89060875
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,200000,20,1438469780,83.68844696969697,94.62936320754717,101.67065476190476,109.38954375
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,200000,20,3607310015,84.16853233830847,94.98415322580645,101.97156666666666,109.55747
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,200000,20,2552146613,84.56122222222224,95.33306603773585,102.21355172413793,109.87843
exponential,2030,2019,low,1.02140397559075,0.00037654233847386704,200000,20,4114510396,85.10243506493508,95.70030092592593,102.57220652173913,110.67151875
exponential,2030,2019,central,1.0378656735584753,0.00035350069867971903,200000,20,841312790,85.62454188481676,96.13111344537816,102.94369736842106,111.0285525
exponential,2030,2019,high,1.0394292733454855,0.0003318690388803601,200000,20,4133103986,85.75279069767443,96.20976377952756,103.04540625,110.3891325
exponential,2040,2019,low,1.0618745085385854,0.00035295723718113914,200000,20,1428340709,86.39102564102565,96.78218253968255,103.51076666666667,111.42848
exponential,2040,2019,central,1.0822102347284233,0.0003316611337501319,200000,20,2633803868,87.13010416666665,97.21251851851852,103.88151724137931,111.61017
exponential,2040,2019,high,1.0822102347284233,0.0003116499565753391,200000,20,376933977,87.07293689320389,97.25376984126984,103.86749999999999,111.53105000000001
exponential,2050,2019,low,1.1039485833525418,0.00033084941200360916,200000,20,1049775553,87.7060520361991,97.79053571428571,104.37489423076923,111.5782225
exponential,2050,2019,central,1.1284494920574735,0.00031117083516738684,200000,20,1348943891,88.38631974248928,98.25644160583943,104.76143055555556,111.8280575
exponential,2050,2019,high,1.1284494920574735,0.00029266271949045816,200000,20,1962296515,88.46478215767634,98.32017307692308,104.79805681818182,112.1584675
exponential,2060,2019,low,1.147689736297874,0.00031012633229265084,200000,20,2746009009,88.90073170731706,98.62601351351351,104.96138888888889,112.30615
exponential,2060,2019,central,1.1766643996342583,0.00029194644414294596,200000,20,3808402098,89.65923423423423,99.26553691275168,105.65351923076923,112.73957500000002
exponential,2060,2019,high,1.1766643996342583,0.000274832277600029,200000,20,2135715956,89.68838289962825,99.2883984375,105.56856,112.57789
exponential,2070,2019,low,1.1887748636404547,0.00029070126314820985,200000,20,2779010776,90.00516877637132,99.52326923076923,105.78742857142858,112.57785
exponential,2070,2019,central,1.2269393704473686,0.00027390975186302846,200000,20,1030357882,90.86594650205761,100.17919708029197,106.3486956521739,113.4027
exponential,2070,2019,high,1.2269393704473686,0.0002580881532923842,200000,20,645923708,90.86870437956203,100.22204697986577,106.40934,113.18017
exponential,2080,2019,low,1.2293506662031588,0.00027249290239636753,200000,20,2701587145,90.91013104838709,100.22724789915966,106.37189772727272,113.23013499999999
exponential,2080,2019,central,1.2793624241726882,0.0002569873813189193,200000,20,2550029764,92.00485,101.10106589147286,107.14437500000001,113.5375625
exponential,2080,2019,high,1.2793624241726882,0.0002423641627960885,200000,20,3372482019,92.0051595744681,101.09079044117647,107.16595967741935,114.07989500000001
exponential,2090,2019,low,1.2713114204534899,0.00025542504030517325,200000,20,757085145,91.85754132231403,100.97840136054421,107.06402173913044,114.3849
exponential,2090,2019,central,1.3340253412751895,0.0002411104887940642,200000,20,1894996949,93.09505597014925,101.9345,107.82416666666667,114.92725
exponential,2090,2019,high,1.3340253412751895,0.00022759815457822573,200000,20,2247732398,93.12416007905138,101.94998299319728,107.90898333333334,115.0273475
exponential,2100,2019,low,1.3147043981903017,0.00023942624061451182,200000,20,2786738822,92.79336492890995,101.64018248175182,107.60723076923077,114.36368999999999
exponential,2100,2019,central,1.3910238236949912,0.0002262144837935385,200000,20,2335065701,94.11106719367588,102.71974860335195,108.59898387096774,115.35874
exponential,2100,2019,high,1.3910238236949912,0.00021373176368073984,200000,20,1963751718,94.15897212543554,102.74911184210526,108.49155999999999,115.12714
