component,delta,age,unconditional_survival,conditional_survival_from90,top_0_01pct_lifespan,top_0_01pct_censored,n
baseline,0.0,90.0,0.188614,1.0,106.0,False,500000
baseline,0.0,91.0,0.152208,0.8069814541868578,106.0,False,500000
baseline,0.0,92.0,0.120578,0.6392844645678476,106.0,False,500000
baseline,0.0,93.0,0.09324,0.4943429437899626,106.0,False,500000
baseline,0.0,94.0,0.069984,0.37104350684466686,106.0,False,500000
baseline,0.0,95.0,0.05121,0.2715068870815528,106.0,False,500000
baseline,0.0,96.0,0.0361,0.19139618480070408,106.0,False,500000
baseline,0.0,97.0,0.024716,0.13104011367130755,106.0,False,500000
baseline,0.0,98.0,0.01633,0.0865789389971052,106.0,False,500000
baseline,0.0,99.0,0.010368,0.05496940842143213,106.0,False,500000
baseline,0.0,100.0,0.006366,0.03375147125876128,106.0,False,500000
baseline,0.0,101.0,0.003654,0.01937289914852556,106.0,False,500000
baseline,0.0,102.0,0.002012,0.010667288748449215,106.0,False,500000
baseline,0.0,103.0,0.00111,0.005885035045118602,106.0,False,500000
baseline,0.0,104.0,0.000542,0.0028735936886975515,106.0,False,500000
baseline,0.0,105.0,0.00027,0.0014314950109747952,106.0,False,500000
baseline,0.0,106.0,0.00011,0.0005832016711378795,106.0,False,500000
baseline,0.0,107.0,3.6e-05,0.00019086600146330602,106.0,False,500000
baseline,0.0,108.0,1.6e-05,8.482933398369156e-05,106.0,False,500000
baseline,0.0,109.0,8e-06,4.241466699184578e-05,106.0,False,500000
baseline,0.0,110.0,2e-06,1.0603666747961445e-05,106.0,False,500000
baseline,0.0,111.0,0.0,0.0,106.0,False,500000
baseline,0.0,112.0,0.0,0.0,106.0,False,500000
baseline,0.0,113.0,0.0,0.0,106.0,False,500000
baseline,0.0,114.0,0.0,0.0,106.0,False,500000
baseline,0.0,115.0,0.0,0.0,106.0,False,500000
baseline,0.0,116.0,0.0,0.0,106.0,False,500000
baseline,0.0,117.0,0.0,0.0,106.0,False,500000
baseline,0.0,118.0,0.0,0.0,106.0,False,500000
baseline,0.0,119.0,0.0,0.0,106.0,False,500000
baseline,0.0,120.0,0.0,0.0,106.0,False,500000
eta_improved_0.020,0.02,90.0,0.25498,1.0,108.0,False,500000
eta_improved_0.020,0.02,91.0,0.213556,0.8375401992313123,108.0,False,500000
eta_improved_0.020,0.02,92.0,0.175858,0.6896933092791592,108.0,False,500000
eta_improved_0.020,0.02,93.0,0.142024,0.5570005490626716,108.0,False,500000
eta_improved_0.020,0.02,94.0,0.11219,0.4399952937485293,108.0,False,500000
eta_improved_0.020,0.02,95.0,0.086124,0.3377676680523963,108.0,False,500000
eta_improved_0.020,0.02,96.0,0.064536,0.2531022040944388,108.0,False,500000
eta_improved_0.020,0.02,97.0,0.04695,0.18413208879127774,108.0,False,500000
eta_improved_0.020,0.02,98.0,0.033162,0.13005725939289356,108.0,False,500000
eta_improved_0.020,0.02,99.0,0.02269,0.08898737155855362,108.0,False,500000
eta_improved_0.020,0.02,100.0,0.014976,0.05873401835438074,108.0,False,500000
eta_improved_0.020,0.02,101.0,0.009552,0.03746176170680053,108.0,False,500000
eta_improved_0.020,0.02,102.0,0.005938,0.023288101027531573,108.0,False,500000
eta_improved_0.020,0.02,103.0,0.003508,0.013757941799356813,108.0,False,500000
eta_improved_0.020,0.02,104.0,0.002048,0.008032002510000785,108.0,False,500000
eta_improved_0.020,0.02,105.0,0.001014,0.003976782492744529,108.0,False,500000
eta_improved_0.020,0.02,106.0,0.000544,0.0021335006667189582,108.0,False,500000
eta_improved_0.020,0.02,107.0,0.000262,0.001027531571103616,108.0,False,500000
eta_improved_0.020,0.02,108.0,0.000102,0.0004000313750098047,108.0,False,500000
eta_improved_0.020,0.02,109.0,3.8e-05,0.00014903129657228018,108.0,False,500000
eta_improved_0.020,0.02,110.0,1e-05,3.92187622558632e-05,108.0,False,500000
eta_improved_0.020,0.02,111.0,2e-06,7.843752451172641e-06,108.0,False,500000
eta_improved_0.020,0.02,112.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,113.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,114.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,115.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,116.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,117.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,118.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,119.0,0.0,0.0,108.0,False,500000
eta_improved_0.020,0.02,120.0,0.0,0.0,108.0,False,500000
eta_improved_0.050,0.05,90.0,0.368178,1.0,111.00001000000047,False,500000
eta_improved_0.050,0.05,91.0,0.323342,0.8782219469930306,111.00001000000047,False,500000
eta_improved_0.050,0.05,92.0,0.279164,0.7582310730135967,111.00001000000047,False,500000
eta_improved_0.050,0.05,93.0,0.237604,0.6453508900586129,111.00001000000047,False,500000
eta_improved_0.050,0.05,94.0,0.198924,0.5402930104460343,111.00001000000047,False,500000
eta_improved_0.050,0.05,95.0,0.162992,0.4426989119393337,111.00001000000047,False,500000
eta_improved_0.050,0.05,96.0,0.131586,0.3573977804214266,111.00001000000047,False,500000
eta_improved_0.050,0.05,97.0,0.103578,0.28132588041653767,111.00001000000047,False,500000
eta_improved_0.050,0.05,98.0,0.079866,0.21692224956406955,111.00001000000047,False,500000
eta_improved_0.050,0.05,99.0,0.059678,0.16209007599584985,111.00001000000047,False,500000
eta_improved_0.050,0.05,100.0,0.043612,0.11845357408644731,111.00001000000047,False,500000
eta_improved_0.050,0.05,101.0,0.030954,0.08407346446555743,111.00001000000047,False,500000
eta_improved_0.050,0.05,102.0,0.021266,0.05776010516652271,111.00001000000047,False,500000
eta_improved_0.050,0.05,103.0,0.014076,0.0382315075860046,111.00001000000047,False,500000
eta_improved_0.050,0.05,104.0,0.009182,0.024939024059014932,111.00001000000047,False,500000
eta_improved_0.050,0.05,105.0,0.005696,0.015470777721645509,111.00001000000047,False,500000
eta_improved_0.050,0.05,106.0,0.003388,0.009202070737523698,111.00001000000047,False,500000
eta_improved_0.050,0.05,107.0,0.001924,0.005225733205134473,111.00001000000047,False,500000
eta_improved_0.050,0.05,108.0,0.00106,0.002879042202412963,111.00001000000047,False,500000
eta_improved_0.050,0.05,109.0,0.000522,0.001417792480810912,111.00001000000047,False,500000
eta_improved_0.050,0.05,110.0,0.000262,0.0007116123179549022,111.00001000000047,False,500000
eta_improved_0.050,0.05,111.0,0.000114,0.00030963284063686584,111.00001000000047,False,500000
eta_improved_0.050,0.05,112.0,3.8e-05,0.00010321094687895529,111.00001000000047,False,500000
eta_improved_0.050,0.05,113.0,2e-05,5.4321550988923836e-05,111.00001000000047,False,500000
eta_improved_0.050,0.05,114.0,6e-06,1.6296465296677152e-05,111.00001000000047,False,500000
eta_improved_0.050,0.05,115.0,2e-06,5.432155098892384e-06,111.00001000000047,False,500000
eta_improved_0.050,0.05,116.0,0.0,0.0,111.00001000000047,False,500000
eta_improved_0.050,0.05,117.0,0.0,0.0,111.00001000000047,False,500000
eta_improved_0.050,0.05,118.0,0.0,0.0,111.00001000000047,False,500000
eta_improved_0.050,0.05,119.0,0.0,0.0,111.00001000000047,False,500000
eta_improved_0.050,0.05,120.0,0.0,0.0,111.00001000000047,False,500000
eta_improved_0.100,0.1,90.0,0.563092,1.0,116.8,False,500000
eta_improved_0.100,0.1,91.0,0.521798,0.9266656248002103,116.8,False,500000
eta_improved_0.100,0.1,92.0,0.479402,0.8513741981772073,116.8,False,500000
eta_improved_0.100,0.1,93.0,0.435666,0.7737030538526564,116.8,False,500000
eta_improved_0.100,0.1,94.0,0.392162,0.6964439203540451,116.8,False,500000
eta_improved_0.100,0.1,95.0,0.348054,0.6181121379810048,116.8,False,500000
eta_improved_0.100,0.1,96.0,0.305222,0.5420464151506326,116.8,False,500000
eta_improved_0.100,0.1,97.0,0.264424,0.4695928906821621,116.8,False,500000
eta_improved_0.100,0.1,98.0,0.225196,0.3999275429237141,116.8,False,500000
eta_improved_0.100,0.1,99.0,0.188952,0.33556150682304137,116.8,False,500000
eta_improved_0.100,0.1,100.0,0.155388,0.2759549061254644,116.8,False,500000
eta_improved_0.100,0.1,101.0,0.125584,0.2230257222620815,116.8,False,500000
eta_improved_0.100,0.1,102.0,0.099952,0.17750562963068203,116.8,False,500000
eta_improved_0.100,0.1,103.0,0.07739,0.13743757680805269,116.8,False,500000
eta_improved_0.100,0.1,104.0,0.05865,0.1041570471610323,116.8,False,500000
eta_improved_0.100,0.1,105.0,0.043344,0.0769749881014115,116.8,False,500000
