delta,p,max_ratio_to_hmd_100_105_110,max_excess_over_hmd_100_105_110,passes_hmd_bound,pmax_mixture_vs_hmd,pmax_conservative_component_only
0.02,0.0,0.4836998179671876,-0.00014726448177439268,True,1.4420567386596168,1.1880290775588682
0.02,1e-06,0.48370017599760917,-0.00014726445315929717,True,1.4420567386596168,1.1880290775588682
0.02,1.122018454301963e-06,0.4837002196839278,-0.00014726444966772746,True,1.4420567386596168,1.1880290775588682
0.02,1.2589254117941661e-06,0.4837002687007834,-0.0001472644457501218,True,1.4420567386596168,1.1880290775588682
0.02,1.4125375446227554e-06,0.4837003236986001,-0.00014726444135449595,True,1.4420567386596168,1.1880290775588682
0.02,1.584893192461114e-06,0.48370038540716537,-0.0001472644364225226,True,1.4420567386596168,1.1880290775588682
0.02,1.778279410038923e-06,0.4837004546453144,-0.00014726443088875754,True,1.4420567386596168,1.1880290775588682
0.02,1.9952623149688787e-06,0.48370053233179533,-0.00014726442467977098,True,1.4420567386596168,1.1880290775588682
0.02,2.2387211385683376e-06,0.4837006194974605,-0.0001472644177131735,True,1.4420567386596168,1.1880290775588682
0.02,2.5118864315095823e-06,0.4837007172989455,-0.00014726440989652254,True,1.4420567386596168,1.1880290775588682
0.02,2.818382931264455e-06,0.4837008270340165,-0.00014726440112609594,True,1.4420567386596168,1.1880290775588682
0.02,3.162277660168379e-06,0.48370095015879133,-0.00014726439128551541,True,1.4420567386596168,1.1880290775588682
0.02,3.548133892335753e-06,0.48370108830706066,-0.00014726438024420248,True,1.4420567386596168,1.1880290775588682
0.02,3.981071705534969e-06,0.48370124331196845,-0.0001472643678556456,True,1.4420567386596168,1.1880290775588682
0.02,4.466835921509635e-06,0.4837014172303355,-0.00014726435395545618,True,1.4420567386596168,1.1880290775588682
0.02,5.011872336272725e-06,0.4837016123699528,-0.0001472643383591871,True,1.4420567386596168,1.1880290775588682
0.02,5.623413251903491e-06,0.48370183132020456,-0.0001472643208598854,True,1.4420567386596168,1.1880290775588682
0.02,6.30957344480193e-06,0.48370207698642775,-0.00014726430122534597,True,1.4420567386596168,1.1880290775588682
0.02,7.079457843841373e-06,0.48370235262846367,-0.00014726427919503035,True,1.4420567386596168,1.1880290775588682
0.02,7.943282347242822e-06,0.48370266190391487,-0.00014726425447660968,True,1.4420567386596168,1.1880290775588682
0.02,8.91250938133746e-06,0.48370300891667833,-0.00014726422674208553,True,1.4420567386596168,1.1880290775588682
0.02,1e-05,0.483703398271403,-0.00014726419562343762,True,1.4420567386596168,1.1880290775588682
0.02,1.122018454301963e-05,0.48370383513458937,-0.0001472641607077404,True,1.4420567386596168,1.1880290775588682
0.02,1.2589254117941661e-05,0.4837043253031463,-0.00014726412153168373,True,1.4420567386596168,1.1880290775588682
0.02,1.4125375446227555e-05,0.48370487528131306,-0.00014726407757542523,True,1.4420567386596168,1.1880290775588682
0.02,1.584893192461114e-05,0.48370549236696553,-0.00014726402825569198,True,1.4420567386596168,1.1880290775588682
0.02,1.778279410038923e-05,0.48370618474845556,-0.00014726397291804112,True,1.4420567386596168,1.1880290775588682
0.02,1.9952623149688786e-05,0.4837069616132647,-0.00014726391082817562,True,1.4420567386596168,1.1880290775588682
0.02,2.238721138568338e-05,0.4837078332699171,-0.00014726384116220073,True,1.4420567386596168,1.1880290775588682
0.02,2.5118864315095822e-05,0.483708811284767,-0.00014726376299569128,True,1.4420567386596168,1.1880290775588682
0.02,2.818382931264455e-05,0.483709908635477,-0.00014726367529142514,True,1.4420567386596168,1.1880290775588682
0.02,3.1622776601683795e-05,0.4837111398832247,-0.00014726357688562002,True,1.4420567386596168,1.1880290775588682
0.02,3.5481338923357534e-05,0.4837125213659192,-0.00014726346647249064,True,1.4420567386596168,1.1880290775588682
0.02,3.9810717055349695e-05,0.4837140714149969,-0.00014726334258692193,True,1.4420567386596168,1.1880290775588682
0.02,4.466835921509635e-05,0.483715810598667,-0.00014726320358502757,True,1.4420567386596168,1.1880290775588682
0.02,5.011872336272725e-05,0.48371776199484035,-0.00014726304762233694,True,1.4420567386596168,1.1880290775588682
0.02,5.623413251903491e-05,0.4837199514973586,-0.00014726287262931985,True,1.4420567386596168,1.1880290775588682
0.02,6.309573444801929e-05,0.48372240815958956,-0.00014726267628392532,True,1.4420567386596168,1.1880290775588682
0.02,7.079457843841373e-05,0.4837251645799489,-0.00014726245598076923,True,1.4420567386596168,1.1880290775588682
0.02,7.943282347242822e-05,0.48372825733445973,-0.00014726220879656256,True,1.4420567386596168,1.1880290775588682
0.02,8.912509381337459e-05,0.4837317274620957,-0.00014726193145132106,True,1.4420567386596168,1.1880290775588682
0.02,0.0001,0.483735621009342,-0.00014726162026484191,True,1.4420567386596168,1.1880290775588682
0.02,0.00011220184543019641,0.4837399896412049,-0.00014726127110786954,True,1.4420567386596168,1.1880290775588682
0.02,0.00012589254117941674,0.48374489132677523,-0.0001472608793473031,True,1.4420567386596168,1.1880290775588682
0.02,0.0001412537544622754,0.48375039110844237,-0.00014726043978471792,True,1.4420567386596168,1.1880290775588682
0.02,0.00015848931924611142,0.4837565619649676,-0.0001472599465873855,True,1.4420567386596168,1.1880290775588682
0.02,0.00017782794100389227,0.48376348577986755,-0.0001472593932108769,True,1.4420567386596168,1.1880290775588682
0.02,0.0001995262314968881,0.48377125442795943,-0.0001472587723122221,True,1.4420567386596168,1.1880290775588682
0.02,0.000223872113856834,0.4837799709944837,-0.00014725807565247313,True,1.4420567386596168,1.1880290775588682
0.02,0.0002511886431509582,0.483789751142982,-0.00014725729398737842,True,1.4420567386596168,1.1880290775588682
0.02,0.0002818382931264455,0.4838007246500829,-0.0001472564169447171,True,1.4420567386596168,1.1880290775588682
0.02,0.00031622776601683794,0.4838130371275585,-0.00014725543288666586,True,1.4420567386596168,1.1880290775588682
0.02,0.0003548133892335757,0.4838268519545043,-0.0001472543287553723,True,1.4420567386596168,1.1880290775588682
0.02,0.00039810717055349735,0.4838423524452806,-0.0001472530898996849,True,1.4420567386596168,1.1880290775588682
0.02,0.0004466835921509635,0.4838597442819822,-0.00014725169988074149,True,1.4420567386596168,1.1880290775588682
0.02,0.0005011872336272725,0.4838792582437156,-0.0001472501402538351,True,1.4420567386596168,1.1880290775588682
0.02,0.0005623413251903491,0.4839011532688971,-0.00014724839032366434,True,1.4420567386596168,1.1880290775588682
0.02,0.0006309573444801936,0.4839257198912082,-0.00014724642686971898,True,1.4420567386596168,1.1880290775588682
0.02,0.000707945784384138,0.48395328409480093,-0.00014724422383815812,True,1.4420567386596168,1.1880290775588682
0.02,0.0007943282347242822,0.4839842116399103,-0.00014724175199609142,True,1.4420567386596168,1.1880290775588682
0.02,0.0008912509381337459,0.48401891291626925,-0.00014723897854367648,True,1.4420567386596168,1.1880290775588682
