factor,age,gain_years,gain_projection_low,gain_projection_high,factor_projection_low,factor_projection_high
0.8,60,-7.1249999999999964,-9.135854341736678,-4.906122448979583,0.7484593837535015,0.855702280912365
0.8,65,-6.200000000000005,-7.848529411764713,-4.32893157262905,0.7484593837535015,0.855702280912365
0.8,70,-5.099999999999994,-6.435434173669471,-3.6074429771908747,0.7484593837535015,0.855702280912365
0.8,75,-3.9500000000000046,-4.998879551820721,-2.888805522208881,0.7484593837535015,0.855702280912365
0.8,80,-2.875,-3.518487394957982,-2.142316926770702,0.7484593837535015,0.855702280912365
0.8,85,-1.9249999999999972,-2.359243697478999,-1.3986794717887174,0.7484593837535015,0.855702280912365
0.8,90,-1.1749999999999972,-1.5319327731092487,-0.8936374549820031,0.7484593837535015,0.855702280912365
0.8,95,-0.7750000000000057,-0.9303921568627422,-0.5907863145258102,0.7484593837535015,0.855702280912365
0.8,100,-0.375,-0.41644657863144924,-0.39348739495798163,0.7484593837535015,0.855702280912365
0.85,60,-5.25,-7.11239495798319,-3.197569027611038,0.7984593837535015,0.9057022809123649
0.85,65,-4.650000000000009,-6.200840336134459,-2.8232292917166877,0.7984593837535015,0.9057022809123649
0.85,70,-3.8499999999999943,-5.067366946778717,-2.357442977190877,0.7984593837535015,0.9057022809123649
0.85,75,-3.049999999999999,-3.98158263305321,-1.9138055222088763,0.7984593837535015,0.9057022809123649
0.85,80,-2.200000000000003,-2.8942577030812324,-1.4173169267707078,0.7984593837535015,0.9057022809123649
0.85,85,-1.4499999999999886,-1.9138655462184933,-0.9344237695078031,0.7984593837535015,0.9057022809123649
0.85,90,-0.875,-1.2584733893557425,-0.6157863145258166,0.7984593837535015,0.9057022809123649
0.85,95,-0.625,-0.7190476190476244,-0.3021908763505428,0.7984593837535015,0.9057022809123649
0.85,100,-0.375,-0.6536414565826276,-0.32576530612244436,0.7984593837535015,0.9057022809123649
0.9,60,-3.399999999999988,-5.1351140456182405,-1.4810324129651835,0.8490996398559424,0.9544297719087635
0.9,65,-3.050000000000015,-4.5297118847539,-1.3215366146458585,0.8490996398559424,0.9544297719087635
0.9,70,-2.5750000000000046,-3.7729591836734686,-1.1392557022809102,0.8490996398559424,0.9544297719087635
0.9,75,-2.049999999999999,-3.017106842737094,-0.9569747899159621,0.8490996398559424,0.9544297719087635
0.9,80,-1.4500000000000028,-2.236704681872743,-0.7063385354141566,0.8490996398559424,0.9544297719087635
0.9,85,-0.9749999999999944,-1.4581032412965211,-0.38734693877550685,0.8490996398559424,0.9544297719087635
0.9,90,-0.5999999999999943,-0.9308523409363855,-0.31899159663866267,0.8490996398559424,0.9544297719087635
0.9,95,-0.4249999999999971,-0.6265756302521008,-0.11392557022809104,0.8490996398559424,0.9544297719087635
0.9,100,-0.25,-0.4292767106842706,-0.12531812725090266,0.8490996398559424,0.9544297719087635
0.95,60,-1.649999999999988,-3.0682973189275615,-0.17856142456982538,0.9093437374949981,0.9945058023209284
0.95,65,-1.5000000000000036,-2.7103441376550603,-0.15933173269307524,0.9093437374949981,0.9945058023209284
0.95,70,-1.2750000000000057,-2.2664065626250482,-0.1373549419767887,0.9093437374949981,0.9945058023209284
0.95,75,-1.0750000000000046,-1.84279711884753,-0.1153781512605022,0.9093437374949981,0.9945058023209284
0.95,80,-0.75,-1.3645158063225264,-0.0851600640256081,0.9093437374949981,0.9945058023209284
0.95,85,-0.5,-0.8925470188075216,-0.04670068027210787,0.9093437374949981,0.9945058023209284
0.95,90,-0.2999999999999971,-0.5939375750300178,-0.03845938375350179,0.9093437374949981,0.9945058023209284
0.95,95,-0.2000000000000028,-0.28762505002001,-0.013735494197678876,0.9093437374949981,0.9945058023209284
0.95,100,-0.2000000000000028,-0.3102891156462541,-0.01510904361744707,0.9093437374949981,0.9945058023209284
1.0,60,0.0,-1.3213285314125596,1.4019327731092452,0.9593437374949981,1.0445058023209284
1.0,65,0.0,-1.1790316126450555,1.2684153661464552,0.9593437374949981,1.0445058023209284
1.0,70,0.0,-1.0164065626250458,1.1348979591836779,0.9593437374949981,1.0445058023209284
1.0,75,0.0,-0.8537815126050362,0.86786314525811,0.9593437374949981,1.0445058023209284
1.0,80,0.0,-0.6301720688275215,0.6675870348139251,0.9593437374949981,1.0445058023209284
1.0,85,0.0,-0.34557823129251325,0.4450580232092834,0.9593437374949981,1.0445058023209284
1.0,90,0.0,-0.28459383753501977,0.289287715086024,0.9593437374949981,1.0445058023209284
1.0,95,0.0,-0.10164065626250458,0.2225290116046417,0.9593437374949981,1.0445058023209284
1.0,100,0.0,-0.11180472188875731,0.066758703481395,0.9593437374949981,1.0445058023209284
1.05,60,1.5750000000000064,-0.029261704681871566,3.1149659863945596,0.9990996398559424,1.104421768707483
1.05,65,1.4249999999999936,-0.02611044417767004,2.8605442176870755,0.9990996398559424,1.104421768707483
1.05,70,1.25,-0.02250900360143964,2.549489795918371,0.9990996398559424,1.104421768707483
1.05,75,1.0,-0.01890756302520924,2.0634353741496687,0.9990996398559424,1.104421768707483
1.05,80,0.7500000000000018,-0.013955582232892472,1.5729591836734702,0.9990996398559424,1.104421768707483
1.05,85,0.5,-0.007653061224489451,1.1486394557823074,0.9990996398559424,1.104421768707483
1.05,90,0.3500000000000085,-0.006302521008403265,0.7287414965986285,0.9990996398559424,1.104421768707483
1.05,95,0.1500000000000056,-0.002250900360143968,0.41768707482992384,0.9990996398559424,1.104421768707483
1.05,100,0.0499999999999971,-0.0024759903961584155,0.23163265306121908,0.9990996398559424,1.104421768707483
1.1,60,3.0,0.719747899159664,5.122959183673471,1.0228491396558623,1.1822729091636652
1.1,65,2.75,0.6512004801920744,4.77454981992796,1.0228491396558623,1.1822729091636652
1.1,70,2.424999999999997,0.5826530612244915,4.285004001600636,1.0228491396558623,1.1822729091636652
1.1,75,2.0,0.44555822328931877,3.5881852741096507,1.0228491396558623,1.1822729091636652
1.1,80,1.5499999999999972,0.34273709483793463,2.792957182873155,1.0228491396558623,1.1822729091636652
