year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
1800,0.00751601594752171,0.0002446168173484459,20,100,lognormal delta-method from GGM curve_fit covariance,0.0070515473067714,0.008011078032356737
1801,0.006730606517613284,0.00022362940295703965,20,100,lognormal delta-method from GGM curve_fit covariance,0.006306267633301249,0.0071834985016682356
1802,0.006141579159536853,0.0001432689013151369,20,100,lognormal delta-method from GGM curve_fit covariance,0.005867099881534462,0.006428899342854291
1803,0.006515291250735885,0.00015472151231839663,20,100,lognormal delta-method from GGM curve_fit covariance,0.006218991652080499,0.006825707840870744
1804,0.007276299061626089,0.0001654450025707489,20,100,lognormal delta-method from GGM curve_fit covariance,0.006959152085090824,0.007607899265148726
1805,0.006994300932038784,0.00013794496422862997,20,100,lognormal delta-method from GGM curve_fit covariance,0.006729092652772111,0.007269961650441157
1806,0.008224186734780821,0.0001552285879174307,20,100,lognormal delta-method from GGM curve_fit covariance,0.007925503050799247,0.008534126731769278
1807,0.007869742577206166,0.0001559681586832664,20,100,lognormal delta-method from GGM curve_fit covariance,0.007569911613708729,0.008181449320931868
1808,0.013078600499167103,0.0001569273029275527,20,100,lognormal delta-method from GGM curve_fit covariance,0.012774617064418852,0.013389817491534759
1809,0.013176612112649623,0.00035264360958152684,20,100,lognormal delta-method from GGM curve_fit covariance,0.012503257855480994,0.01388622939509437
1810,0.008886038807053747,0.0002298587052322608,20,100,lognormal delta-method from GGM curve_fit covariance,0.008446753806546097,0.009348169425663994
1811,0.008759125820423262,0.0002068609771224207,20,100,lognormal delta-method from GGM curve_fit covariance,0.008362926086351538,0.009174095806396972
1812,0.007898120867712537,0.0002810628088068461,20,100,lognormal delta-method from GGM curve_fit covariance,0.007366019892417977,0.008468659350921087
1813,0.008090528784735547,0.0001552931775747711,20,100,lognormal delta-method from GGM curve_fit covariance,0.007791813868902382,0.008400695539953294
1814,0.007416459605703919,0.00013217041070257278,20,100,lognormal delta-method from GGM curve_fit covariance,0.007161882303702586,0.00768008614922389
1815,0.007316308942666121,0.0001814272924208153,20,100,lognormal delta-method from GGM curve_fit covariance,0.006969220978062835,0.0076806829218113
1816,0.006437119519154806,0.00015684714953168166,20,100,lognormal delta-method from GGM curve_fit covariance,0.006136929821641676,0.0067519930825604944
