target_year,source_year,scenario,xc_central,xc_low,xc_high,h_ext_central,h_ext_low,h_ext_high
1900,1900,historical,0.8612225096708863,0.8131478289636971,0.9009554492272798,0.0065262362753043,0.0063703233667321,0.006685965133815
1910,1910,historical,0.8583927795698899,0.8157800190187574,0.8918844496606568,0.0055143844936542,0.0053716725658824,0.0056608879210154
1920,1920,historical,0.8804003500484215,0.839722903333666,0.915371370111589,0.0055290038531779,0.0053886378772407,0.0056730261533383
1930,1930,historical,0.8366922058313491,0.7952353835414185,0.8725695383605093,0.0036142518506429,0.003522682612626,0.0037082013557099
1940,1940,historical,0.838314386811687,0.7929815058084907,0.8760884582067756,0.00211438838989,0.0020264483094387,0.0022061447323766
1950,1950,historical,0.8503373103793845,0.8089979715055594,0.8861046179766926,0.0009471149612417,0.0008975788161231,0.0009993849383417
1960,1960,historical,0.8612971229077497,0.8228386431174807,0.8930219449750317,0.0005951755343646,0.0005602014489716,0.0006323330961684
1970,1970,historical,0.8513723457806606,0.8128694427526238,0.8847183405075874,0.0005625705837845,0.0005264243247365,0.0006011987798969
1980,1980,historical,0.8454292954932165,0.8025787836661384,0.8817071936909064,0.0004903213014376,0.000449790820318,0.0005345039689193
1990,1990,historical,0.8789942036644581,0.8438556087284458,0.908880569072368,0.0004393126733862,0.0004056192601069,0.0004758048839863
2000,2000,historical,0.9130924308641714,0.8817282685007926,0.938790495342622,0.0003346109149408,0.0002958362179156,0.0003784677386237
2010,2010,historical,0.9601112952382472,0.908376057132949,0.9764391039938776,0.0003440823268231,0.0003110454938852,0.0003806280751835
2020,2019,historical,0.995338171627344,0.9824758697601602,1.0051219937932478,0.0003767783778403,0.0003533998854922,0.0004017034295591
2020,2019,linear,0.995338171627344,0.9824758697601602,1.0051219937932478,0.0003767783778403,0.0003533998854922,0.0004017034295591
2030,2019,linear,1.0337677863599186,1.0171747484574378,1.036735910700809,0.00035350069867971903,0.0003318690388803601,0.00037654233847386704
2040,2019,linear,1.0721974010924933,1.0518736271547153,1.0721974010924933,0.0003316611337501319,0.0003116499565753391,0.00035295723718113914
2050,2019,linear,1.110627015825068,1.086572505851993,1.110627015825068,0.00031117083516738684,0.00029266271949045816,0.00033084941200360916
2060,2019,linear,1.1490566305576424,1.1212713845492706,1.1490566305576424,0.00029194644414294596,0.000274832277600029,0.00031012633229265084
2070,2019,linear,1.187486245290217,1.155970263246548,1.187486245290217,0.00027390975186302846,0.0002580881532923842,0.00029070126314820985
2080,2019,linear,1.2259158600227917,1.1906691419438258,1.2259158600227917,0.0002569873813189193,0.0002423641627960885,0.00027249290239636753
2090,2019,linear,1.2643454747553664,1.2253680206411033,1.2643454747553664,0.0002411104887940642,0.00022759815457822573,0.00025542504030517325
2100,2019,linear,1.302775089487941,1.2580333290537369,1.302775089487941,0.0002262144837935385,0.00021373176368073984,0.00023942624061451182
2020,2019,exponential,0.995338171627344,0.9824758697601602,1.0051219937932478,0.0003767783778403,0.0003533998854922,0.0004017034295591
2030,2019,exponential,1.0378656735584753,1.02140397559075,1.0394292733454855,0.00035350069867971903,0.0003318690388803601,0.00037654233847386704
2040,2019,exponential,1.0822102347284233,1.0618745085385854,1.0822102347284233,0.0003316611337501319,0.0003116499565753391,0.00035295723718113914
2050,2019,exponential,1.1284494920574735,1.1039485833525418,1.1284494920574735,0.00031117083516738684,0.00029266271949045816,0.00033084941200360916
2060,2019,exponential,1.1766643996342583,1.147689736297874,1.1766643996342583,0.00029194644414294596,0.000274832277600029,0.00031012633229265084
2070,2019,exponential,1.2269393704473686,1.1887748636404547,1.2269393704473686,0.00027390975186302846,0.0002580881532923842,0.00029070126314820985
2080,2019,exponential,1.2793624241726882,1.2293506662031588,1.2793624241726882,0.0002569873813189193,0.0002423641627960885,0.00027249290239636753
2090,2019,exponential,1.3340253412751895,1.2713114204534899,1.3340253412751895,0.0002411104887940642,0.00022759815457822573,0.00025542504030517325
2100,2019,exponential,1.3910238236949912,1.3147043981903017,1.3910238236949912,0.0002262144837935385,0.00021373176368073984,0.00023942624061451182
