year,xc_variant,xc_factor,h_ext,n,from_age,random_seed,Median,Top 10%,Top 1%,Top 0.01%
1900,low,0.8308454926562252,0.0065262362753043,200000,20,3353671086,70.99442934782607,87.23466049382715,95.911125,104.872615
1900,central,0.8612225096708863,0.0065262362753043,200000,20,144525913,72.54893617021278,88.4825,96.96182352941176,105.61756
1900,high,0.8864945189627707,0.0065262362753043,200000,20,2285583801,73.68981958762889,89.44580128205128,97.95602083333334,106.38978000000002
1950,low,0.8168641734395853,0.0009471149612417,200000,20,3518207980,75.58359872611464,88.538,96.59490476190476,105.78493
1950,central,0.8503373103793845,0.0009471149612417,200000,20,2519645449,77.43453525641024,90.00113461538461,97.79809,105.8345225
1950,high,0.8781869931323312,0.0009471149612417,200000,20,536767974,78.76044034090908,91.01803719008265,98.72707812499999,106.47724875
2000,low,0.8904973693668774,0.0003346109149408,200000,20,114345189,79.89003623188407,91.66271825396825,99.1536375,107.432455
2000,central,0.9130924308641714,0.0003346109149408,200000,20,4215831693,80.93106936416186,92.46730769230768,99.84599999999999,108.38000000000001
2000,high,0.9336246000284728,0.0003346109149408,200000,20,3394873063,81.77684210526316,93.1712686567164,100.54958333333333,108.210275
2019,low,0.988164599887978,0.0003767783778403,200000,20,2622655388,83.91459497206702,94.84498031496062,101.90494047619048,109.83307500000001
2019,central,0.995338171627344,0.0003767783778403,200000,20,2139660662,84.19406077348066,95.05297619047619,102.05572916666667,109.7155
2019,high,1.0009098026324343,0.0003767783778403,200000,20,1766786714,84.41163563829787,95.1850590551181,102.25596428571428,109.907505
