date,task,artifact_type,path,source_script,input_paths,description,notes
2026-05-14,project_setup,index,saved_results/index/outputs.csv,,,Created central output index for future generated artifacts,Legacy saved_results files were preserved in place during setup
2026-05-14,project_setup,documentation,README.md,,,Created project layout README,
2026-05-14,project_setup,documentation,saved_results/index/README.md,,,Created saved-results index README,
2026-05-14,project_setup,plot_cache,saved_results/cache/plots/fig2de_plot_cache.pkl,src/figures/Fig2/make_fig2de.py,,Moved Fig2DE plot cache out of Figures,Figures should hold paper-ready outputs only
2026-05-14,project_setup,durable_data,saved_data/population-with-un-projections.csv,src/notebooks/maximum_lifespan.ipynb,,Moved legacy root population input into saved_data,Notebook references patched
2026-05-14,project_setup,durable_data,saved_data/world_births_1830_2000_estimated.csv,src/notebooks/maximum_lifespan.ipynb,,Moved legacy root births input into saved_data,Notebook references patched
2026-05-14,project_setup,csv,saved_results/csv/developed_components_1830_2000.csv,src/notebooks/maximum_lifespan.ipynb,,Moved generated developed-population component table out of project root,Notebook references patched
2026-05-14,project_setup,csv,saved_results/csv/developed_total_1830_2000.csv,src/notebooks/maximum_lifespan.ipynb,,Moved generated developed-population total table out of project root,Notebook references patched
2026-05-14,project_setup,csv,saved_results/csv/nhanes_combination_counts_excl_work_regularity.csv,,,Moved generated NHANES count table out of project root,
2026-05-14,project_setup,csv,saved_results/csv/nhanes_sample_stats_summary.csv,src/exploration/nhanes/print_nhanes_sample_stats.py,,Moved generated NHANES sample summary out of project root,Script now writes here
2026-05-14,project_setup,simulation_cache,saved_results/cache/simulations/extrapolations_results.pkl,src/notebooks/extrapolations.ipynb,,Moved extrapolations pickle out of project root,Notebook references patched
2026-05-14,project_setup,plot_cache,saved_results/cache/plots/developed_pop_1830_2000.png,src/notebooks/maximum_lifespan.ipynb,,Moved generated developed-population plot out of project root,Notebook references patched
2026-05-14,project_setup,plot_cache,saved_results/cache/plots/hazard_baseline_vs_reduced_Xc.png,,,Moved generated hazard baseline plot out of project root,
2026-05-14,project_setup,plot_cache,saved_results/cache/plots/sensitivity_map_custom_colors.png,,,Moved generated sensitivity map out of project root,
2026-05-14,project_setup,plot_cache,saved_results/cache/plots/survival_baseline_vs_reduced_Xc.png,,,Moved generated survival baseline plot out of project root,
2026-05-19,sweden2019_steepness_longevity_sensitivity,csv,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,src/figures/steepness_longevity/run_sweden2019_sensitivity.py,saved_results/fit_archive/records/joint2019_tail90_sweden_emphasis_source_summary.json,Checkpointed long-form metrics for 726 Sweden 2019 steepness-longevity simulations,Baseline h_ext=0; separate absolute h_ext sweep from 1e-4 to 1e-2; 6 from_t values per run
2026-05-19,sweden2019_steepness_longevity_sensitivity,metadata,saved_results/steepness_longevity_sweden2019_sensitivity/manifest.json,src/figures/steepness_longevity/run_sweden2019_sensitivity.py,saved_results/fit_archive/records/joint2019_tail90_sweden_emphasis_source_summary.json,Run configuration for Sweden 2019 steepness-longevity sensitivity grid,"Includes baseline parameters, nuisance factors, focal factors, h_ext values, n, tmax, and dt"
2026-05-19,sweden2019_steepness_longevity_sensitivity,csv,saved_results/steepness_longevity_sweden2019_sensitivity/baseline_scenarios.csv,src/figures/steepness_longevity/run_sweden2019_sensitivity.py,saved_results/fit_archive/records/joint2019_tail90_sweden_emphasis_source_summary.json,Central and one-at-a-time nuisance baseline scenarios for the Sweden 2019 sensitivity run,"Central plus eta, beta, epsilon, Xc, and fractional Xc heterogeneity at 0.8x and 1.2x"
2026-05-19,sweden2019_steepness_longevity_sensitivity,documentation,saved_results/steepness_longevity_sweden2019_sensitivity/README.md,src/figures/steepness_longevity/run_sweden2019_sensitivity.py,saved_results/fit_archive/records/joint2019_tail90_sweden_emphasis_source_summary.json,Brief description of the Sweden 2019 steepness-longevity sensitivity outputs,Math written in LaTeX
2026-05-19,fig2_new_steepness_longevity,figure,Figures/Fig2_new/fig2_new_steepness_longevity.png,src/figures/steepness_longevity/make_fig2_new_steepness_longevity.py,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,PNG preview of new Fig2 steepness-longevity response plane with model-sensitivity shading,Grouped senogenic and robustness colors; h_ext curve in red
2026-05-19,fig2_new_steepness_longevity,figure,Figures/Fig2_new/fig2_new_steepness_longevity.pdf,src/figures/steepness_longevity/make_fig2_new_steepness_longevity.py,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,Vector PDF of new Fig2 steepness-longevity response plane,Matplotlib PDF with editable text where supported
2026-05-19,fig2_new_steepness_longevity,csv,saved_results/steepness_longevity_sweden2019_sensitivity/fig2_new_steepness_longevity_plot_data.csv,src/figures/steepness_longevity/make_fig2_new_steepness_longevity.py,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,Normalized source data used by the new Fig2 steepness-longevity plot,x=median lifespan relative to scenario baseline; y=IQR steepness relative to scenario baseline
2026-05-19,fig2_new_steepness_longevity,documentation,docs/methods_log.md,,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,Methods log entry for Sweden 2019 steepness-longevity sensitivity plane,"Documents baseline, normalization, h_ext handling, and sensitivity envelope definition"
2026-05-19,fig2_new_steepness_longevity,documentation,docs/project_instructions.md,,,Persistent project color mapping for parameter classes,Production eta teal; removal beta dark blue; threshold Xc orange; noise epsilon amber; extrinsic mortality red and separate from robustness
2026-05-19,fig1d_new_steepness_longevity,figure,Figures_new/Fig1new/fig1d_new_steepness_longevity.png,src/figures/steepness_longevity/make_fig1d_new_steepness_longevity.py,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,PNG preview of new Fig1D steepness-longevity response plane with shaded sensitivity ribbons,Mean curve across baseline perturbations; shaded ribbons derived from empirical x/y 2.5-97.5% sensitivity intervals
2026-05-19,fig1d_new_steepness_longevity,figure,Figures_new/Fig1new/fig1d_new_steepness_longevity.pdf,src/figures/steepness_longevity/make_fig1d_new_steepness_longevity.py,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,Vector PDF of new Fig1D steepness-longevity response plane,Matplotlib PDF with editable text where supported
2026-05-19,fig1d_new_steepness_longevity,csv,saved_results/steepness_longevity_sweden2019_sensitivity/fig1d_new_steepness_longevity_plot_data.csv,src/figures/steepness_longevity/make_fig1d_new_steepness_longevity.py,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,Normalized run-level data used by Fig1D_new,x=median lifespan relative to scenario baseline; y=IQR steepness relative to scenario baseline
2026-05-19,fig1d_new_steepness_longevity,csv,saved_results/steepness_longevity_sweden2019_sensitivity/fig1d_new_steepness_longevity_point_intervals.csv,src/figures/steepness_longevity/make_fig1d_new_steepness_longevity.py,saved_results/steepness_longevity_sweden2019_sensitivity/metrics_long.csv,Factor-wise mean positions and empirical x/y 95% sensitivity intervals for Fig1D_new,Excludes median-lifespan points within 5 years of tmax to avoid finite-horizon artifacts
